 	n	g	a	n	g	a	á	m	i	b	h	á	m	b	á	l	e	t	s	a	t	s	a	e	m	ó	o	k	ω	n	í	</S>
le	0.0259171	0.0583508	0.0743763	0.0512245	0.038033	0.0365299	0.0288514	0.0247816	0.0219624	0.0268556	0.0318963	0.0294608	0.035475	0.0439978	0.0312115	0.025272	0.0291275	0.0355836	0.0385941	0.0449356	0.0363104	0.050624	0.0369309	0.0274592	0.0205297	0.0161899	0.0116165	0.0119093	0.0106806	0.00962575	0.0179134	0.0177735
guérisseur	0.105745	0.0838643	0.103604	0.0985303	0.106714	0.114094	0.0691335	0.102499	0.0466922	0.0206714	0.0225071	0.0154953	0.00853211	0.00893503	0.0117728	0.00979529	0.00619942	0.00399228	0.00197244	0.00304604	0.0060996	0.00365914	0.00677979	0.00615358	0.00475617	0.00510966	0.00447843	0.00997563	0.00342646	0.00272975	0.0020805	0.000955517
a	0.00701058	0.012335	0.0139932	0.0187959	0.021707	0.0421316	0.0555986	0.056701	0.0677835	0.0562146	0.0556542	0.0562768	0.0291794	0.0441335	0.0236933	0.0244888	0.0196501	0.0188884	0.0277338	0.0416618	0.0793945	0.0269876	0.0534436	0.0297654	0.0273686	0.0165724	0.0225146	0.0129093	0.0117622	0.0103683	0.00912347	0.0061589
crachoté	0.0268787	0.0171647	0.0125662	0.0184472	0.0110533	0.02277	0.0245341	0.0304402	0.0351545	0.0254634	0.0296539	0.0298717	0.034284	0.0248086	0.0342058	0.0348621	0.049221	0.0580954	0.0992942	0.0766585	0.0820902	0.0421501	0.0345278	0.0189629	0.0263367	0.0152239	0.0192027	0.0115666	0.0122822	0.0110248	0.0118553	0.019349
de	0.0559983	0.0520631	0.0241077	0.0424599	0.0198548	0.0371276	0.0335612	0.0329904	0.0465746	0.0317858	0.0248411	0.0232672	0.0226363	0.0234174	0.0259209	0.0230176	0.0243587	0.0203187	0.0343172	0.0202894	0.0200504	0.0169691	0.018467	0.0181195	0.0239094	0.0293051	0.0251425	0.0286988	0.0348689	0.0413979	0.049773	0.0743904
l'	0.0447223	0.0254224	0.0180151	0.0196202	0.0164832	0.0347732	0.0287165	0.0280092	0.0283946	0.0285432	0.0247818	0.0243663	0.0209039	0.0242526	0.0264967	0.0242392	0.0262698	0.0221495	0.0262071	0.0204173	0.0175489	0.0274384	0.0290061	0.030701	0.0374647	0.0328526	0.0366678	0.0383352	0.0452588	0.051834	0.0622964	0.0778117
herbe	0.0272845	0.0164733	0.0145828	0.0130093	0.0115355	0.0167102	0.0180284	0.0174392	0.0220244	0.0190142	0.0192869	0.0178472	0.0213633	0.0213306	0.0212536	0.0232185	0.0243283	0.0191763	0.018327	0.0140418	0.0155325	0.023602	0.0287038	0.0319063	0.0421187	0.0608314	0.0569205	0.0563533	0.0722838	0.0732547	0.0796243	0.0825935
mâchée	0.0150504	0.0095361	0.00867721	0.00813205	0.00859265	0.0102865	0.0111087	0.00699911	0.00930262	0.010414	0.0111523	0.014807	0.0233287	0.0190116	0.0263914	0.0242357	0.0292205	0.0303697	0.0193009	0.0181361	0.0182422	0.0329207	0.019444	0.0269299	0.0538591	0.0658525	0.0658978	0.0689053	0.0755767	0.0834446	0.0819208	0.092953
sur	0.0142579	0.007994	0.00746039	0.00786934	0.00624889	0.0129499	0.0151114	0.0204495	0.02479	0.016562	0.0196382	0.0150032	0.0140481	0.0146698	0.0143187	0.0122499	0.0206984	0.0196538	0.0191379	0.0148073	0.0149519	0.0277886	0.0187118	0.0231389	0.0365578	0.0437215	0.0531832	0.0505813	0.0733964	0.115802	0.110317	0.13393
le	0.0392742	0.0295162	0.0281853	0.0317617	0.0191686	0.0409451	0.0337973	0.0243157	0.0249657	0.012781	0.0105359	0.00910038	0.00755376	0.00794803	0.0101993	0.01043	0.0085721	0.0086103	0.0114195	0.00866246	0.012329	0.0188271	0.0148044	0.0218898	0.0359973	0.0427394	0.0441107	0.0559903	0.0728692	0.084243	0.0931154	0.125342
malade	0.0318487	0.03017	0.0305447	0.030816	0.0143511	0.0212466	0.0275469	0.0177379	0.02336	0.0130226	0.0136637	0.0130663	0.0160356	0.00901537	0.0244043	0.0243289	0.0233467	0.0338388	0.0219354	0.0144107	0.020648	0.020646	0.0121646	0.0146039	0.0227099	0.0475224	0.0289257	0.0345126	0.0472979	0.0665859	0.104278	0.145415
</S>	0.0547605	0.0275799	0.0304399	0.0425635	0.0264351	0.0396922	0.0374371	0.0275737	0.023976	0.0130811	0.0149271	0.0124845	0.0155123	0.00775388	0.0162837	0.0254985	0.0334964	0.0342031	0.0425771	0.0194552	0.0216664	0.0175651	0.0138755	0.0107281	0.0305959	0.0170783	0.0254598	0.0152844	0.0360395	0.0528123	0.0830198	0.130144
