 	i	b	v	ú	a	l	í	í	k	w	e	r	í	n	ω	d	í	í	d	í	o	k	y	ε	k	y	ε	l	i	</S>
cet	0.0257015	0.0216626	0.00856687	0.00929366	0.0094926	0.0139781	0.0188	0.0260029	0.0485628	0.0801603	0.0525752	0.0635348	0.048006	0.0476958	0.0540075	0.0580781	0.043562	0.0379245	0.0450061	0.0393802	0.0302801	0.0371997	0.0317952	0.0242952	0.0279969	0.0198377	0.0189159	0.022188	0.0191895	0.0163104
arbuste	0.0334652	0.0372287	0.074624	0.11795	0.124111	0.130611	0.061547	0.0315534	0.0166857	0.0176189	0.00952373	0.00254515	0.00222073	0.00299109	0.00501622	0.0128836	0.0210446	0.0178962	0.0176385	0.0151874	0.016603	0.0339705	0.0259207	0.0550337	0.0317906	0.0423115	0.0119247	0.0193306	0.00686217	0.00390997
que	0.0225337	0.0160462	0.0219015	0.0263223	0.0359588	0.0219702	0.0243729	0.00560541	0.0127699	0.0158394	0.00607303	0.0133565	0.0231664	0.0183749	0.0264496	0.0478648	0.0672185	0.089937	0.0626027	0.0609296	0.0375608	0.0550586	0.0539782	0.0390109	0.0509908	0.0407256	0.0359527	0.033315	0.0247834	0.00933056
tu	0.0274587	0.0305926	0.0398429	0.0383387	0.0338195	0.0297394	0.0238835	0.0427095	0.0585782	0.016937	0.0266139	0.0276243	0.0459735	0.0384463	0.0372014	0.0208343	0.0301879	0.0287364	0.0207472	0.0160582	0.0166561	0.020055	0.0261472	0.0221059	0.0280693	0.049988	0.0445434	0.0493595	0.0537546	0.0549975
as	0.0460274	0.0375844	0.0340786	0.0257436	0.0244645	0.0262417	0.0356203	0.0280186	0.0328495	0.0152091	0.0206361	0.0211147	0.0194549	0.0310935	0.0279669	0.027765	0.0335048	0.047736	0.032293	0.0240872	0.0190545	0.028599	0.0335042	0.0254599	0.0284526	0.043326	0.0290051	0.0502594	0.0584989	0.0923509
coupé	0.062774	0.0511878	0.0507722	0.0414274	0.0400028	0.028616	0.034492	0.0235417	0.0225179	0.00496847	0.0102813	0.00963262	0.00989429	0.0135173	0.0126764	0.0130776	0.0152467	0.0205388	0.0305657	0.0222107	0.0304411	0.0359083	0.0331923	0.0500607	0.0422483	0.0578533	0.0364423	0.0687143	0.0534399	0.0737577
s'	0.044539	0.026166	0.0262685	0.0199031	0.0128424	0.0100561	0.0127384	0.0139972	0.00991752	0.00398792	0.00595053	0.00617903	0.00682963	0.0152175	0.0271526	0.0128097	0.00969464	0.0138039	0.0174458	0.028035	0.0403744	0.0364345	0.0349506	0.0564457	0.0298169	0.0872126	0.0724456	0.0793676	0.0944865	0.144931
appelle	0.0678106	0.0662224	0.0667731	0.0608579	0.050059	0.0359573	0.0231161	0.0245864	0.0203258	0.00846642	0.00760341	0.0100783	0.00984385	0.00863684	0.0101526	0.00567438	0.00329802	0.0029144	0.00493955	0.00590283	0.011541	0.0132457	0.0140623	0.0273898	0.0196444	0.0309363	0.0415503	0.0747784	0.094796	0.178837
okyekyeli	0.074975	0.0574481	0.0550269	0.0546964	0.0470249	0.0240252	0.0158125	0.0155875	0.0164541	0.0136907	0.0103076	0.0107068	0.00914484	0.00727409	0.0119563	0.00748669	0.00477965	0.0120464	0.0143047	0.0155863	0.0221404	0.0184576	0.0173286	0.0342137	0.0304422	0.0366807	0.0580506	0.0774683	0.0817127	0.145171
</S>	0.0405393	0.042333	0.0449682	0.0426666	0.0410179	0.0277436	0.0224505	0.0194419	0.0181295	0.0087985	0.0111204	0.0102748	0.00983026	0.0118097	0.00869249	0.00943372	0.00668302	0.0102561	0.0151763	0.0190899	0.027847	0.0276407	0.0288197	0.0412395	0.0409761	0.0523642	0.0565955	0.0670043	0.0857898	0.151268
