 	w	a	m	b	í	m	o	r	o	y	e	e	b	h	á	r	í	s	í	o	t	ω	m	b	í	l	i	m	ó	n	ω	ω	m	e	k	y	e	m	b	e	</S>
c'	0.26689	0.334337	0.0994591	0.0953178	0.0282088	0.0283695	0.0373653	0.0113729	0.0097915	0.0146115	0.00927462	0.00492778	0.00383459	0.00307341	0.0035904	0.00441135	0.00263397	0.0034536	0.0019483	0.00162413	0.00199778	0.00164928	0.00172292	0.0016137	0.00119659	0.00144317	0.0011372	0.00166157	0.00132751	0.00226562	0.00195313	0.00238171	0.00184945	0.00211243	0.00157946	0.00144267	0.00142665	0.00151911	0.00162794	0.00172963	0.00186678
est	0.0773973	0.0596169	0.0377678	0.0311549	0.0176769	0.0171323	0.0121874	0.0107292	0.0158235	0.0188537	0.0180034	0.0247352	0.0193021	0.0199596	0.0199137	0.0130202	0.0124655	0.0143531	0.0110129	0.0121297	0.0151756	0.0246147	0.0316635	0.0522267	0.0296004	0.054892	0.0366659	0.0419217	0.0405629	0.0295862	0.0257061	0.0339228	0.0227773	0.0200936	0.0238672	0.0126595	0.0150461	0.0101071	0.00573611	0.00443276	0.00550674
lui	0.0265026	0.0379588	0.0891818	0.0938296	0.152538	0.0809604	0.0576853	0.0561441	0.0559513	0.0255872	0.0205831	0.00708153	0.0173917	0.012478	0.013834	0.00531328	0.00322764	0.00326174	0.00241407	0.00235301	0.00167456	0.00245873	0.00301591	0.00243386	0.00231431	0.00400681	0.0055193	0.00478711	0.00835612	0.00868977	0.00901889	0.00922911	0.00675891	0.0147466	0.015457	0.0132318	0.0164904	0.0155764	0.0190186	0.0211121	0.0518264
qui	0.0119231	0.00952564	0.0200959	0.0212062	0.0216109	0.0223561	0.0141228	0.0126269	0.013704	0.0152029	0.0145215	0.0168845	0.0165817	0.0184383	0.0219322	0.0207408	0.0388163	0.0496175	0.066995	0.07952	0.0798493	0.0771258	0.076836	0.0522147	0.0253084	0.0383234	0.0107825	0.00857348	0.00656774	0.00566758	0.00555475	0.00841291	0.00555836	0.00795362	0.0106981	0.011513	0.0131898	0.0116917	0.0105088	0.00708332	0.0201645
a	0.00480589	0.00989272	0.0128657	0.0126521	0.00836807	0.00729903	0.00506164	0.00455819	0.00482869	0.00450052	0.00582271	0.00968606	0.0230372	0.0500695	0.0579263	0.0308595	0.044952	0.0381765	0.0427379	0.0690655	0.0665345	0.0882576	0.107328	0.0799402	0.0537917	0.046117	0.0239098	0.0152463	0.0083015	0.00486088	0.00556842	0.0104565	0.00528829	0.00548399	0.00623683	0.00511276	0.00411118	0.00309489	0.00415495	0.00293782	0.00610117
embourbé	0.00786107	0.00901353	0.0077595	0.00738093	0.00965044	0.0130115	0.0111712	0.011792	0.0111012	0.0114931	0.0148072	0.0223903	0.0254041	0.0376014	0.0512876	0.0369734	0.0494623	0.0547286	0.0304597	0.0486601	0.0406387	0.042475	0.0382562	0.0438863	0.0255554	0.0238517	0.0131766	0.017291	0.00892354	0.0121783	0.0145648	0.0284588	0.0136021	0.0197318	0.0183646	0.0211063	0.015116	0.0145956	0.0298634	0.0259734	0.0603812
le	0.00172242	0.00135618	0.00146385	0.00138762	0.00364587	0.00625845	0.00629887	0.00829937	0.00808298	0.00939323	0.0118168	0.0154246	0.0162732	0.0201711	0.0235612	0.0309397	0.0491736	0.089422	0.0428702	0.0819897	0.0738556	0.0703546	0.060812	0.0859522	0.0213465	0.0305729	0.0161189	0.0203303	0.015206	0.016329	0.0184361	0.0250667	0.0182012	0.0177917	0.0177362	0.0136277	0.0110373	0.00861661	0.00920267	0.00834576	0.0115093
véhicule	0.0118859	0.0134438	0.00819892	0.0106292	0.00793027	0.0105992	0.0106229	0.0189188	0.0162212	0.0183021	0.0271076	0.0253498	0.0262773	0.0218403	0.0243522	0.0334394	0.0534909	0.0758935	0.06339	0.0493847	0.0519677	0.0326615	0.0325439	0.0382727	0.0194949	0.0323688	0.0198699	0.0163726	0.0219744	0.018882	0.0106918	0.0103822	0.0118086	0.0103208	0.00841021	0.0110564	0.00801629	0.0112606	0.0203822	0.0348128	0.0511716
à	0.00482436	0.00489449	0.00382871	0.00523291	0.00462389	0.00502669	0.00466681	0.00621039	0.00510477	0.00497616	0.00486465	0.00552009	0.00611993	0.00736772	0.0105178	0.0270121	0.0629718	0.0701031	0.117217	0.0777391	0.0952424	0.0646943	0.050228	0.0777678	0.0229505	0.0296021	0.0116218	0.00943478	0.007347	0.00850731	0.0101445	0.0101283	0.0093489	0.0120358	0.0111685	0.0132915	0.0175457	0.0195028	0.0233984	0.0270873	0.03013
l'	0.00616558	0.00619615	0.00619988	0.0062706	0.00656186	0.00774681	0.00448275	0.00317787	0.00267308	0.0023403	0.00235538	0.00320843	0.00440172	0.00660494	0.0100903	0.0207442	0.0434068	0.100328	0.0487879	0.0754989	0.108307	0.0725166	0.0882876	0.0772957	0.0182589	0.0548086	0.0167463	0.0148065	0.0171245	0.0129644	0.0100251	0.0152313	0.00793788	0.01434	0.00926552	0.0157238	0.0146231	0.0132922	0.0149222	0.0167215	0.0195596
