 	e	f	u	u	l	ú	l	ú	y	á	l	ώ	s	ω	y	é	y	é	e	d	í	m	í	s	á	m	í	á	</S>
la	0.0192788	0.0176589	0.0193586	0.0106864	0.00932134	0.00823682	0.0113247	0.0140735	0.0272582	0.0472947	0.0255392	0.0747987	0.084668	0.0694277	0.0636881	0.0508237	0.0445128	0.0275906	0.0228541	0.0215847	0.0180877	0.0170925	0.018744	0.0254709	0.0353172	0.0512019	0.0615783	0.0565062	0.0460218
manière	0.0113682	0.0678338	0.0399943	0.0310438	0.0335081	0.0203821	0.0204154	0.0208045	0.0437723	0.0789899	0.0854505	0.0935945	0.118767	0.0925335	0.0414218	0.0308571	0.0221389	0.01426	0.0127259	0.0123201	0.030506	0.0272588	0.0107194	0.0184376	0.0107229	0.00522753	0.00265003	0.00116182	0.00113484
dont	0.0406668	0.0288197	0.0167571	0.0136852	0.0431098	0.0307959	0.0314143	0.020149	0.0145613	0.0186877	0.0333163	0.0674095	0.0540275	0.0866347	0.0652308	0.0667221	0.0576335	0.0864094	0.0557596	0.0368372	0.0257099	0.0209082	0.0157188	0.0130958	0.00952435	0.00902426	0.0103655	0.0108382	0.0161876
monte	0.014875	0.0214239	0.0309064	0.0184534	0.0283932	0.0190491	0.0273014	0.0248339	0.0592072	0.0731059	0.0793594	0.0616755	0.0435723	0.0342311	0.0340843	0.0236655	0.0321367	0.0404932	0.0631516	0.0269775	0.0323717	0.0270464	0.0203251	0.0216567	0.0211533	0.0197619	0.0185933	0.0205666	0.0616285
le	0.0251774	0.0289627	0.0374388	0.0288494	0.0290553	0.0210086	0.0377854	0.0262042	0.0247386	0.0199648	0.0264534	0.0228542	0.0287791	0.0313039	0.0528604	0.0632116	0.0597724	0.0543584	0.029887	0.0241715	0.0259395	0.0232461	0.0335876	0.0369244	0.0284211	0.0303927	0.0346112	0.030722	0.0833185
riz	0.0223961	0.028857	0.0388774	0.0354109	0.0380146	0.0252684	0.0192722	0.0156279	0.0115593	0.00840607	0.0098888	0.00593108	0.011974	0.0169591	0.0355082	0.0591521	0.0720681	0.0616304	0.0404187	0.0397698	0.051296	0.0471873	0.0509944	0.0340293	0.0349174	0.0378687	0.0395989	0.0353565	0.0717614
va	0.0588356	0.0546182	0.0460232	0.0586939	0.0250873	0.0359354	0.0386641	0.0312038	0.0217474	0.0146125	0.00836614	0.00629372	0.00952499	0.0120445	0.01371	0.0265945	0.0378922	0.0437348	0.0436233	0.041238	0.0380195	0.0385412	0.0382059	0.0352926	0.0357147	0.0332975	0.0275859	0.041194	0.083705
éteindre	0.0569299	0.0574716	0.0656417	0.039859	0.0375631	0.037924	0.029746	0.0317821	0.0405874	0.0328762	0.0244031	0.00707111	0.00602097	0.00730044	0.00690476	0.0116655	0.0182516	0.0202249	0.0260231	0.0175441	0.0210853	0.0234976	0.0251561	0.0313778	0.0405962	0.0447651	0.0463213	0.051592	0.139818
le	0.082667	0.0554862	0.0411571	0.0241022	0.0303984	0.0252898	0.0267504	0.0269029	0.0294691	0.0221047	0.0153247	0.0153986	0.0183873	0.0182037	0.0152658	0.0200516	0.0274516	0.0332445	0.0344824	0.0268647	0.0245826	0.0255933	0.0343858	0.0311388	0.0347499	0.0430058	0.0443299	0.046779	0.126432
feu	0.0545483	0.0418727	0.0444207	0.0365651	0.0418452	0.0359114	0.024894	0.0173742	0.0110551	0.00795552	0.00690662	0.00871931	0.0101222	0.0164265	0.0190382	0.0209926	0.0293516	0.0297569	0.0376979	0.0252907	0.0338407	0.0315701	0.0307406	0.033492	0.0364439	0.0407916	0.0454208	0.0508817	0.176074
</S>	0.0690236	0.040987	0.0370181	0.0271827	0.0266714	0.0272912	0.0306071	0.0301808	0.038123	0.0280417	0.0335896	0.0247957	0.0191167	0.0231581	0.0215117	0.0385405	0.0501272	0.0369923	0.040659	0.0208239	0.024763	0.0227298	0.0255242	0.0284197	0.0343798	0.0344733	0.0368112	0.0376373	0.0908204
