 	s	á	n	y	a	m	a	y	o	k	i	a	e	k	o	o	é	d	i	e	b	é	é	n	g	á	y	á	n	d	i	n	g	a	</S>
dans	0.0105975	0.0209761	0.0171559	0.0248091	0.0237004	0.0251642	0.0283742	0.0309307	0.020749	0.0191466	0.0355501	0.0448917	0.0444337	0.028751	0.0354523	0.0321442	0.0198787	0.0243473	0.0167234	0.0151826	0.0162669	0.0137483	0.0170853	0.0140657	0.0214001	0.0284648	0.0310257	0.0404149	0.0430943	0.0495216	0.0588442	0.0514664	0.0414859	0.0326885	0.0214686
le	0.141047	0.133764	0.0762196	0.027251	0.0616453	0.018276	0.0173804	0.0124954	0.0170194	0.00992916	0.00917083	0.0167114	0.0439005	0.0585831	0.0369247	0.0433151	0.0274682	0.0372437	0.0129455	0.0213187	0.0142556	0.0167695	0.0106869	0.00798749	0.00877635	0.0185511	0.0109662	0.0104476	0.00619323	0.0112959	0.0195358	0.00788954	0.00387935	0.0163831	0.0137735
partage	0.0261156	0.0184417	0.0249779	0.0349547	0.0315153	0.029598	0.0303133	0.0245613	0.0222025	0.0205517	0.0190411	0.0268656	0.0175032	0.0117743	0.00821815	0.00930287	0.00985501	0.0358435	0.0733034	0.0549897	0.0418838	0.0454547	0.0481886	0.0563507	0.038777	0.0388966	0.0329958	0.0319609	0.0235944	0.0222941	0.02536	0.0258786	0.0103825	0.0119978	0.0160558
du	0.0580773	0.030634	0.0194779	0.0189689	0.0149858	0.0160136	0.0149777	0.0128245	0.0159415	0.0168269	0.0121352	0.0163893	0.0145384	0.012643	0.0226229	0.026578	0.0259721	0.0264729	0.0842775	0.0750309	0.114918	0.0828777	0.0642232	0.0526159	0.0144589	0.00743469	0.00928105	0.00806758	0.00755005	0.00869981	0.00710786	0.00964179	0.0137243	0.0159996	0.0480111
gibier	0.032673	0.0298553	0.0560342	0.0659373	0.066592	0.0775663	0.0685964	0.0626769	0.0367173	0.0249965	0.0400475	0.0494861	0.0574021	0.0397029	0.0340318	0.0297234	0.00853509	0.0149834	0.00764063	0.00866093	0.00781892	0.0116246	0.0138497	0.0223259	0.0232591	0.0153684	0.00971681	0.00612503	0.00223678	0.00995639	0.00905702	0.0107419	0.0110203	0.00699201	0.0280482
de	0.0303986	0.0203159	0.0192464	0.0261744	0.0204718	0.0328337	0.0307533	0.0262696	0.0138475	0.0145868	0.0167918	0.0158951	0.0146183	0.0189811	0.0138847	0.0157208	0.0211787	0.0207534	0.0301721	0.0445059	0.0410011	0.0416137	0.0443782	0.0475987	0.0226759	0.0151866	0.0128391	0.0118757	0.0105027	0.0225284	0.034443	0.041421	0.0233428	0.0714671	0.111726
chasse	0.0304129	0.0265036	0.0211914	0.023876	0.0259109	0.038707	0.035383	0.0306194	0.0144898	0.0131484	0.0150204	0.0159518	0.0117869	0.01687	0.014249	0.0175965	0.0191191	0.0234973	0.0238413	0.0331593	0.0337259	0.0296505	0.0360251	0.04475	0.053524	0.0274038	0.0240251	0.0240259	0.0194129	0.0273723	0.0237891	0.0257354	0.0387982	0.0371936	0.103234
un	0.0253314	0.0226042	0.0147536	0.0171162	0.0243382	0.0312387	0.0275514	0.0312214	0.0171167	0.0127731	0.0146933	0.0145269	0.0139799	0.0176264	0.0135354	0.0152217	0.0189993	0.0182501	0.0192988	0.0297194	0.0235476	0.0223554	0.0248615	0.0287662	0.0378187	0.0277887	0.0272072	0.027493	0.0262849	0.0351262	0.0324657	0.0402334	0.0622262	0.0562715	0.127658
gigot	0.0862867	0.0392089	0.0378191	0.0372026	0.031763	0.0396821	0.0319676	0.028151	0.0194422	0.0164525	0.0236051	0.0284359	0.0187068	0.0237848	0.0252312	0.0291333	0.0339522	0.0354212	0.0144324	0.0248577	0.0155912	0.0170858	0.0236928	0.0159351	0.0164037	0.0110498	0.0109668	0.0115869	0.00691711	0.0198649	0.0246316	0.0294382	0.0186874	0.0352145	0.117398
revient	0.0520245	0.0290947	0.0241774	0.0232264	0.0219236	0.0265034	0.0265748	0.0299763	0.023336	0.0219261	0.0236932	0.0229475	0.0215923	0.0267197	0.0292269	0.0349471	0.0442519	0.0431594	0.031267	0.032009	0.0278745	0.0266111	0.0246716	0.0191962	0.0131655	0.0109341	0.0111638	0.0106687	0.00776473	0.0276061	0.0305738	0.0386739	0.0178466	0.0633991	0.0812728
de	0.0829889	0.0380029	0.035838	0.0383483	0.0358875	0.0555795	0.0563801	0.0539135	0.0229505	0.0173252	0.0226821	0.0270784	0.0237239	0.0341468	0.0244552	0.023686	0.0194798	0.0146968	0.00718455	0.0138378	0.0142661	0.0161158	0.0173463	0.0168948	0.0202551	0.015947	0.0140599	0.0169134	0.00984693	0.0139954	0.0180801	0.0216418	0.0228867	0.035353	0.098212
droit	0.0604032	0.0410164	0.0277617	0.020312	0.0169241	0.0173476	0.0162295	0.0169016	0.0161555	0.0160749	0.0157306	0.0159333	0.0161552	0.0138778	0.0177132	0.0166812	0.0166973	0.0172017	0.0278178	0.0311399	0.0463095	0.0469312	0.045803	0.0425484	0.0301074	0.0224049	0.0300052	0.0232009	0.02805	0.0286973	0.0272874	0.0315587	0.0417969	0.0432082	0.0740165
au	0.0395209	0.0388167	0.0248668	0.0312117	0.0273796	0.0348409	0.0338254	0.0348131	0.039107	0.0321028	0.0252806	0.0226723	0.0245208	0.0224107	0.020516	0.0182058	0.0134745	0.02003	0.0170626	0.0191956	0.0163116	0.0198839	0.0216835	0.0161656	0.0101399	0.00806724	0.0104971	0.011784	0.0105142	0.0357639	0.0388752	0.0606283	0.0234977	0.0768211	0.0995132
notable	0.0302128	0.0266167	0.0287622	0.029116	0.0290564	0.0295104	0.0294263	0.0286146	0.0211451	0.0133069	0.012471	0.0138503	0.014395	0.0151144	0.0126704	0.0123155	0.0127524	0.0155	0.0205889	0.0401448	0.0289947	0.0466738	0.0369658	0.0273955	0.0105159	0.0108705	0.0157444	0.0165329	0.0166162	0.0450058	0.0513085	0.0599251	0.0231935	0.0791851	0.0955021
de	0.0487364	0.0313073	0.0245102	0.0240169	0.0230863	0.0247773	0.0244723	0.0255302	0.0229376	0.0197072	0.0157955	0.0139763	0.0179331	0.02031	0.0169735	0.018544	0.0233275	0.0319584	0.0375227	0.0461819	0.0262907	0.0321372	0.0303942	0.0218827	0.0141718	0.0129504	0.0155648	0.0148056	0.01535	0.0357079	0.0454459	0.0495245	0.0192323	0.0676499	0.0872874
la	0.0752447	0.0393098	0.0278694	0.0257321	0.022843	0.0243336	0.0235873	0.0238025	0.0204073	0.0135679	0.0110942	0.0101821	0.0111268	0.0109978	0.0111289	0.011994	0.0138794	0.0224609	0.0304262	0.0425682	0.0306915	0.0372299	0.0334818	0.0229208	0.0126276	0.0107333	0.0146571	0.0139196	0.0141974	0.0386961	0.0453508	0.0525073	0.0213414	0.0738404	0.105249
localité	0.0911555	0.0370965	0.0286923	0.0262545	0.0241854	0.0268471	0.0266843	0.0266939	0.0156524	0.0104673	0.0117454	0.0183234	0.0183905	0.0224872	0.0157422	0.0144985	0.0203059	0.0197975	0.0195822	0.0355448	0.0241798	0.0262801	0.024085	0.0191756	0.0162099	0.0143202	0.0155929	0.0152001	0.0155205	0.0246239	0.0400895	0.0360408	0.0195624	0.0653322	0.133641
</S>	0.05455	0.0303297	0.0333559	0.0267416	0.0174748	0.0126349	0.0116549	0.0117762	0.0110502	0.0108435	0.0110427	0.0132928	0.0186886	0.0141393	0.0161522	0.0150975	0.0156304	0.0149392	0.0264917	0.0329389	0.0392522	0.0412089	0.0386588	0.0366205	0.0281191	0.0293531	0.0379416	0.0351005	0.0334673	0.0263687	0.0264778	0.0239679	0.0422048	0.055309	0.107125
