 	o	n	d	i	e	m	ó	ó	y	ε	í	o	k	o	n	d	z	i	a	y	ú	r	u	á	d	z	e	b	á	a	b	έ	r	έ	i	l	w	ώ	ώ	r	ώ	</S>
lorsque	0.00575092	0.0108908	0.0157122	0.0121316	0.0102448	0.0137392	0.0101906	0.0245441	0.0297901	0.0403379	0.0321572	0.0792405	0.101949	0.0809959	0.0706091	0.0346302	0.025015	0.00838801	0.0122368	0.0115657	0.00951459	0.0100397	0.00941047	0.00792759	0.0109824	0.0104372	0.00946876	0.0100373	0.0106385	0.0225321	0.0169665	0.0280809	0.0212451	0.0217833	0.0160168	0.0169007	0.0216162	0.0175883	0.0273124	0.0251123	0.0258532	0.0204166
le	0.125985	0.0550227	0.0342401	0.0185236	0.0164886	0.0106373	0.0144423	0.00975301	0.0112531	0.032123	0.0442522	0.0604663	0.0725504	0.0670641	0.0693607	0.0789196	0.0828258	0.00701144	0.020825	0.0172185	0.0108993	0.0154504	0.0142881	0.00649538	0.00540279	0.0056928	0.00479635	0.00868477	0.00428193	0.00951683	0.00221039	0.00627126	0.00354218	0.00940201	0.00931629	0.0023978	0.00483435	0.00510747	0.00432736	0.00509978	0.00563911	0.00738065
chef	0.0187821	0.0179815	0.0232861	0.0195156	0.0223269	0.0192326	0.0393783	0.0149496	0.0157196	0.0364226	0.0410975	0.0542045	0.050912	0.0351146	0.0669071	0.0883746	0.0390018	0.0197834	0.0191067	0.0293046	0.020505	0.0184796	0.0198499	0.0103928	0.022559	0.0152822	0.0196697	0.0180987	0.0134351	0.0229102	0.0136826	0.0200708	0.0228737	0.0236315	0.0150231	0.0104067	0.0081554	0.0106505	0.00707327	0.00823152	0.00394713	0.00366995
est	0.0354047	0.0298574	0.0277507	0.0341565	0.0321377	0.0369988	0.0397809	0.0343882	0.0558535	0.0375147	0.0398709	0.0686156	0.0970814	0.0761067	0.0326466	0.0301633	0.0211964	0.0266525	0.0144167	0.0177243	0.0200713	0.0145358	0.015793	0.0146832	0.0137343	0.012081	0.0127277	0.0118709	0.00832986	0.00819401	0.00732111	0.00721449	0.00647924	0.00665904	0.00624831	0.00460529	0.00510437	0.00454967	0.00499737	0.00525562	0.00811379	0.0131131
arrivé	0.023348	0.0311634	0.0358647	0.0397363	0.0468946	0.0507126	0.0660148	0.0414834	0.0391967	0.02467	0.0151323	0.00651143	0.00477705	0.00858802	0.0131362	0.023507	0.021614	0.0152944	0.0175083	0.0190777	0.0324298	0.0229123	0.030535	0.0269496	0.0203228	0.0254182	0.019193	0.0235925	0.0135257	0.0212949	0.00943657	0.0209918	0.0104542	0.01228	0.0144675	0.00686015	0.00293807	0.00790592	0.0122866	0.0107763	0.0345582	0.0766398
les	0.0118808	0.010834	0.0108774	0.0134421	0.0120802	0.0206858	0.0430523	0.0415311	0.0551378	0.0368663	0.0306026	0.0243928	0.0144696	0.0108178	0.0104116	0.0128369	0.0113223	0.0292053	0.0181228	0.0351411	0.0326934	0.0321871	0.0320187	0.0288695	0.0324946	0.0285421	0.03455	0.0323731	0.0248684	0.0271746	0.0242125	0.0256521	0.0284249	0.020299	0.0216648	0.0176813	0.00552513	0.0123322	0.0150547	0.0142318	0.023077	0.0323624
femmes	0.0218422	0.020637	0.018135	0.0212638	0.0210035	0.0228989	0.033789	0.0282109	0.0372365	0.0240703	0.018207	0.0115757	0.00962855	0.00649504	0.00784822	0.00951742	0.00995229	0.0169013	0.0161501	0.0262807	0.033576	0.0358771	0.034289	0.0345815	0.0271459	0.030048	0.025156	0.0259854	0.0214731	0.0157853	0.0126516	0.0268209	0.013599	0.0215866	0.0279531	0.0176894	0.00775417	0.0212888	0.0383321	0.0377651	0.0437364	0.0652618
lançaient	0.01434	0.00947199	0.00852153	0.00749113	0.00556924	0.00651509	0.00630349	0.0066336	0.0121024	0.00611132	0.00782439	0.00746426	0.00593367	0.0063735	0.00658245	0.00668889	0.00845985	0.0211246	0.0173627	0.0306713	0.0439148	0.0357571	0.0408698	0.0468451	0.0431221	0.049046	0.0451071	0.0514208	0.0470889	0.0411278	0.0343543	0.0334579	0.0277251	0.0327223	0.0329566	0.02518	0.0264647	0.0293971	0.0271565	0.0270945	0.0280419	0.0296042
des	0.0394121	0.0172932	0.0127593	0.00999619	0.00748317	0.00816225	0.00709743	0.00599426	0.00926374	0.00563249	0.00854317	0.0091762	0.00824615	0.00782566	0.00885736	0.012146	0.0184495	0.0313819	0.020791	0.0292898	0.0316397	0.0299483	0.0309603	0.0332007	0.0330145	0.0342431	0.0340723	0.0325975	0.0353216	0.0369231	0.029226	0.0391193	0.029059	0.0324993	0.0366737	0.0283136	0.0150469	0.0302562	0.031001	0.0292483	0.0412179	0.0486168
cris	0.0423317	0.0260565	0.0147455	0.00777862	0.0044473	0.00301139	0.00246755	0.00233364	0.00314848	0.00229955	0.00488175	0.0039452	0.00414116	0.00468829	0.0121972	0.0282107	0.0391448	0.0413696	0.0347429	0.0311494	0.0319872	0.0288467	0.0295782	0.0400767	0.0281533	0.0312005	0.0379917	0.0332218	0.0278843	0.028178	0.0239859	0.0300246	0.0233934	0.0261033	0.0290172	0.0193436	0.00886552	0.0281722	0.0291972	0.0261523	0.0528425	0.0726927
