 	é	d	í	l	a	d	z	a	l	a	l	a	l	i	n	έ	p	ε	l	έ	έ	l	a	p	o	o	</S>
il	0.0521042	0.0957101	0.136205	0.118045	0.0683191	0.0648158	0.0630355	0.0382657	0.0263426	0.0245122	0.0142695	0.0155211	0.018642	0.0160293	0.0145963	0.0204423	0.0156444	0.0206581	0.0165565	0.0346802	0.0211092	0.0226139	0.0167966	0.016569	0.0118648	0.013599	0.0230527
y	0.059882	0.0588093	0.0333229	0.0310142	0.0264173	0.0516644	0.0405715	0.025849	0.0372688	0.0396394	0.0471096	0.0827894	0.11505	0.144117	0.059244	0.0318296	0.0105998	0.0132655	0.0100968	0.0107936	0.0133394	0.0141164	0.0104741	0.00768166	0.00707012	0.00855275	0.00943198
a	0.0368782	0.0341207	0.0445354	0.0467461	0.0434926	0.106526	0.0477351	0.0383207	0.0479857	0.0373962	0.0352319	0.0321064	0.0407793	0.0494555	0.0379215	0.0370392	0.0453896	0.0442659	0.0359805	0.0341654	0.0227239	0.0146924	0.0115468	0.0140308	0.0133689	0.0187605	0.0288046
un	0.0448107	0.046457	0.0459399	0.0435036	0.0456856	0.0965883	0.0795129	0.0336405	0.0190011	0.0155026	0.0191964	0.0221248	0.014556	0.0207951	0.0271091	0.0251056	0.0378515	0.0324479	0.0527754	0.0376819	0.0286356	0.0221232	0.0258882	0.0293673	0.0429592	0.0445187	0.0462222
tas	0.010489	0.0123438	0.00984321	0.0110982	0.0212489	0.0275498	0.0274375	0.0241355	0.035537	0.0663878	0.110503	0.106681	0.110586	0.103381	0.0609029	0.045824	0.027687	0.0200753	0.0172688	0.0177077	0.021357	0.0205826	0.0211127	0.0172852	0.0159096	0.0127103	0.0243548
de	0.0206823	0.0142585	0.0158915	0.0204104	0.0252434	0.0260457	0.0298034	0.0212647	0.0311581	0.0297769	0.0362057	0.0459705	0.0448888	0.0386253	0.0373859	0.0331353	0.0323229	0.0351498	0.037995	0.0298388	0.0561855	0.0454472	0.056102	0.0571632	0.0500513	0.0531138	0.0758841
balayures	0.03964	0.0198514	0.011799	0.0145782	0.0199923	0.0266894	0.0260399	0.0320399	0.0384254	0.0398243	0.0329316	0.042307	0.0386955	0.0272085	0.0225141	0.0269501	0.0239369	0.0203531	0.0368322	0.0377058	0.0454352	0.0528574	0.0487844	0.047929	0.0563367	0.0612752	0.109068
près	0.0233273	0.0194154	0.0197066	0.018528	0.0234647	0.0341812	0.0369089	0.028017	0.0283145	0.0288725	0.0412293	0.0454563	0.0412077	0.0371116	0.0334955	0.0294557	0.0264214	0.0210897	0.0259829	0.0294739	0.0487824	0.0555669	0.0492779	0.0482513	0.056525	0.0579008	0.0920353
du	0.0410568	0.0303586	0.0235432	0.0351658	0.037865	0.0417456	0.0414126	0.0282581	0.0291737	0.0261563	0.026339	0.0262718	0.0235644	0.0179313	0.0172352	0.0183177	0.0188124	0.0194585	0.0240941	0.0258847	0.0483473	0.0581684	0.0614106	0.0631384	0.0661853	0.069084	0.0810212
village	0.0113364	0.0106176	0.00739336	0.00618297	0.0090434	0.0189124	0.0176427	0.0248939	0.0165827	0.00792225	0.00601974	0.00662891	0.00644263	0.00774991	0.00929342	0.0118496	0.0118311	0.0159277	0.0309269	0.0553261	0.0762895	0.0956473	0.108126	0.0965126	0.110823	0.105493	0.114585
</S>	0.0237609	0.0200925	0.017529	0.0147873	0.0141009	0.0180779	0.0171439	0.0225821	0.018676	0.0160598	0.0158887	0.0159615	0.0142656	0.0162033	0.0194955	0.0229409	0.0269516	0.0256113	0.0529149	0.055289	0.0808819	0.0743665	0.0959977	0.0823462	0.072484	0.0681426	0.0774486
