 	w	a	e	b	v	í	é	l	á	a	t	u	n	g	á	m	á	l	ω	i	</S>
il	0.30072	0.293387	0.122762	0.101499	0.0369019	0.010958	0.0120815	0.0116114	0.00465288	0.00597789	0.00555171	0.00258229	0.00469084	0.011621	0.00777369	0.0183367	0.0182207	0.011589	0.0116655	0.00552416	0.0018929
finira	0.0253539	0.0191818	0.115283	0.235142	0.0902429	0.0774975	0.0692173	0.0702964	0.103862	0.0842103	0.0455359	0.00554602	0.00157771	0.0027816	0.00988091	0.00581786	0.00583295	0.00604949	0.00663419	0.00884413	0.0112121
par	0.0255985	0.0319975	0.0200028	0.0240417	0.0310934	0.0272381	0.0380523	0.0451937	0.028357	0.0263353	0.038989	0.0448697	0.0456161	0.0530914	0.0752623	0.0844178	0.075386	0.0532574	0.0595075	0.0649032	0.106789
maigrir	0.0064839	0.008133	0.00645527	0.00859136	0.00862917	0.00810478	0.0082251	0.00996626	0.013738	0.0188912	0.0634894	0.0965077	0.101082	0.0867516	0.104484	0.0658516	0.0729562	0.0776404	0.0737423	0.076942	0.0833344
à	0.0379805	0.0240121	0.0482677	0.0532178	0.0496381	0.028682	0.0275308	0.021147	0.016174	0.0231452	0.0332259	0.0213797	0.0497603	0.030742	0.0193677	0.0419313	0.0510809	0.083076	0.0783665	0.0928139	0.16846
cause	0.0270427	0.0354875	0.0358464	0.0354413	0.021565	0.0184036	0.016533	0.0136219	0.0126497	0.0257043	0.0520498	0.0402282	0.0552165	0.065212	0.0656056	0.0826031	0.0789462	0.079755	0.0760633	0.0787051	0.0833196
de	0.0147111	0.0185387	0.0213901	0.0276318	0.0318988	0.0285151	0.0252847	0.0219398	0.0196345	0.0198006	0.0258959	0.0278254	0.0211469	0.0264518	0.0381136	0.0459919	0.0535355	0.118256	0.128802	0.134971	0.149664
l'	0.0234409	0.0256059	0.0279992	0.0296616	0.0302989	0.022299	0.0205256	0.0158714	0.0160526	0.0191684	0.0131904	0.0115299	0.0231271	0.0173154	0.0221463	0.0415843	0.0491797	0.135352	0.130827	0.143656	0.181168
alcool	0.0280601	0.030053	0.0309568	0.0380474	0.0300229	0.0240945	0.0203578	0.0149644	0.00816624	0.00975529	0.0133345	0.0080115	0.0136375	0.0278034	0.0322907	0.0697136	0.0799348	0.10536	0.118557	0.130646	0.166232
</S>	0.0154263	0.0124708	0.0246996	0.0215455	0.0223857	0.0214016	0.0393876	0.0638261	0.0586646	0.0333542	0.0219036	0.0281123	0.0537093	0.0624646	0.0408379	0.0498193	0.0477676	0.0610035	0.0970368	0.0615942	0.162589
