 	b	e	a	b	í	d	z	á	a	b	í	í	p	έ	έ	b	á	a	w	a	í	d	z	e	i	t	í	i	s	í	</S>
le	0.0170092	0.0109046	0.0155696	0.0163372	0.00998428	0.0110687	0.021042	0.0232372	0.0288372	0.0377412	0.0383121	0.0609796	0.0726469	0.0866229	0.0673688	0.039633	0.0545638	0.0442591	0.0460423	0.0352362	0.0377882	0.0194548	0.0350233	0.0268413	0.0162245	0.0281995	0.0186804	0.0218039	0.0228708	0.0193992	0.0163182
repas	0.106125	0.175635	0.200166	0.163148	0.131738	0.031771	0.0164351	0.0110654	0.00518829	0.00361857	0.0187169	0.0143787	0.00786123	0.00620959	0.00817431	0.0168659	0.00995354	0.0184162	0.00611696	0.00622859	0.011646	0.00639349	0.00385103	0.00165522	0.00402848	0.00287908	0.00403907	0.00168506	0.00230032	0.00227091	0.00143904
qu'	0.0768988	0.130455	0.0576938	0.0547149	0.0374422	0.0364424	0.02969	0.036607	0.0301917	0.0219322	0.00825638	0.0198874	0.0243766	0.0134207	0.0386644	0.0153368	0.0222087	0.0285044	0.0298027	0.0274729	0.0402826	0.0518845	0.0356631	0.0200721	0.0277538	0.0229899	0.0126184	0.012907	0.00792328	0.0167675	0.0111391
on	0.0386069	0.0315751	0.0203287	0.0136786	0.00807263	0.00757026	0.0115613	0.0117641	0.0262439	0.0310276	0.0324492	0.0579297	0.0686153	0.0511922	0.0780991	0.041425	0.0626428	0.0708965	0.0436653	0.0213218	0.0106118	0.0224888	0.022578	0.00998578	0.00960429	0.0182891	0.016959	0.0157647	0.0331179	0.0318882	0.0800462
lui	0.0432673	0.0433156	0.0492285	0.0610286	0.0511275	0.0559408	0.0564874	0.0490203	0.0493364	0.0410917	0.0297597	0.0405433	0.0402553	0.0227658	0.032438	0.017049	0.0095079	0.0187044	0.0233475	0.0223648	0.0280777	0.0374243	0.0314911	0.0244185	0.0243234	0.0124837	0.00744128	0.0112336	0.0112808	0.0251919	0.030054
a	0.0625325	0.0515768	0.0388658	0.0447834	0.0404317	0.0432046	0.0480609	0.029598	0.0357913	0.0420054	0.0160366	0.0177769	0.0167711	0.0120314	0.0128122	0.0109962	0.00740407	0.00989404	0.00940779	0.00789744	0.0148589	0.0214081	0.0376627	0.0438067	0.0611642	0.0459295	0.0273266	0.0426213	0.0302913	0.0612125	0.0558402
donné	0.0551752	0.0360948	0.0458344	0.0441641	0.0595021	0.0441739	0.0310554	0.0210192	0.0227431	0.0272336	0.0232268	0.0186165	0.0143713	0.00999901	0.0103159	0.0099237	0.0111197	0.0126555	0.0138077	0.0091977	0.0151803	0.0215148	0.0346303	0.0394887	0.0496516	0.0459727	0.0450513	0.0493863	0.0537081	0.0567603	0.068426
n'	0.0801541	0.0641401	0.0519805	0.043398	0.0401664	0.0498345	0.0538313	0.0349701	0.0416413	0.0436359	0.03129	0.0586678	0.0475227	0.0289012	0.019825	0.0116944	0.00919363	0.00523212	0.00393437	0.00223932	0.00357767	0.00574942	0.011414	0.0156076	0.0169165	0.0163608	0.0174637	0.0214788	0.0356096	0.0367642	0.096805
était	0.0596637	0.0511822	0.0346496	0.0317633	0.0376258	0.0347657	0.034272	0.0301731	0.0331821	0.0293046	0.026268	0.0243113	0.0300656	0.0213299	0.0185138	0.0112387	0.013206	0.0115803	0.0140965	0.00517899	0.00494989	0.00552752	0.0136143	0.0205752	0.0235949	0.0302211	0.0300554	0.0262034	0.057668	0.053581	0.181638
insuffisant	0.081824	0.0577215	0.0293378	0.0197168	0.014144	0.0135647	0.0116039	0.00469905	0.00448019	0.0103786	0.0121137	0.0169096	0.0203874	0.0165725	0.0195891	0.0217311	0.0309318	0.0328053	0.0470439	0.0179041	0.0164938	0.0151354	0.0177643	0.0216308	0.0192377	0.0302443	0.0416791	0.0266091	0.0725609	0.0469654	0.20822
</S>	0.0632862	0.0481512	0.0332944	0.0316001	0.0472233	0.0383608	0.0327032	0.030954	0.0360428	0.0186611	0.0113763	0.00788522	0.00734161	0.0056427	0.00706695	0.00600021	0.0113984	0.0107617	0.0192976	0.00782135	0.00619685	0.00563974	0.0159625	0.0261718	0.0196354	0.0416152	0.0499867	0.0260799	0.086215	0.0736048	0.174023
