 	n	g	a	n	g	a	á	m	i	k	á	m	b	á	m	ó	l	e	t	s	í	b	h	i	</S>
le	0.0379255	0.044154	0.0438615	0.0265618	0.0301108	0.0539388	0.0726263	0.0457206	0.0369441	0.0455083	0.0463775	0.0322306	0.0266273	0.0235416	0.0332555	0.076458	0.0935635	0.0498308	0.030664	0.0267238	0.0232849	0.0245584	0.0304405	0.027376	0.017716
féticheur	0.0919632	0.0602876	0.0655397	0.164335	0.107135	0.0829577	0.106887	0.169635	0.0548251	0.0167386	0.0102514	0.00610112	0.00462913	0.00793102	0.00457875	0.00733968	0.0068753	0.00501972	0.00647448	0.00686319	0.00638699	0.00359778	0.00186562	0.00106463	0.00071796
a	0.00693224	0.0196386	0.0152448	0.0366575	0.0551574	0.0469829	0.0782427	0.134326	0.102612	0.0517191	0.0773501	0.045018	0.0661744	0.0393292	0.0515635	0.028172	0.0331931	0.0257971	0.0189563	0.0178277	0.0118555	0.00584662	0.00517875	0.00938698	0.0168373
besoin	0.0284927	0.0264804	0.0218217	0.0434384	0.0325958	0.0345623	0.0513331	0.0445834	0.0455718	0.0414613	0.0321621	0.0266101	0.0169836	0.0179964	0.025748	0.0445439	0.0447019	0.0567816	0.0547793	0.054727	0.0452806	0.050722	0.0481467	0.0462125	0.0642633
d'	0.0586374	0.0280458	0.0194104	0.0189782	0.0147663	0.0221226	0.0241921	0.021889	0.0186731	0.0193459	0.0210363	0.0218345	0.0226279	0.0196375	0.0245346	0.0286061	0.0354701	0.041074	0.069637	0.0756803	0.0697784	0.0706356	0.0774345	0.0791377	0.0968143
un	0.0465562	0.0209711	0.0153356	0.0145715	0.0120587	0.020793	0.0254177	0.0264589	0.0243738	0.0256357	0.0274451	0.0238836	0.0227642	0.0221345	0.0251354	0.0389175	0.041035	0.0348636	0.0860823	0.0904425	0.0823625	0.0725866	0.064328	0.0558169	0.0800301
poil	0.053459	0.0426817	0.0363334	0.0280983	0.0276547	0.0274525	0.0289934	0.0338777	0.0279509	0.023755	0.0274904	0.0308477	0.0116935	0.012346	0.00943054	0.0263415	0.0292635	0.034624	0.0698776	0.055731	0.0738485	0.0742272	0.0516438	0.0634634	0.0989145
d'	0.0471868	0.0390749	0.0336236	0.0241895	0.0240301	0.0224032	0.0216274	0.0231484	0.0265974	0.0285842	0.0313224	0.023369	0.0147626	0.0136021	0.00918199	0.0261962	0.0299934	0.0397437	0.0591572	0.0588316	0.0868089	0.100868	0.0570833	0.0630911	0.0955228
éléphant	0.0469323	0.0256855	0.0202982	0.0194396	0.0161737	0.0153392	0.0183428	0.0128503	0.0103244	0.00953396	0.00848375	0.00839016	0.00511768	0.0065189	0.00681696	0.0166322	0.0214603	0.0295718	0.0386552	0.0367422	0.0705606	0.101012	0.13155	0.139843	0.183725
</S>	0.0347083	0.0295662	0.0280411	0.0259794	0.0249433	0.0221414	0.0169392	0.017182	0.016779	0.0177611	0.0230874	0.0285173	0.0285963	0.0195018	0.0183165	0.0208054	0.0314606	0.0496665	0.0741846	0.0666933	0.080064	0.0612206	0.077792	0.0752678	0.110785
