 	n	g	ó	o	á	b	ó	m	b	i	m	w	á	n	a	s	ú	b	h	u	l	é	t	o	ó	</S>
la	0.0555535	0.0327864	0.0223281	0.0221616	0.0100359	0.0210263	0.0203631	0.0372024	0.0451534	0.0613568	0.0594041	0.0571617	0.0476459	0.0503182	0.0384318	0.0523297	0.0508257	0.0464008	0.0349102	0.0454004	0.0448228	0.042577	0.0279911	0.0358018	0.0150459	0.0229652
mère	0.652823	0.081971	0.1045	0.0470171	0.0482883	0.0140743	0.0140157	0.0101861	0.00739793	0.00493962	0.00234726	0.00295768	0.000821846	0.000929032	0.000589115	0.000409778	0.000813392	0.00119375	0.000665378	0.00162852	0.000825284	0.00065443	0.000431524	0.000358562	0.000120632	4.08325e-05
a	0.0438926	0.0597523	0.0712328	0.0381726	0.04833	0.0329747	0.0618518	0.0775134	0.0747204	0.0444115	0.0268309	0.110323	0.0176184	0.024514	0.0364367	0.0184947	0.0230531	0.0229538	0.0115586	0.0229596	0.0207856	0.0188931	0.0129126	0.0303717	0.0234034	0.0260388
gardé	0.0400735	0.0378417	0.035187	0.0249218	0.0251508	0.0224858	0.0261111	0.0438639	0.0373168	0.031845	0.0282007	0.0236593	0.0339311	0.0249583	0.0406066	0.0380753	0.0614365	0.0459332	0.0314992	0.0578598	0.0608564	0.0557612	0.0440006	0.0521044	0.0417746	0.0345455
du	0.0787937	0.0297311	0.0295595	0.0436379	0.0268192	0.0325193	0.0303238	0.0329187	0.039255	0.0331269	0.0306891	0.0224804	0.0321181	0.0226489	0.0169544	0.0356769	0.0425639	0.0344775	0.024306	0.0294869	0.0431179	0.0350903	0.0519756	0.0500609	0.0469422	0.104726
jus	0.0181866	0.0161915	0.0206515	0.0172748	0.0186228	0.0250273	0.0303365	0.0298225	0.046427	0.0379396	0.0566547	0.0295155	0.0495921	0.0406705	0.0310413	0.0392916	0.0502296	0.0420233	0.0401876	0.0538003	0.0552092	0.031511	0.0685933	0.0532798	0.048828	0.0490923
d'	0.018621	0.0157238	0.0161201	0.0151902	0.0157147	0.0181099	0.0198637	0.018847	0.0282518	0.0312255	0.0400119	0.0638517	0.0624676	0.0413053	0.0384377	0.0417121	0.0485501	0.0620447	0.04183	0.063636	0.0510235	0.0358249	0.0402543	0.0463426	0.0570471	0.0679929
ananas	0.0132696	0.011879	0.014238	0.0125911	0.0137247	0.0105081	0.0122178	0.0157822	0.0216084	0.0234224	0.0449	0.0292927	0.0509727	0.040964	0.0326469	0.0423935	0.0596778	0.0670956	0.0547783	0.0654194	0.0572535	0.0474226	0.0496419	0.0470417	0.058465	0.102793
pour	0.049491	0.0297062	0.0647379	0.0466856	0.0348816	0.0221481	0.0293723	0.0508871	0.02632	0.0322658	0.0295481	0.0318404	0.0499471	0.0158614	0.0210791	0.0364565	0.0254688	0.0236428	0.0308218	0.026455	0.0444168	0.0394131	0.0564622	0.0486845	0.0583	0.0751068
son	0.0238385	0.0149445	0.0231576	0.0212132	0.021197	0.0161325	0.0140706	0.0131904	0.0129419	0.0144299	0.0159877	0.0141691	0.0212167	0.0140807	0.0303218	0.0496738	0.0462795	0.0486463	0.066365	0.0565493	0.0802149	0.0717774	0.0758778	0.065657	0.0798343	0.0882327
enfant	0.0306442	0.0355504	0.0506416	0.0240055	0.0305928	0.0151063	0.0139019	0.0125662	0.0145481	0.0163711	0.0297764	0.0176604	0.0274419	0.030238	0.0390813	0.0395711	0.041721	0.0658649	0.0320846	0.0737601	0.0599567	0.0500196	0.0571208	0.0590512	0.0646474	0.0680764
</S>	0.0841322	0.0456015	0.0882849	0.0867256	0.0763005	0.0369814	0.0285177	0.0497822	0.016962	0.0233536	0.0142538	0.0194644	0.0293511	0.0201406	0.0268377	0.040858	0.0257946	0.0379011	0.0177755	0.0156175	0.0200081	0.026736	0.0379588	0.030747	0.0387527	0.0611615
