 	s	á	b	á	n	a	b	á	o	k	ω	n	i	i	o	n	g	ω	n	g	ω	é	d	í	n	d	a	</S>
de	0.0131027	0.0343983	0.036069	0.0266508	0.0178411	0.0290636	0.0383677	0.0391165	0.0297521	0.0380153	0.0429722	0.045981	0.0457061	0.0510578	0.0362808	0.034555	0.0197621	0.0109133	0.0112185	0.0129901	0.0131629	0.01729	0.0372421	0.0695219	0.0812833	0.0749418	0.0551774	0.0375665
ces	0.0656542	0.0379163	0.0346136	0.0380433	0.0496389	0.0388366	0.0431261	0.0387865	0.0338723	0.0464004	0.0425265	0.0152236	0.0232591	0.0140723	0.0119399	0.014024	0.0614635	0.0663989	0.0838385	0.0684096	0.0616123	0.0295064	0.024071	0.0196458	0.0146916	0.00723527	0.00368317	0.0115104
enfants	0.062309	0.0423381	0.0240726	0.0281514	0.0136666	0.0148788	0.0164493	0.014665	0.0096785	0.0192925	0.0176603	0.0199689	0.0185287	0.0204989	0.0250966	0.0251588	0.020021	0.0297408	0.0257153	0.0456421	0.0568158	0.0677048	0.0589346	0.0630483	0.0679782	0.0559056	0.0649643	0.0711152
qui	0.0241371	0.0214549	0.0183594	0.015615	0.0139166	0.0119103	0.0110917	0.0122276	0.0153124	0.0137062	0.0114028	0.0175085	0.0217898	0.0259211	0.0342583	0.0444077	0.0711796	0.0661128	0.0651819	0.0460213	0.0709832	0.060396	0.0824443	0.0643827	0.0499958	0.0383949	0.0318996	0.0399882
sera	0.0215931	0.0269156	0.0202296	0.0229492	0.0248539	0.0333484	0.0321779	0.034265	0.0378618	0.0334449	0.0290193	0.0360234	0.0337946	0.0279284	0.0275768	0.0289285	0.0210355	0.04478	0.0381948	0.0375977	0.0405359	0.0432858	0.0683276	0.0432005	0.06126	0.0281496	0.0507177	0.0520042
le	0.0495139	0.0710219	0.0377946	0.0413257	0.0516873	0.0537698	0.049119	0.0475878	0.0472192	0.0425682	0.0314073	0.0397666	0.0353563	0.0281959	0.0245461	0.0250039	0.0149769	0.0207755	0.0195229	0.0221045	0.0212697	0.0198196	0.0295297	0.0299297	0.0258035	0.0278858	0.0331813	0.0593177
dernier	0.0808275	0.0800143	0.0435546	0.0416948	0.0414777	0.0384362	0.046445	0.0641286	0.0656257	0.0684492	0.0651292	0.0723002	0.0580186	0.0471914	0.0229317	0.0126202	0.0065859	0.00938119	0.00700304	0.00651073	0.00593455	0.00630975	0.0104232	0.00581664	0.0236847	0.00666365	0.0190973	0.0437445
à	0.0879454	0.0441373	0.0324665	0.0525891	0.043466	0.0540146	0.073723	0.0767773	0.0476299	0.0423829	0.031894	0.0443005	0.0438893	0.0371999	0.0297461	0.0208858	0.0148175	0.0139099	0.0154321	0.0136248	0.010386	0.00811915	0.0138182	0.0197275	0.0130728	0.0172127	0.015041	0.0817908
marcher	0.199231	0.105797	0.0593495	0.051686	0.0479722	0.0444494	0.0222903	0.0199194	0.0123017	0.0237076	0.0264775	0.0186834	0.0185874	0.0230211	0.0213758	0.0264994	0.0229538	0.0315152	0.026526	0.0282832	0.0212165	0.0154811	0.024615	0.0254309	0.0180356	0.0134439	0.0173784	0.0337716
à	0.115747	0.0559104	0.0476538	0.0436065	0.0427959	0.022546	0.0139873	0.012103	0.0112978	0.011874	0.0107731	0.0127061	0.0131327	0.0141527	0.0168104	0.0165317	0.0155524	0.0175912	0.0194978	0.0194809	0.0168742	0.0153163	0.0462961	0.0341572	0.0741585	0.0693666	0.0632056	0.146874
quatre	0.145266	0.0650417	0.0493238	0.03368	0.0290634	0.0155441	0.00876481	0.00834309	0.00693958	0.0115064	0.0128155	0.00760026	0.00737196	0.00886163	0.0123325	0.0161494	0.0179899	0.025108	0.0263873	0.0219131	0.019209	0.023603	0.0447774	0.0544365	0.0687329	0.0513954	0.0832839	0.124559
pattes	0.0632363	0.0248033	0.0218636	0.021972	0.0229617	0.0192732	0.0169063	0.0142309	0.0110566	0.0138829	0.0138321	0.0124911	0.0116514	0.0137659	0.0164312	0.0154325	0.0228027	0.0295725	0.0394698	0.0432813	0.0460653	0.0428861	0.066392	0.0663135	0.069884	0.0699914	0.0731751	0.116375
</S>	0.0698671	0.0270426	0.0215732	0.0210416	0.0216469	0.0226562	0.0245648	0.0299297	0.0276765	0.0339345	0.0335734	0.0335285	0.0289188	0.0307199	0.0373742	0.0313718	0.0328822	0.0329811	0.0367811	0.0280478	0.0271959	0.02932	0.0397505	0.0312321	0.0562682	0.057676	0.0522756	0.0801698
