 	m	b	ώ	n	g	ω	y	á	á	b	ó	m	b	á	n	g	á	m	b	v	á	a	w	a	é	s	á	a	m	b	v	a	</S>
l'	0.0104719	0.0126053	0.00663257	0.00914519	0.010283	0.0094895	0.0189777	0.0391461	0.0398252	0.0344451	0.0411643	0.0496158	0.0648361	0.0647511	0.0601851	0.048336	0.0363114	0.0336633	0.02343	0.0182671	0.0184202	0.0176166	0.0201902	0.0204443	0.0367357	0.0396475	0.0361042	0.0304008	0.042653	0.0284894	0.0343766	0.0257375	0.0176022
argent	0.022854	0.0850203	0.175015	0.123639	0.0960008	0.0868067	0.0128388	0.0181439	0.0255119	0.023372	0.0161069	0.0225592	0.0272355	0.0218182	0.0198199	0.0308679	0.0352468	0.0204812	0.0264778	0.015429	0.00912201	0.00779203	0.0113	0.00921939	0.00483571	0.0115501	0.0159262	0.00527617	0.00965095	0.00209898	0.00457331	0.00236185	0.00104925
que	0.0377667	0.0267733	0.0204358	0.0167186	0.0178414	0.0239655	0.0266632	0.0319557	0.0240624	0.0209032	0.0157955	0.0128856	0.0159462	0.0277573	0.0247866	0.0326712	0.0231568	0.0212177	0.0312903	0.034162	0.014729	0.0343255	0.0286267	0.0312398	0.057736	0.066195	0.0651105	0.0532175	0.0423911	0.0310148	0.0466338	0.0285928	0.0134325
j'	0.0267469	0.0314024	0.047541	0.0613885	0.0560194	0.027577	0.0196139	0.026884	0.0301722	0.0422655	0.0405995	0.0374048	0.0488615	0.0408282	0.0422663	0.0363165	0.0252652	0.0191738	0.0226587	0.0181124	0.016946	0.0199214	0.0183904	0.0180765	0.0182497	0.0172618	0.0166446	0.0233831	0.0131747	0.0180632	0.0304631	0.024881	0.0634469
avais	0.0244136	0.0261413	0.0353517	0.0303506	0.033408	0.040863	0.0342241	0.0373304	0.0284483	0.028949	0.0273572	0.0190249	0.027154	0.0378042	0.0264115	0.0293138	0.026444	0.0237077	0.0235176	0.0439093	0.0274431	0.0447166	0.0198746	0.0236257	0.0322216	0.0146375	0.0195511	0.0169664	0.0160542	0.0176514	0.0215622	0.0184939	0.123078
gardé	0.0576787	0.0657799	0.0701554	0.051865	0.0277409	0.0281366	0.00809625	0.00865603	0.00548531	0.0035572	0.00283153	0.00333748	0.00702942	0.00506982	0.00633726	0.0148123	0.0105288	0.0264111	0.0247493	0.0515145	0.0266033	0.0481934	0.0526409	0.0429125	0.0480702	0.0539067	0.0483146	0.0419573	0.0380351	0.0286395	0.0272628	0.0211157	0.0425749
chez	0.0330461	0.0426428	0.0421968	0.0425194	0.0425367	0.0352727	0.0226042	0.0206579	0.0181995	0.0175841	0.0177794	0.0158011	0.0165684	0.01874	0.0185985	0.0220683	0.0169918	0.0215984	0.0160947	0.0299479	0.0416666	0.0456132	0.031243	0.025057	0.023391	0.0128152	0.0156725	0.0193708	0.0290404	0.0345289	0.0443029	0.0460846	0.119765
lui	0.0311393	0.0385081	0.0422224	0.0691329	0.0766155	0.0614817	0.0366381	0.0360773	0.0282196	0.0254976	0.0222812	0.023273	0.0220025	0.0197531	0.0155824	0.0276649	0.0185832	0.0203264	0.0191484	0.0225822	0.0188711	0.0373548	0.0227528	0.015631	0.00589509	0.00615705	0.00611444	0.00641021	0.00965764	0.0117775	0.0263345	0.0346815	0.141632
est	0.069998	0.0732497	0.0754185	0.061392	0.0539451	0.0317136	0.0137239	0.0150436	0.0174462	0.0165836	0.0120077	0.0177013	0.0163695	0.0135019	0.0132862	0.0126254	0.0143664	0.0115395	0.0210123	0.0240942	0.0227109	0.0317674	0.0381834	0.0224894	0.0162969	0.0246592	0.0334827	0.0122075	0.0227897	0.0116316	0.0407851	0.0369127	0.101065
encore	0.0987695	0.053713	0.0465504	0.0400906	0.0331589	0.0210739	0.0102308	0.00745508	0.0101691	0.0123419	0.0105751	0.010475	0.0119243	0.0140791	0.012656	0.0112852	0.0148444	0.0155849	0.0188757	0.0295618	0.0219532	0.0266596	0.0199705	0.0213324	0.019264	0.0316675	0.0208953	0.0194789	0.0337485	0.0208755	0.076107	0.0696164	0.135017
juste	0.066883	0.0239443	0.0227605	0.0187389	0.0131189	0.0124871	0.0128052	0.0163713	0.0336141	0.0485547	0.0496835	0.0523898	0.0275306	0.0377038	0.0330923	0.0230835	0.0391015	0.0284385	0.0311477	0.017863	0.0312395	0.0407918	0.0185997	0.0193375	0.019392	0.0175941	0.0182106	0.0235251	0.0194544	0.020295	0.049064	0.030225	0.0829595
</S>	0.131828	0.0422364	0.0211841	0.0179982	0.0154149	0.010326	0.0129382	0.0165076	0.0378677	0.0329001	0.0241523	0.0284788	0.0243383	0.0162344	0.0149647	0.0115415	0.0134374	0.0145544	0.0110485	0.0103767	0.0137561	0.0301633	0.016396	0.0232132	0.0207725	0.0209127	0.0133447	0.0225056	0.0213866	0.0268493	0.0611815	0.042593	0.178597
