 	o	b	o	n	g	í	á	s	a	a	b	á	a	b	e	n	g	á	p	f	ú	e	e	</S>
a	0.0108275	0.00672276	0.0142697	0.00849008	0.0212455	0.017565	0.0464601	0.0503992	0.0748705	0.0896189	0.0693421	0.0651292	0.0554336	0.0703777	0.0716429	0.0470412	0.0719447	0.0637607	0.0299029	0.0257227	0.0245579	0.0196272	0.0221966	0.0228513
obongui	0.113561	0.105573	0.0524072	0.0521427	0.040812	0.0631909	0.0707073	0.104829	0.0633168	0.0561188	0.074748	0.0632827	0.0395658	0.0263808	0.0205219	0.00868418	0.00691247	0.0120584	0.00881787	0.0032079	0.00274679	0.0032498	0.00267631	0.00448874
on	0.0118064	0.0598654	0.0280725	0.0241505	0.0404927	0.0466541	0.0539793	0.0724363	0.0875096	0.0504589	0.0409495	0.0350294	0.0259564	0.0249487	0.0143325	0.0196544	0.0244181	0.0363167	0.0382711	0.0581285	0.0648918	0.0622278	0.0395637	0.0398857
pratique	0.0148169	0.0134064	0.0151483	0.0529625	0.0377783	0.0625129	0.0718145	0.0526374	0.0518672	0.0229154	0.0321737	0.0337341	0.0335253	0.0374304	0.0345961	0.0367401	0.0525983	0.0695741	0.0659274	0.0503997	0.0319799	0.0458603	0.0378304	0.0417703
encore	0.0331826	0.0296449	0.0277146	0.02563	0.016613	0.0284257	0.0302585	0.0499322	0.0410762	0.0333779	0.0301899	0.0279329	0.01844	0.0266573	0.0201039	0.0232445	0.0263257	0.0385894	0.0514201	0.0622934	0.0619265	0.0869308	0.0703879	0.139702
la	0.0275641	0.0263142	0.0175204	0.0201232	0.0121319	0.0209187	0.0323868	0.0344742	0.0455584	0.0633213	0.0651454	0.073452	0.0346289	0.0413011	0.0389567	0.0264903	0.0184809	0.0231509	0.0282299	0.0363336	0.0445527	0.0586971	0.0710482	0.139219
chasse	0.065811	0.0610038	0.0273828	0.0235286	0.0162276	0.0159213	0.0186575	0.0126683	0.0312531	0.0370687	0.028934	0.0243842	0.0269822	0.0266637	0.0300995	0.0281733	0.0313893	0.0382135	0.0551346	0.0650733	0.0681665	0.0723098	0.0775618	0.117392
au	0.044584	0.0558927	0.0267752	0.0210716	0.0138138	0.0152753	0.0198015	0.0185544	0.0291366	0.034788	0.0422332	0.0397223	0.0363715	0.0555014	0.0472469	0.0373769	0.0248326	0.0327904	0.0424656	0.0536412	0.0506857	0.068637	0.0671976	0.121604
gros	0.204612	0.0606526	0.0449038	0.033467	0.0334432	0.0177166	0.0184031	0.0144996	0.0268811	0.0254614	0.0170036	0.0140877	0.0158408	0.0203535	0.0212929	0.0251966	0.0214576	0.0183062	0.0182036	0.0222963	0.0273806	0.088131	0.0688765	0.141532
gibier	0.0490764	0.0386404	0.0332143	0.0278718	0.0254103	0.0167148	0.0138888	0.011405	0.010317	0.00719306	0.0101509	0.010607	0.0156914	0.0161141	0.016786	0.0249971	0.0415564	0.0390668	0.0630604	0.0921579	0.0967179	0.10865	0.108307	0.122405
</S>	0.0828921	0.0557171	0.0449962	0.0111897	0.0148883	0.00827178	0.00985349	0.00987382	0.0132417	0.00861355	0.011669	0.0102502	0.0116852	0.0273102	0.0406704	0.0525678	0.0384598	0.0415254	0.0509648	0.0557997	0.0787017	0.0625091	0.113268	0.145081
