 	s	á	b	á	n	a	b	á	o	k	ώ	n	d	i	p	i	r	i	o	t	á	n	g	a	n	d	a	</S>
parmi	0.0111586	0.0317904	0.041982	0.0387246	0.0439439	0.0247989	0.0267713	0.0273207	0.0323447	0.0363281	0.0500624	0.0461308	0.0800714	0.0983239	0.0549729	0.0330557	0.0146043	0.00991095	0.00887834	0.00983495	0.00991517	0.0185883	0.0397815	0.0365051	0.0351778	0.0590524	0.0457385	0.0342325
ces	0.10226	0.0448061	0.0380516	0.0278781	0.0280373	0.0291116	0.0286469	0.0293181	0.0261007	0.032396	0.0288224	0.0283767	0.0475251	0.0350356	0.0340284	0.0370347	0.0636536	0.0612825	0.0547997	0.0551276	0.0597784	0.0247571	0.0211753	0.0104021	0.0152793	0.00888587	0.0136741	0.0137545
enfants	0.051386	0.0367256	0.0413027	0.0368452	0.0343817	0.0239556	0.022575	0.0244137	0.0307	0.0240864	0.0457433	0.0449909	0.0521902	0.032494	0.0209724	0.0190432	0.0166173	0.0250223	0.0280054	0.0342884	0.0393777	0.0627341	0.0874438	0.0481624	0.029222	0.0388633	0.0283949	0.0200627
quel	0.0771011	0.0282207	0.0305845	0.0190842	0.0151319	0.0136392	0.0132385	0.014656	0.01491	0.0166368	0.0228948	0.0288491	0.0389149	0.0454686	0.062562	0.06901	0.0714175	0.0617619	0.0484584	0.0538661	0.0403747	0.0360092	0.0379262	0.0316999	0.0281849	0.0165481	0.0214618	0.041389
est	0.0205803	0.0180889	0.0159163	0.0111661	0.0160171	0.0178681	0.017873	0.017318	0.019869	0.0164754	0.0231516	0.0263417	0.0215837	0.025458	0.0304771	0.0412602	0.0551962	0.0802137	0.0829579	0.067977	0.0745225	0.0566238	0.0398623	0.0315238	0.0333811	0.0116729	0.0537843	0.0728401
celui	0.0535584	0.0614716	0.0442356	0.0390971	0.037068	0.0260422	0.0304119	0.0347969	0.0347912	0.0408709	0.0411292	0.0415473	0.0389688	0.0396608	0.0311089	0.0268166	0.0269331	0.0277264	0.0315362	0.0177557	0.0275117	0.0262534	0.0177721	0.0167291	0.0199177	0.0143702	0.0496989	0.10222
qui	0.0329831	0.0243945	0.0230314	0.0209508	0.0295056	0.0304491	0.0303263	0.0296935	0.0289616	0.0277031	0.0374804	0.0376713	0.0301113	0.0384289	0.0327279	0.0381534	0.047022	0.0467001	0.0324585	0.0306372	0.0296507	0.0234394	0.0224387	0.0228307	0.0315381	0.0274905	0.0541555	0.139066
n'	0.0734672	0.0482516	0.0373594	0.0369578	0.0238944	0.0167467	0.0137259	0.0127053	0.0103472	0.0135946	0.0161792	0.0160589	0.0219043	0.0323568	0.0408925	0.0412624	0.0378489	0.0370345	0.0410327	0.014139	0.0364905	0.0299413	0.0291194	0.028979	0.0523418	0.0273788	0.0845922	0.125398
arrive	0.149586	0.0822355	0.0471546	0.0451802	0.0294864	0.0257179	0.0262527	0.0135356	0.0161	0.0128952	0.0123037	0.0130995	0.018155	0.0246149	0.0379984	0.0436696	0.0354893	0.0288177	0.0253323	0.0230997	0.0236547	0.031726	0.0316044	0.0347938	0.0343252	0.0361375	0.0393751	0.0576588
pas	0.216349	0.0948505	0.0438525	0.032796	0.0204287	0.0184776	0.0178943	0.0141657	0.0152279	0.0139898	0.013308	0.0149478	0.0252567	0.0356205	0.0429829	0.0449752	0.0528167	0.0366639	0.0255815	0.0205566	0.0189497	0.0129963	0.0127961	0.0154708	0.0210575	0.0204668	0.0410304	0.0564902
à	0.106694	0.0627068	0.0374694	0.0366168	0.0167473	0.0148786	0.0129472	0.0115566	0.0115896	0.0129631	0.0136306	0.0135391	0.0174436	0.0232513	0.030351	0.0252857	0.0240519	0.0207086	0.0244071	0.0226328	0.0221981	0.0354198	0.0346863	0.0561205	0.0587294	0.0673945	0.0840292	0.101951
lire	0.143596	0.0653294	0.038147	0.0374772	0.019806	0.0122987	0.00878398	0.0118059	0.00959749	0.0145325	0.0173888	0.0174766	0.0247993	0.0303789	0.0298888	0.0207507	0.0250342	0.0198148	0.0298348	0.0175128	0.0272931	0.0322048	0.0295883	0.0368547	0.0531082	0.0426847	0.0809055	0.103107
</S>	0.0831904	0.0479973	0.0330995	0.0298545	0.0146092	0.0122499	0.0109861	0.0141611	0.0119256	0.0173315	0.0203818	0.0194529	0.0253307	0.0301811	0.0308031	0.0246692	0.0274839	0.024118	0.0287835	0.0249878	0.027766	0.0387196	0.0395075	0.0551168	0.0641382	0.0617068	0.0845096	0.0969384
