 	b	é	a	b	í	í	y	ε	í	l	a	b	á	a	é	d	í	e	l	á	m	b	á	l	a	m	b	a	</S>
la	0.00829404	0.0212242	0.0149691	0.00631684	0.00967763	0.0126471	0.00650714	0.0055718	0.0176204	0.0249721	0.0253187	0.0371242	0.0299451	0.0404976	0.0866768	0.101452	0.0967763	0.0842164	0.0863712	0.0466081	0.0472628	0.0414493	0.031219	0.0272663	0.0256294	0.0225586	0.0163094	0.0147148	0.0108041
nourriture	0.0428303	0.156002	0.226124	0.209034	0.070028	0.0455288	0.0341542	0.0111713	0.0134403	0.00661439	0.00650834	0.00833309	0.0102443	0.0227583	0.0112839	0.0167841	0.0132254	0.0131189	0.0201494	0.0196382	0.0139029	0.00721644	0.00642091	0.00745452	0.00223662	0.00184225	0.0016316	0.00117897	0.00114436
qu'	0.0443653	0.0195222	0.0528198	0.043316	0.0326598	0.0222809	0.0114586	0.0139285	0.0222938	0.0372267	0.0607897	0.0382891	0.052712	0.0368471	0.052109	0.057254	0.069824	0.069593	0.0481372	0.025373	0.0350307	0.035579	0.0256678	0.0246675	0.0168169	0.0127234	0.0126202	0.0146435	0.0114512
ils	0.0879173	0.0497854	0.0456936	0.0619826	0.0213966	0.0185153	0.0155196	0.0158274	0.0179458	0.0267273	0.0330679	0.0375924	0.0586675	0.0654982	0.0647278	0.0713047	0.0405247	0.0155163	0.012513	0.015775	0.0135497	0.0131073	0.0139425	0.0160213	0.0165704	0.0165447	0.0267018	0.0193864	0.0876775
ont	0.0484547	0.0183075	0.0207664	0.0249735	0.0298207	0.0310529	0.0261897	0.0345086	0.038752	0.0521636	0.0607963	0.0487923	0.0581502	0.0378181	0.0465883	0.0174727	0.0324177	0.0399677	0.0255806	0.0244146	0.0212287	0.0169756	0.0207917	0.0277932	0.0223972	0.0232044	0.0264921	0.0446502	0.0794787
apportée	0.0274493	0.016275	0.0176029	0.0263999	0.0286571	0.0398021	0.0365466	0.0431904	0.0463866	0.0447439	0.0463582	0.0346087	0.0376719	0.0155493	0.0157694	0.00821143	0.0128774	0.0205555	0.020257	0.0213389	0.025547	0.0229583	0.035274	0.0468622	0.0392112	0.0490112	0.0607946	0.076437	0.0836531
est	0.0571232	0.0428063	0.0191886	0.0192201	0.0359645	0.0283849	0.0480854	0.0406783	0.0244548	0.020091	0.0200036	0.0141094	0.0168999	0.0194054	0.0190754	0.0144586	0.0143119	0.00962354	0.012126	0.0156343	0.0206812	0.0314708	0.0395175	0.0490944	0.0437162	0.0582825	0.0660105	0.0768175	0.122764
déjà	0.0495355	0.035364	0.0262509	0.0252774	0.0231684	0.0347973	0.0201504	0.0224929	0.014972	0.0116809	0.0147736	0.0106144	0.0121405	0.0141369	0.0136929	0.0147705	0.0170138	0.0133376	0.0211288	0.0318605	0.0345635	0.0600124	0.0769769	0.0905305	0.0563117	0.0629296	0.0604384	0.0546454	0.0764323
cuite	0.0449877	0.0478791	0.0380157	0.0381106	0.0314375	0.0416672	0.0198897	0.0188868	0.0112758	0.0104622	0.0104625	0.00646391	0.00518228	0.00561136	0.00323306	0.00387122	0.00774066	0.0182421	0.0270867	0.0265429	0.0369118	0.0667485	0.0673513	0.0693192	0.0643353	0.0620863	0.0649111	0.0581101	0.0931774
</S>	0.0364235	0.0347065	0.0399124	0.0371537	0.034587	0.0376859	0.0260912	0.029733	0.0221998	0.024478	0.0220343	0.0138751	0.0113812	0.0105255	0.00684726	0.00833759	0.0121958	0.0201677	0.0225842	0.0289143	0.0264009	0.0327169	0.0332309	0.0379318	0.0502992	0.0571306	0.0785007	0.0719362	0.132019
