 	o	b	o	s	ó	á	d	z	a	b	á	a	s	i	á	l	ώ	s	ω	b	h	á	p	á	r	á	a	d	í	b	h	á	a	b	h	i	á	b	á	a	s	i	á	i	k	ώ	ώ	o	t	o	</S>
auparavant	0.00754323	0.00991792	0.0142558	0.0131243	0.0244382	0.0255823	0.0418782	0.0363168	0.0395177	0.0431213	0.0465492	0.0655705	0.0683805	0.0379236	0.0372076	0.0240089	0.0413214	0.0211931	0.0240493	0.021228	0.0128454	0.00752995	0.00873981	0.00742379	0.00677454	0.0113872	0.00659511	0.00532528	0.00653575	0.00754276	0.00760791	0.0135583	0.0126142	0.00932513	0.00781846	0.00954094	0.01465	0.0119669	0.00966192	0.00994831	0.00918527	0.0138483	0.0202243	0.0144737	0.0149303	0.0182031	0.019021	0.0141568	0.0169852	0.0154314	0.0130211
on	0.0466875	0.0508326	0.0473168	0.0466006	0.0344941	0.0353741	0.0344777	0.0346885	0.0401883	0.0400851	0.0354979	0.0256771	0.0321758	0.0288267	0.019309	0.0107694	0.0157375	0.010954	0.0152328	0.00951277	0.00806958	0.00837694	0.00785868	0.0123384	0.0167239	0.021983	0.0297724	0.0253629	0.0110963	0.022325	0.0275245	0.0188836	0.0185926	0.0187307	0.0208294	0.0228747	0.0143502	0.0178094	0.00789916	0.00477627	0.00503032	0.00261997	0.00320101	0.00238482	0.00293581	0.00515972	0.00553145	0.00447319	0.00489305	0.00558366	0.00757133
cultivait	0.0669864	0.0648659	0.0778984	0.0751853	0.0662768	0.0609089	0.0414827	0.035601	0.029462	0.0259831	0.0205039	0.0128502	0.0180025	0.0133263	0.00700971	0.0152898	0.0390893	0.036757	0.0271441	0.0157246	0.0169889	0.00901252	0.0152503	0.014263	0.00918931	0.0152326	0.0122481	0.00981487	0.00851273	0.00503122	0.0114243	0.0154412	0.00508691	0.0192454	0.00537352	0.00852346	0.00800257	0.00883075	0.00358809	0.00273323	0.00282004	0.00203856	0.00301819	0.00355599	0.00512958	0.00848188	0.00665857	0.00567838	0.00146833	0.00404334	0.00296612
ici	0.0276638	0.0225712	0.0219888	0.0173363	0.0140923	0.0132475	0.0171433	0.0205135	0.0188697	0.0184328	0.0223267	0.015631	0.015879	0.0121077	0.0101124	0.0101841	0.0154769	0.0283151	0.0355668	0.0320549	0.0427807	0.0338037	0.0300016	0.0315926	0.0278042	0.0330644	0.032863	0.0282992	0.0278976	0.0246493	0.0315034	0.0268399	0.0248222	0.0200409	0.020049	0.0118812	0.0162252	0.0110264	0.015085	0.00898618	0.00982635	0.00777799	0.00813812	0.0069097	0.00734724	0.00777891	0.00827987	0.00906457	0.0118112	0.012692	0.0216447
du	0.0155726	0.0105707	0.0116265	0.011685	0.011731	0.0119543	0.0122581	0.015676	0.0165687	0.0184274	0.016669	0.0108539	0.0119501	0.0178415	0.014306	0.0130854	0.0197898	0.0535968	0.064156	0.0433006	0.078929	0.0375615	0.0421909	0.0370467	0.01636	0.0219101	0.0207171	0.0121833	0.0227656	0.00970537	0.0139411	0.0166719	0.0116216	0.020261	0.0122729	0.0115035	0.0195413	0.0206009	0.0190851	0.0178516	0.0170274	0.0114035	0.0146339	0.00883926	0.0108857	0.00872005	0.015118	0.0144688	0.0088154	0.0121252	0.0136227
riz	0.0294729	0.0227567	0.0197606	0.0172236	0.0151779	0.011892	0.0097165	0.0098706	0.0116709	0.0148864	0.016727	0.0157931	0.0187554	0.0224391	0.0313109	0.0304207	0.026304	0.049031	0.0429556	0.0213636	0.0216502	0.0195058	0.0163625	0.016187	0.0310926	0.023579	0.0227412	0.0225355	0.0171176	0.0156177	0.0199319	0.0164642	0.0178524	0.016275	0.0197388	0.0173653	0.0124473	0.0149536	0.00991506	0.0172051	0.0114866	0.010907	0.0133856	0.00840482	0.016236	0.0166736	0.0196031	0.0190053	0.0170947	0.0251782	0.0359588
maintenant	0.0158651	0.0116034	0.0106759	0.0095475	0.0103258	0.0115987	0.0140142	0.0138512	0.0143736	0.0154131	0.0140069	0.0115414	0.0116956	0.0132859	0.010565	0.0086287	0.00720908	0.0156663	0.0197485	0.0158217	0.0242083	0.0227099	0.0219729	0.021936	0.0290343	0.0268197	0.031816	0.0278312	0.0290334	0.0221931	0.0310581	0.0276244	0.032391	0.0253325	0.0356387	0.0277933	0.0273248	0.0226063	0.0235759	0.0198329	0.0176115	0.0170886	0.0165395	0.0144475	0.0160784	0.0145465	0.0153333	0.0184737	0.0228964	0.0256331	0.0351809
on	0.0762201	0.0255667	0.0204097	0.0160371	0.00929831	0.00785842	0.00848084	0.00760789	0.00964091	0.0138392	0.0161111	0.0159777	0.0152489	0.0180346	0.0287665	0.0240155	0.0196343	0.0276278	0.0198334	0.0169582	0.0183445	0.0216375	0.0188337	0.0245156	0.0394272	0.0335914	0.0313267	0.0261188	0.0220223	0.0208249	0.0229422	0.0258124	0.0228684	0.0195777	0.0230874	0.0166807	0.0199228	0.0156434	0.0199519	0.0153094	0.0163012	0.0127886	0.0146821	0.0101627	0.0142252	0.0134603	0.00822585	0.0137754	0.00829254	0.0141369	0.0183431
ne	0.0733178	0.0278679	0.018857	0.0125888	0.00720055	0.00767208	0.00783725	0.00653205	0.00747101	0.00768353	0.00821954	0.00828955	0.00945706	0.0104363	0.0174441	0.015515	0.0149203	0.022117	0.0232996	0.022707	0.0294975	0.0329176	0.0322459	0.0345826	0.0319946	0.0280492	0.0301466	0.0241344	0.0245135	0.0226599	0.0226232	0.0265513	0.02275	0.0180326	0.0214534	0.0117088	0.022831	0.0145429	0.0218844	0.0231193	0.0266947	0.0193141	0.0191601	0.0141045	0.0131187	0.0130582	0.0124493	0.0152404	0.0103519	0.0132177	0.0176179
cultive	0.0764442	0.0277853	0.0258837	0.0166911	0.00831748	0.00801516	0.0068028	0.00594215	0.00588064	0.00785635	0.00850783	0.00726088	0.00788342	0.00790272	0.0110197	0.0121366	0.0130255	0.0192422	0.0246099	0.015599	0.0295926	0.0247871	0.027854	0.0312888	0.0179371	0.0233473	0.0263921	0.0193058	0.0259583	0.0170646	0.022919	0.0233532	0.0267768	0.0177249	0.0211501	0.0109306	0.0221722	0.0159878	0.0211875	0.0204805	0.02389	0.0161986	0.0210561	0.0108529	0.0146312	0.0162797	0.0177049	0.0231509	0.0258769	0.0304997	0.036842
