 	m	w	á	n	a	n	d	z	é	s	i	á	m	i	l	é	b	h	á	á	ó	n	d	z	á	l	é	</S>
un	0.010348	0.0136793	0.0212801	0.00854874	0.0079296	0.00516264	0.0044057	0.00757186	0.0136866	0.0236323	0.0676155	0.0722185	0.0702664	0.062084	0.0488166	0.045221	0.0368215	0.0336397	0.0512483	0.0571807	0.0422125	0.043291	0.0461566	0.027182	0.0398454	0.0403327	0.0466004	0.0530224
petit	0.033736	0.0216884	0.0644181	0.102173	0.15575	0.21279	0.191915	0.0645785	0.016906	0.00595709	0.00261591	0.00229106	0.00428937	0.00287745	0.00273605	0.00931625	0.00816587	0.0121469	0.00352403	0.00644827	0.0149384	0.0127614	0.0328071	0.00702269	0.00349925	0.00188476	0.00106878	0.00169344
enfant	0.0284678	0.0226931	0.0258787	0.0252931	0.0225944	0.0213501	0.0403102	0.0431281	0.0288225	0.0245925	0.0170069	0.0129469	0.0276602	0.0236493	0.0350705	0.0476394	0.0548675	0.0733709	0.121769	0.0933207	0.089361	0.0419373	0.0243994	0.0160101	0.00798976	0.00890685	0.0147745	0.00618977
s'	0.0356867	0.0530437	0.0198608	0.0186633	0.013915	0.0238897	0.0221781	0.0251236	0.0452991	0.0887167	0.0871128	0.0793796	0.0326524	0.0289737	0.0365663	0.0397655	0.0378851	0.0335277	0.022183	0.0197937	0.0209912	0.0194674	0.0238155	0.022164	0.0319151	0.0246156	0.0302224	0.0625924
est	0.112443	0.0407851	0.0285842	0.024792	0.0129018	0.0135909	0.0241121	0.0266592	0.0212425	0.0206511	0.021891	0.0175865	0.0205501	0.0183615	0.0247345	0.0251344	0.0307637	0.0285388	0.01851	0.0215566	0.0375271	0.0318125	0.0256448	0.0419692	0.0624905	0.0567674	0.0671395	0.123261
noyé	0.0318747	0.027037	0.022808	0.0216504	0.0144258	0.0160851	0.0183947	0.0165545	0.017608	0.00880242	0.00987035	0.0107677	0.0190502	0.0219872	0.024349	0.0366637	0.0448533	0.0487263	0.0245066	0.0331062	0.0881285	0.0687769	0.0703354	0.0726953	0.0621316	0.0481251	0.0459016	0.0747842
dans	0.033123	0.0346723	0.0255645	0.0297485	0.0227661	0.0128627	0.0119428	0.0128343	0.0231768	0.0130759	0.0163217	0.0264418	0.0248732	0.0358515	0.0235689	0.0186424	0.0214423	0.0309447	0.0267864	0.0169395	0.0591922	0.0650589	0.0596029	0.0785761	0.0714088	0.0407867	0.0703126	0.0934825
le	0.0849886	0.051942	0.0330588	0.0368048	0.0220939	0.0238878	0.0316182	0.021631	0.024002	0.0140495	0.01002	0.00938142	0.00970918	0.0147288	0.0108152	0.01724	0.025295	0.0341376	0.0221868	0.0216141	0.0411267	0.0397793	0.031894	0.0468423	0.056767	0.0470175	0.0655212	0.151847
fleuve	0.0751729	0.0599081	0.0378699	0.0309486	0.0206797	0.0253919	0.0219267	0.0131024	0.00943449	0.00731417	0.00575723	0.00632039	0.00888079	0.0130874	0.0104644	0.0128828	0.0121494	0.0175822	0.0072795	0.0130967	0.044134	0.0288851	0.0169667	0.105443	0.055266	0.0507754	0.120646	0.168633
</S>	0.115983	0.064914	0.0422852	0.042386	0.0306792	0.0301606	0.0265178	0.0184388	0.0141617	0.00854388	0.00602453	0.00672743	0.0081265	0.0111643	0.0082595	0.0101203	0.0146399	0.0239735	0.00552754	0.00984095	0.03346	0.0196988	0.013822	0.0759808	0.0586545	0.0397493	0.0870702	0.17309
