 	n	g	ω	l	ω	á	m	a	i	n	g	á	s	á	w	ó	m	á	</S>
le	0.0192554	0.0162881	0.0152269	0.0159888	0.0155851	0.0159367	0.0294597	0.0613667	0.0774782	0.0647657	0.105942	0.113745	0.107427	0.0635955	0.107048	0.0595389	0.0505213	0.0422451	0.0185858
silure	0.478186	0.139705	0.1373	0.120122	0.0827424	0.0214755	0.00556574	0.00154461	0.00404515	0.00239084	0.00139804	0.000694598	0.000497638	0.000508736	0.000988709	0.00104289	0.000953674	0.000660669	0.000178717
m'	0.0331339	0.049418	0.0951688	0.0674638	0.0963909	0.130482	0.0879047	0.0815145	0.0795064	0.0520114	0.0433381	0.0447298	0.0379312	0.015125	0.0119375	0.0256098	0.0217038	0.0163311	0.0102993
a	0.0603466	0.0453421	0.0446462	0.0446788	0.0467937	0.0470678	0.039171	0.0324447	0.0324593	0.0476549	0.0699733	0.0665363	0.0610339	0.023745	0.0219141	0.0440865	0.0874435	0.0495625	0.1351
piqué	0.0589379	0.0399776	0.0459538	0.0469688	0.0443511	0.0410016	0.0260451	0.0217672	0.0214667	0.0217255	0.0265503	0.0283307	0.0338891	0.0333496	0.0558876	0.077975	0.116582	0.103247	0.155994
dans	0.0549581	0.033505	0.0319703	0.0321666	0.0389749	0.0307677	0.0381895	0.0292656	0.0298115	0.0374559	0.032503	0.0334756	0.0420298	0.0362356	0.0363305	0.0707299	0.122295	0.0902772	0.179059
le	0.0347623	0.0312559	0.029248	0.0276289	0.0281769	0.028852	0.0283463	0.0272056	0.0272871	0.0274591	0.0291614	0.0347579	0.0542333	0.0781592	0.0654126	0.0843878	0.0966145	0.0982777	0.168774
ruisseau	0.0330916	0.0287166	0.0259404	0.0244289	0.0259652	0.0185597	0.0158425	0.016448	0.0180699	0.0175444	0.0237377	0.0328431	0.0197905	0.0431582	0.0618485	0.083995	0.112161	0.107671	0.290187
vouma	0.0446638	0.0391412	0.0373293	0.0340743	0.0412445	0.0379311	0.026	0.0233441	0.0181916	0.0166111	0.0103742	0.021211	0.00527554	0.0113424	0.0295644	0.0576817	0.141079	0.0439244	0.361017
</S>	0.0583065	0.0440598	0.0446464	0.0614288	0.0774756	0.0749326	0.0628378	0.0512305	0.0330282	0.0335304	0.0262953	0.0214388	0.0301539	0.0309924	0.029925	0.0423283	0.0936616	0.050452	0.133276
