 	o	y	ú	r	u	w	ó	l	á	a	d	i	b	h	á	f	u	f	ú	y	e	é	d	i	m	í	t	á	á	g	h	á	</S>
cette	0.00670923	0.00762576	0.00826508	0.00647332	0.00670065	0.0124475	0.00409479	0.0113432	0.0105478	0.00885107	0.0127795	0.0141671	0.0337406	0.0611387	0.0476405	0.0143287	0.0412698	0.0153144	0.029643	0.0459664	0.0257847	0.0155384	0.034169	0.0235013	0.021967	0.053481	0.0557133	0.0776437	0.0681749	0.0711639	0.0483698	0.056023	0.0494228
femme	0.237246	0.181053	0.262213	0.176649	0.0358149	0.0201209	0.0326797	0.00584977	0.00252028	0.00294692	0.00215081	0.00211453	0.00286942	0.00302066	0.00216631	0.00114339	0.000877956	0.000682614	0.000628638	0.000497684	0.0018454	0.00219964	0.00546051	0.00379945	0.00391129	0.00198755	0.00186164	0.00144885	0.00200759	0.00145241	0.000261964	0.000315138	0.000202523
couvre	0.0148504	0.0162223	0.0234348	0.0255799	0.0249181	0.0619729	0.0474349	0.0937502	0.10382	0.0390989	0.034553	0.0265856	0.0429939	0.040172	0.0341359	0.0367842	0.0393303	0.0209506	0.0309148	0.026285	0.00978603	0.00504197	0.0105399	0.0140124	0.0186044	0.0447844	0.0264911	0.0355547	0.0189913	0.014944	0.00780318	0.00551576	0.00414313
le	0.0224542	0.0159834	0.0109968	0.00837576	0.0117695	0.00965408	0.00882654	0.0136149	0.016768	0.0237121	0.0214586	0.0185302	0.0155518	0.0150787	0.0169451	0.0337999	0.0229179	0.0358572	0.0279699	0.0222849	0.0328199	0.0337413	0.0309996	0.077604	0.0790001	0.0492724	0.0338701	0.043515	0.0417768	0.0561496	0.0360819	0.0539958	0.0586244
foufou	0.0290349	0.0170242	0.016093	0.012861	0.0141594	0.0116901	0.0234783	0.0115982	0.0135453	0.0261383	0.0195441	0.0222202	0.0305963	0.0257744	0.0271096	0.0383145	0.0263382	0.0381618	0.0451758	0.03119	0.0531173	0.0603565	0.0321081	0.0430875	0.0455981	0.032948	0.036076	0.0308071	0.0427634	0.0374054	0.0242229	0.0420484	0.0394138
qui	0.0566447	0.0418714	0.0253585	0.0187105	0.0160513	0.0157213	0.0151932	0.0125219	0.0188975	0.0173181	0.00953936	0.0127683	0.0155257	0.0134611	0.0207259	0.0254048	0.0267588	0.0301829	0.0583935	0.0378394	0.0528473	0.0727191	0.0336212	0.0317994	0.0477449	0.0252703	0.031027	0.02324	0.023923	0.0350464	0.0332805	0.041903	0.0586898
est	0.0556929	0.0369813	0.0275038	0.0282237	0.0247598	0.0174875	0.0190604	0.0213961	0.0243432	0.0340074	0.0208658	0.0221213	0.0215464	0.0170987	0.0218841	0.0210773	0.0151655	0.0151202	0.017091	0.0162537	0.0196665	0.0288537	0.0173332	0.0192898	0.0236332	0.0261359	0.0475689	0.0228391	0.0466448	0.0506176	0.0509737	0.0656536	0.10311
sur	0.0261055	0.0209655	0.0202174	0.0250364	0.024812	0.0128432	0.0155058	0.0166416	0.0138464	0.0189238	0.0245341	0.0260219	0.0183765	0.0154695	0.0201002	0.0262491	0.0143896	0.0224211	0.0345157	0.0208701	0.0190032	0.0270962	0.0389837	0.0309674	0.0436504	0.0532494	0.0604593	0.0502937	0.0531317	0.0446916	0.0484845	0.0530892	0.0590542
le	0.101389	0.0428219	0.0285641	0.0229738	0.0227728	0.0187801	0.0187631	0.0191126	0.0184978	0.0173411	0.00881888	0.0109194	0.0146441	0.0128668	0.0185563	0.0267726	0.0204785	0.0370344	0.0483996	0.0399147	0.0434146	0.0427304	0.0189539	0.0223543	0.0293402	0.0203021	0.0247882	0.0180902	0.031425	0.0377049	0.0478141	0.0484715	0.065189
séchoir	0.126915	0.039139	0.0265447	0.0125592	0.0121983	0.0110258	0.0157754	0.0111276	0.0137568	0.0270505	0.015967	0.0252808	0.0251793	0.0195948	0.0270064	0.0459508	0.023826	0.0535956	0.0419434	0.044775	0.0575573	0.0376023	0.00899643	0.00722278	0.00730257	0.00495224	0.00800618	0.00554053	0.0165204	0.013729	0.0383638	0.029968	0.145026
</S>	0.0690724	0.0548179	0.047116	0.026935	0.0269099	0.0226638	0.0220055	0.0246867	0.0167309	0.00845549	0.00736	0.00559653	0.00877344	0.00958248	0.0082425	0.014686	0.0107286	0.0189546	0.0281191	0.0274017	0.046826	0.036596	0.0162672	0.0263405	0.0333029	0.0317848	0.0305964	0.0164427	0.0192839	0.0265618	0.0571047	0.0629794	0.137075
