 	o	y	ú	r	u	w	ó	á	k	a	n	i	o	y	e	s	i	s	á	n	d	é	e	y	á	w	a	</S>
cette	0.0122979	0.00924143	0.009678	0.00833772	0.00869285	0.00633347	0.00765636	0.00902055	0.0314419	0.0128139	0.0395025	0.045636	0.0380633	0.032908	0.0318349	0.0316438	0.0338668	0.0368907	0.027425	0.0305046	0.0472959	0.0507847	0.0491078	0.076318	0.0793299	0.0932895	0.082876	0.0572084
femme	0.103314	0.178664	0.185619	0.140382	0.110357	0.145463	0.0559954	0.0377091	0.0113396	0.00478895	0.00224182	0.00326669	0.00229032	0.00127853	0.00142927	0.000537821	0.000593116	0.000837881	0.000572626	0.0011131	0.00163156	0.00223279	0.00293242	0.00172953	0.00146536	0.00163295	0.000368772	0.000214054
a	0.0307279	0.0315846	0.0298163	0.0295157	0.0532425	0.0258909	0.0204967	0.062775	0.0247352	0.0255167	0.026095	0.0354561	0.0743793	0.108026	0.119872	0.055328	0.0593325	0.0468671	0.0248735	0.0130218	0.0112199	0.00852362	0.0135223	0.0174184	0.0143493	0.0148393	0.015766	0.00680826
mis	0.0116435	0.0155106	0.0225082	0.0308973	0.0411387	0.0382888	0.0112298	0.017744	0.0165709	0.0142329	0.0131183	0.0110907	0.0174683	0.0330831	0.0308292	0.0740534	0.100882	0.092215	0.0779439	0.0473452	0.0393228	0.0507318	0.0310899	0.0319447	0.0262125	0.0231095	0.0414109	0.0383839
de	0.0460153	0.0337648	0.0304241	0.0419257	0.0476735	0.0261949	0.0144264	0.0122802	0.0163929	0.0149143	0.0168572	0.0203659	0.0301443	0.0385067	0.0407478	0.0542587	0.0769423	0.0760171	0.0572278	0.0424934	0.0328908	0.0323964	0.0278042	0.0245841	0.0238228	0.0331282	0.034335	0.0534654
l'	0.0226576	0.0192111	0.0197701	0.0200391	0.0256197	0.0182124	0.0123084	0.010321	0.0200974	0.0203924	0.0238419	0.0288442	0.0264397	0.0291793	0.0353789	0.049354	0.0747669	0.081412	0.0744419	0.0558882	0.0511479	0.067742	0.0497359	0.0345483	0.0364546	0.0220384	0.0240994	0.0460575
ordre	0.0452147	0.0399595	0.0392187	0.0417795	0.0398646	0.0327013	0.0276351	0.0200732	0.0351039	0.024734	0.0333796	0.0320399	0.0293348	0.0316058	0.0449115	0.0445133	0.0423196	0.034092	0.0159179	0.0343952	0.0287254	0.0188774	0.0355592	0.0215151	0.0197434	0.0540994	0.0427573	0.0899287
dans	0.0154442	0.0144438	0.0164872	0.015635	0.0168218	0.0135239	0.0151837	0.0132714	0.0200377	0.0198856	0.0202519	0.0161257	0.0138706	0.0244974	0.0183344	0.0342991	0.0482618	0.049667	0.0686247	0.0793992	0.0781651	0.0733405	0.0640197	0.0495046	0.0412224	0.0346523	0.0442996	0.0807298
sa	0.0552285	0.0271815	0.0262261	0.0208144	0.0223898	0.0172434	0.0148811	0.0182761	0.0191434	0.0185182	0.018112	0.0135996	0.0116612	0.0206412	0.0192194	0.0312993	0.0424459	0.0451079	0.0669317	0.0589008	0.0553023	0.0634901	0.0572901	0.0691779	0.0528059	0.0407933	0.046811	0.0465079
maison	0.0309417	0.0277202	0.0225015	0.0140866	0.0117729	0.0120087	0.011248	0.0100716	0.0111398	0.0115868	0.0132391	0.0136188	0.0133224	0.0211245	0.0188136	0.0259762	0.0372496	0.0348052	0.0285876	0.0509531	0.0508789	0.0552309	0.061654	0.0811291	0.0492645	0.0884803	0.0815954	0.110999
</S>	0.0735593	0.0514754	0.0568781	0.0389275	0.0340232	0.0408366	0.0298692	0.0198181	0.0246186	0.0187415	0.0166181	0.00792522	0.00875327	0.0138638	0.013045	0.0200091	0.034979	0.037038	0.0350965	0.0566554	0.0417905	0.0287854	0.0339148	0.0506147	0.0389622	0.0465617	0.0469707	0.0796691
