 	á	m	i	b	ω	n	g	ώ	e	b	e	l	é	y	a	a	l	ω	i	m	ó	f	έ	t	i	</S>
on	0.208064	0.060826	0.0286833	0.0167568	0.0162935	0.0259698	0.0464889	0.0381385	0.0317843	0.0467241	0.0531798	0.0941103	0.0913184	0.0603856	0.0416362	0.0257846	0.0180939	0.0171313	0.0121728	0.0124413	0.00976655	0.00922584	0.00956363	0.00845178	0.00784263	0.00916663
a	0.0310364	0.0497839	0.0411546	0.0321604	0.0514107	0.0462539	0.0524728	0.0886262	0.146863	0.071717	0.0597773	0.0394827	0.0441505	0.0479715	0.0438198	0.0118822	0.0221619	0.0433759	0.020386	0.0149704	0.00998191	0.00893712	0.0046851	0.0045728	0.00426315	0.00810302
fabriqué	0.0271313	0.0301913	0.021987	0.0409391	0.0323712	0.042113	0.0417104	0.032461	0.0445386	0.0330858	0.0322279	0.050085	0.0782329	0.0794787	0.0718904	0.104466	0.0526341	0.0385357	0.0280607	0.0260272	0.0160973	0.0156869	0.0142074	0.0150963	0.0160806	0.0146643
beaucoup	0.0120894	0.0185574	0.0155195	0.0171295	0.0189948	0.020672	0.0243325	0.031833	0.0409792	0.0333032	0.0232611	0.0248075	0.0370607	0.0507563	0.0464143	0.134273	0.0780868	0.0814802	0.102833	0.0867867	0.0197338	0.0157908	0.0139264	0.0171653	0.0172531	0.0169605
d'	0.0312151	0.0350655	0.0281441	0.0413534	0.0475849	0.0570045	0.0471654	0.0219663	0.0210399	0.0090174	0.0146164	0.018044	0.021317	0.0190877	0.0235397	0.0245287	0.0702137	0.0616418	0.0581469	0.0462508	0.0639478	0.052563	0.0527252	0.0707	0.0323287	0.0307921
alcool	0.0446253	0.0277662	0.0307484	0.0443224	0.0578031	0.0599469	0.0573374	0.0511793	0.0466825	0.0289784	0.0410085	0.0325235	0.0218309	0.0191924	0.0249973	0.0165362	0.0234881	0.0225453	0.0254783	0.0376633	0.0430024	0.0370892	0.0500187	0.0471894	0.0262893	0.0817573
de	0.0224651	0.0226971	0.0244028	0.0285351	0.0298725	0.0328993	0.0342749	0.0397635	0.0355971	0.0397877	0.0417414	0.0401883	0.0313878	0.0204787	0.026459	0.0163496	0.020649	0.0213822	0.0359799	0.0439344	0.043915	0.0473398	0.0545206	0.0618412	0.0611352	0.122403
maïs	0.0384333	0.0391841	0.0344291	0.0295344	0.026374	0.0306749	0.0430391	0.0507185	0.0457693	0.0488855	0.0452588	0.0459209	0.0189274	0.0146809	0.0157692	0.00566138	0.0118426	0.0110856	0.0191894	0.0195488	0.020719	0.0286676	0.0464195	0.0690598	0.0857519	0.154455
pour	0.0303947	0.0310162	0.033764	0.039448	0.0348167	0.031266	0.0271064	0.0286706	0.0238636	0.0278439	0.028035	0.0251931	0.0155974	0.0088054	0.0144418	0.00727335	0.0116198	0.0117259	0.032853	0.0301946	0.0337577	0.0484379	0.0615698	0.0817163	0.0738573	0.206732
le	0.0399506	0.0408342	0.0380841	0.0351034	0.0284844	0.0232402	0.0192534	0.0186961	0.0179162	0.0188992	0.0193995	0.0184818	0.0114719	0.00902182	0.010278	0.00605894	0.0135537	0.0135422	0.0345436	0.0212235	0.034165	0.0653674	0.0866305	0.112661	0.123438	0.139701
fête	0.0496621	0.0557385	0.0785474	0.0928935	0.0902522	0.0601745	0.0348298	0.0170545	0.018344	0.011094	0.00975817	0.00796215	0.00983867	0.0120044	0.0140188	0.0159675	0.0243461	0.0280363	0.0365359	0.0308011	0.0317946	0.0393275	0.0472906	0.0527946	0.0588688	0.0720642
</S>	0.0525106	0.0568196	0.0566256	0.0542385	0.0537027	0.0362462	0.0300037	0.0239586	0.0258801	0.0222939	0.0177526	0.0129737	0.00972186	0.0108738	0.011176	0.00944928	0.0117738	0.0106737	0.0257693	0.01694	0.0175636	0.0414645	0.0569278	0.0789652	0.0950864	0.160609
