 	m	w	á	n	a	á	y	u	b	h	u	s	u	n	g	ω	l	ω	m	í	l	ώ	b	h	ω	</S>
l'	0.00594311	0.0110023	0.00899638	0.0131859	0.010011	0.00611051	0.00928521	0.0140844	0.0324425	0.0462289	0.0647538	0.0486584	0.05474	0.0862192	0.0704376	0.0479035	0.050662	0.0501293	0.0519304	0.0535237	0.0490995	0.0485396	0.0471779	0.0408612	0.0446188	0.0334551
enfant	0.0570427	0.0217939	0.11774	0.115996	0.100153	0.0777998	0.151856	0.0689226	0.103712	0.0573089	0.0372054	0.0115727	0.00896803	0.00347001	0.00669575	0.00489866	0.00586313	0.00443654	0.0116858	0.0131695	0.0112275	0.00422387	0.00176825	0.0014186	0.000464311	0.000607035
a	0.0473908	0.0429986	0.0542454	0.0354705	0.036314	0.0490736	0.0403138	0.0378472	0.0332872	0.0623997	0.0507752	0.0706072	0.0418554	0.0276917	0.0488594	0.0549083	0.0470574	0.0463046	0.0432275	0.0355868	0.026324	0.0120519	0.0122429	0.012887	0.0171373	0.0131428
capturé	0.0372175	0.0164777	0.0119638	0.00824924	0.00676133	0.012239	0.0132641	0.0184513	0.0156123	0.01358	0.0280073	0.0158269	0.0352399	0.0652773	0.0717281	0.065878	0.0698211	0.0673956	0.090052	0.0663476	0.0515334	0.0485158	0.0404961	0.043466	0.0497708	0.0368275
un	0.0315478	0.0315218	0.0402391	0.0384574	0.045151	0.0240731	0.0144957	0.0151167	0.0137008	0.0148095	0.014325	0.011246	0.0119541	0.0102423	0.0112374	0.0259122	0.0286298	0.0328568	0.0459264	0.0378739	0.0624179	0.0650808	0.0792058	0.0966933	0.0798396	0.117446
silure	0.0402392	0.0372483	0.0388443	0.0394418	0.0392683	0.0341159	0.0370202	0.0347563	0.0345599	0.0377507	0.0361748	0.0331202	0.0326435	0.0304115	0.0294688	0.0418659	0.032746	0.0401629	0.0426044	0.0298789	0.0314016	0.0406132	0.0383534	0.0427153	0.0425088	0.082086
avec	0.0352978	0.0422513	0.0583382	0.0926954	0.0925325	0.0434012	0.0518157	0.0394125	0.0422411	0.0605896	0.0487161	0.11615	0.0888446	0.0485498	0.0165597	0.0235477	0.0125907	0.0106719	0.0090932	0.00585027	0.00704071	0.0111387	0.0117854	0.0102076	0.00914997	0.0115285
son	0.0620708	0.0599775	0.0537344	0.0553268	0.0577714	0.0490088	0.0302503	0.0246634	0.0183423	0.0254562	0.0225366	0.0414162	0.0261307	0.0270422	0.0154744	0.0325716	0.0170739	0.0162959	0.0267629	0.0153525	0.0253962	0.0417241	0.0612355	0.0412969	0.0452657	0.107823
hameçon	0.056469	0.0470469	0.0371862	0.0338895	0.0371478	0.0273902	0.0142857	0.0214286	0.0113162	0.0194422	0.0124306	0.0329944	0.0323453	0.0320428	0.0275994	0.0414208	0.0299479	0.0197114	0.0244277	0.0158402	0.03291	0.0488547	0.0713468	0.0781175	0.0763383	0.11807
</S>	0.0831467	0.0578234	0.0655092	0.0408966	0.0344137	0.0465386	0.0215279	0.0306622	0.0130017	0.0178484	0.0137885	0.0207964	0.0172559	0.0193469	0.0175864	0.0364244	0.0217408	0.0180281	0.0361529	0.0168064	0.0258059	0.0352911	0.0583864	0.04988	0.0586654	0.142676
