 	o	f	ú	ú	m	u	m	b	v	ú	á	s	á	n	d	é	e	y	í	i	n	ώ	o	t	o	k	a	á	</S>
tu	0.0111618	0.0113039	0.0129357	0.0132292	0.0208505	0.0267715	0.0314709	0.0394788	0.0463815	0.0435112	0.0451097	0.0579688	0.0495037	0.059831	0.0646688	0.062458	0.0467584	0.0277633	0.0180944	0.0152738	0.0136694	0.0108584	0.0198945	0.036446	0.0518582	0.0497979	0.0402893	0.0418658	0.0307957
n'	0.114546	0.102998	0.0706911	0.047741	0.0366064	0.0310159	0.0295036	0.0223061	0.0302138	0.0298327	0.033029	0.044604	0.0409249	0.0894124	0.0472986	0.0366174	0.0522123	0.0148608	0.0188979	0.0143311	0.0124965	0.00482797	0.00631516	0.00464636	0.00806671	0.0161014	0.009928	0.0122789	0.0176955
es	0.121512	0.105279	0.0780898	0.082373	0.0503423	0.0367464	0.0271676	0.0202211	0.0207704	0.0128952	0.0150388	0.0203717	0.041093	0.0411782	0.0800825	0.031866	0.0269044	0.0215677	0.0249562	0.0143146	0.0215532	0.00969904	0.00785592	0.00722356	0.00753069	0.0158621	0.0158429	0.0216206	0.0200413
pas	0.0702896	0.068702	0.0566838	0.04075	0.0336675	0.0300326	0.0343656	0.024167	0.0126472	0.0138395	0.0138348	0.00988806	0.0140551	0.0150052	0.0495463	0.0317241	0.0537596	0.0442778	0.0632499	0.0677254	0.0997692	0.0712584	0.0288798	0.00837041	0.00333419	0.00489513	0.00507014	0.011363	0.0188485
le	0.073651	0.110159	0.0798853	0.0515234	0.0380388	0.0348798	0.0296847	0.0219244	0.0237228	0.0188777	0.0199675	0.0197859	0.0331571	0.0169189	0.0456977	0.0310293	0.0332693	0.0246215	0.0314247	0.033899	0.0372942	0.022271	0.0164373	0.0130486	0.0167929	0.0170229	0.027574	0.0312098	0.0462318
seul	0.0370514	0.0352246	0.0401063	0.044664	0.0372549	0.0299497	0.0218469	0.022782	0.0197725	0.0205688	0.0242067	0.022983	0.029727	0.0295699	0.0492636	0.0321663	0.0364833	0.0467312	0.04727	0.0322292	0.029488	0.0287966	0.0267295	0.0305133	0.0331592	0.038579	0.0364846	0.0449259	0.0714727
à	0.0762843	0.0652228	0.0496332	0.0336774	0.0162604	0.0140623	0.0186096	0.0329239	0.0352163	0.0323889	0.0442154	0.0480029	0.041722	0.0241303	0.0338882	0.0209495	0.0299992	0.034537	0.0463884	0.0360359	0.0291215	0.0244498	0.0288184	0.0151697	0.0188699	0.0178899	0.0244771	0.0438805	0.0631754
t'	0.0832649	0.0599313	0.0438627	0.0342254	0.0321123	0.0244239	0.0266354	0.0365594	0.0421914	0.0360733	0.0462827	0.0413136	0.0383855	0.0187108	0.0165261	0.013395	0.0171794	0.0170808	0.0187729	0.0137403	0.00881731	0.00519079	0.0167215	0.0228234	0.0288884	0.0425818	0.0530235	0.073389	0.0878974
abriter	0.0721904	0.0513462	0.0427375	0.0340116	0.0315962	0.0240951	0.0165039	0.0187112	0.0222193	0.0218091	0.0251462	0.0220855	0.0256442	0.0179167	0.0209042	0.0177255	0.0204839	0.0205465	0.0224851	0.0252599	0.0243855	0.0227169	0.0364642	0.0512916	0.0576529	0.0589562	0.0618992	0.0648637	0.0683516
de	0.0361429	0.0341459	0.0329502	0.0327117	0.0294584	0.0228295	0.0143718	0.014824	0.0175369	0.0208704	0.019679	0.0205747	0.0225413	0.0192477	0.011256	0.0165492	0.013326	0.0342238	0.0193614	0.0224738	0.021207	0.0249757	0.0273409	0.0502736	0.0748738	0.0721039	0.111321	0.0731358	0.0896937
la	0.110867	0.0677326	0.0345567	0.0274664	0.0171554	0.013417	0.016856	0.0226254	0.0234368	0.024265	0.015663	0.0149109	0.0123202	0.013363	0.00809509	0.0167119	0.0185996	0.0425203	0.0309161	0.0317547	0.0253004	0.0177597	0.0186869	0.0252868	0.0411931	0.0508533	0.0679768	0.0711059	0.118604
pluie	0.070125	0.0587733	0.0444967	0.0387115	0.0283217	0.0147912	0.0146077	0.0167519	0.017498	0.02436	0.0198376	0.0199136	0.0145933	0.0162426	0.0108254	0.0151009	0.0187885	0.0290408	0.0259132	0.0241668	0.0239677	0.0195552	0.0359659	0.0340798	0.0343976	0.0600774	0.0578469	0.0860583	0.125192
dans	0.0758799	0.0614268	0.0431081	0.0346212	0.0306595	0.0218644	0.0204899	0.0112547	0.010282	0.0111264	0.0091865	0.0105505	0.00859085	0.0099719	0.00792746	0.0149075	0.0148	0.0158849	0.015561	0.0107408	0.019942	0.0226117	0.0319336	0.0495957	0.0465681	0.0714779	0.0922245	0.0916579	0.135154
cette	0.0436944	0.0490051	0.0455728	0.0437968	0.0423516	0.0338468	0.027485	0.0158896	0.0161511	0.0201274	0.019265	0.0204929	0.0162697	0.0187115	0.0142138	0.0192949	0.0148001	0.0265346	0.0173773	0.0155328	0.0178608	0.0171006	0.0361096	0.0563844	0.0621462	0.07174	0.09265	0.0624645	0.0631307
