 	o	k	w	ω	ω	r	ω	m	á	n	g	á	l	a	n	ω	o	d	í	p	y	e	l	í	k	a	á	t	s	í	n	a	n	ω	l	ó	o	t	á	á	n	g	á	n	g	u	a	</S>
ta	0.00968171	0.0144909	0.027375	0.0279298	0.0223603	0.0220176	0.0538169	0.025094	0.0336323	0.033757	0.0259307	0.0381104	0.0460694	0.0432432	0.0912298	0.0471098	0.0414286	0.0298395	0.0198601	0.0102107	0.00583211	0.00934243	0.00628149	0.00535503	0.00565337	0.00639124	0.00525002	0.00552811	0.00729623	0.00624359	0.00656542	0.00751613	0.00785148	0.00826125	0.00939594	0.00999861	0.0106877	0.00878117	0.0130497	0.0152862	0.0176699	0.0126281	0.0230757	0.0289175	0.0214521	0.0305601	0.0238108	0.0181305
qualité	0.0111248	0.00868789	0.0183653	0.0888284	0.14187	0.233133	0.106005	0.0697737	0.0291512	0.0135792	0.0114628	0.0267036	0.0265505	0.0242001	0.0492979	0.0253843	0.0203628	0.0122577	0.00843267	0.00921344	0.00669091	0.00317103	0.00222152	0.00139628	0.000747906	0.000646287	0.00118646	0.000788051	0.000813385	0.00143144	0.00105983	0.00104056	0.00145416	0.00286853	0.00286711	0.00485533	0.00425202	0.00258622	0.00457531	0.00706413	0.00315911	0.00137161	0.00307473	0.00122405	0.00229468	0.00178568	0.000663394	0.000325371
de	0.0982566	0.0706926	0.0317336	0.0319416	0.0442672	0.0361061	0.04922	0.0344315	0.0133231	0.00879682	0.0107102	0.011313	0.00952019	0.00939601	0.00871718	0.0200238	0.0262203	0.0238493	0.0154192	0.0311075	0.0258718	0.0136986	0.0108084	0.0102964	0.0117023	0.00954174	0.0074855	0.00879613	0.00726331	0.00800139	0.0061411	0.00374481	0.00443575	0.00323467	0.00581464	0.00805148	0.0174009	0.0286034	0.0317485	0.0541878	0.0301418	0.0318268	0.0226821	0.0198027	0.00997416	0.00898867	0.0089338	0.00577557
fils	0.0201408	0.0171002	0.0168632	0.0229521	0.0155278	0.020887	0.0236874	0.0252981	0.0242883	0.0264498	0.0186177	0.0214221	0.0187258	0.0193568	0.0138201	0.018554	0.0289826	0.0243989	0.0184972	0.0409265	0.0450941	0.0433824	0.0427985	0.0266772	0.0250728	0.025495	0.0250411	0.031183	0.0285081	0.0247399	0.0267267	0.0269425	0.017883	0.012348	0.0107009	0.00766214	0.0104976	0.00884859	0.0109615	0.00815221	0.0073771	0.00849475	0.00983484	0.00882813	0.0077756	0.0117139	0.0157829	0.0349811
de	0.0343724	0.0192115	0.0218559	0.0254599	0.034898	0.044273	0.036329	0.0367007	0.0340765	0.0181721	0.0196112	0.0217591	0.0199967	0.0161602	0.0145918	0.0196529	0.0377596	0.0428573	0.0343579	0.0393255	0.0470662	0.026619	0.0206927	0.00884886	0.0107905	0.00716125	0.00696966	0.00876811	0.0110925	0.0101214	0.0133396	0.0197106	0.0171345	0.0241548	0.0197318	0.0157225	0.0133184	0.00953865	0.00758296	0.0128284	0.00951846	0.0066874	0.0114263	0.0125068	0.0128069	0.0256527	0.0186121	0.0201757
mon	0.0128941	0.0139155	0.012476	0.0119718	0.0162343	0.0178686	0.0191729	0.0285003	0.0227531	0.0215139	0.0200574	0.0161964	0.0186673	0.0116332	0.00591863	0.00500427	0.0133621	0.0117681	0.0124763	0.0250979	0.0831648	0.037248	0.0362909	0.03077	0.028928	0.0192959	0.0239334	0.0249412	0.0233342	0.0267623	0.0261233	0.0230049	0.0160347	0.0176213	0.0137774	0.0128142	0.0180547	0.0156742	0.017096	0.0173601	0.0159266	0.0115739	0.0115356	0.0146548	0.0197816	0.0250413	0.0271252	0.0446498
arrière-petit-fils	0.0268107	0.0183289	0.0212187	0.0164427	0.0217465	0.0252366	0.0306525	0.0428601	0.0295003	0.0123656	0.0136466	0.0162062	0.0158297	0.0137492	0.0155787	0.0182676	0.0237365	0.025908	0.0231603	0.0321953	0.0434204	0.0207948	0.0176666	0.0147454	0.0158642	0.00971727	0.0107408	0.0181569	0.0181244	0.0165694	0.0256652	0.0247299	0.0196074	0.026519	0.0183754	0.0117048	0.00957086	0.00893789	0.0100174	0.0167171	0.0198064	0.00514976	0.00735437	0.00728198	0.0241215	0.0364987	0.0392551	0.0594465
est	0.0128417	0.0106844	0.00809573	0.0057734	0.00676564	0.00664299	0.00811309	0.0127794	0.0108231	0.00625056	0.00682395	0.00522496	0.00652521	0.00547605	0.00351076	0.00369978	0.0066234	0.00584378	0.0135075	0.0253288	0.0644873	0.0485178	0.0458454	0.0480261	0.0389119	0.0454027	0.0680128	0.0629071	0.0550721	0.0642387	0.0554013	0.0336009	0.0262946	0.0200205	0.0153657	0.0115621	0.00854158	0.0117664	0.00712927	0.00855699	0.00937566	0.00208214	0.00313341	0.00294363	0.0108067	0.00953553	0.0186821	0.0324453
vaine	0.0306327	0.0233591	0.0181106	0.0163965	0.0175934	0.0128835	0.0121572	0.00929709	0.00522406	0.00348726	0.00502966	0.00461273	0.00523489	0.00567879	0.00639727	0.0112427	0.0116049	0.0157799	0.0209364	0.033656	0.032554	0.0419321	0.0589426	0.0388299	0.0279169	0.0405349	0.0539146	0.0341093	0.0337617	0.0404663	0.0406878	0.037421	0.0292371	0.0248222	0.0128689	0.0115172	0.00847898	0.00573403	0.00819188	0.00890447	0.0110993	0.00587216	0.00718057	0.0042969	0.0161246	0.0206509	0.0285864	0.0460483
pour	0.0272874	0.0164309	0.010816	0.00617884	0.00566977	0.00476996	0.00451793	0.00369623	0.00289406	0.00234741	0.00379649	0.00253014	0.00311539	0.00248723	0.00212247	0.00343398	0.00578445	0.00986523	0.0115292	0.0248462	0.0311699	0.042976	0.0405627	0.0359617	0.0327012	0.0399391	0.0458338	0.0427878	0.0427862	0.0469056	0.0498978	0.0458238	0.0366304	0.0404446	0.0383057	0.0360031	0.0294812	0.0156812	0.0154453	0.0144009	0.0116973	0.00898732	0.00981282	0.00812185	0.0121822	0.00792251	0.0217388	0.0416798
