 	m	b	ó	s	i	b	á	l	á	a	s	i	i	g	h	á	n	d	z	á	r	o	m	é	b	a	á	</S>
le	0.0105507	0.013347	0.0124088	0.0116893	0.0144571	0.0165473	0.0219593	0.0366098	0.0424649	0.0554812	0.0466281	0.067329	0.0470647	0.0520482	0.0360794	0.0524845	0.0435079	0.0448902	0.0474615	0.0444799	0.034541	0.0381683	0.0348987	0.0318518	0.0462594	0.0351489	0.0333988	0.0282442
cabri	0.0381406	0.131638	0.144718	0.196846	0.0972308	0.05085	0.0365519	0.0370276	0.0154953	0.0137272	0.0108641	0.0171273	0.00962517	0.00977976	0.00536795	0.0160477	0.0116143	0.0205722	0.020414	0.0417149	0.019502	0.0195811	0.0149507	0.0106232	0.00329117	0.00455476	0.00147675	0.000667349
est	0.0505631	0.0251587	0.0240939	0.0254198	0.0259378	0.0357312	0.036448	0.0394675	0.0309054	0.0227373	0.0132138	0.00805002	0.00996485	0.0198828	0.0260666	0.0443481	0.0607615	0.0671472	0.10161	0.0677762	0.0642998	0.091106	0.0431138	0.0214625	0.0185544	0.0102236	0.00970259	0.0062534
en	0.029485	0.0321979	0.0511995	0.0643051	0.0742413	0.0635478	0.0540881	0.0478697	0.0367721	0.0269396	0.0243591	0.0141165	0.0232994	0.0177469	0.0206909	0.0304137	0.0332176	0.0439936	0.0379122	0.0445028	0.0596648	0.0643068	0.0240826	0.0122236	0.0123078	0.0106504	0.0204311	0.0254341
train	0.0759885	0.0519494	0.0439738	0.0452918	0.0444221	0.0471122	0.0399966	0.0358998	0.0487275	0.0416809	0.0464366	0.0265315	0.0262861	0.0270186	0.0394836	0.0266416	0.0294293	0.0259992	0.0304098	0.0294535	0.0186839	0.0216455	0.0321643	0.0222253	0.00897263	0.0182371	0.0400947	0.0552442
de	0.0443463	0.0643963	0.0674272	0.0646503	0.0654549	0.0664421	0.0678762	0.051718	0.0619229	0.0564595	0.0451673	0.051962	0.0397524	0.0200828	0.0192645	0.0193882	0.0127317	0.00838717	0.00558391	0.00695717	0.00722201	0.0104232	0.00869012	0.00809296	0.0118987	0.0118234	0.0292596	0.0726192
se	0.0625811	0.0466299	0.0377788	0.0364888	0.0378769	0.0370741	0.042007	0.0460573	0.0425747	0.0512562	0.0500574	0.0293734	0.0255822	0.0218663	0.0261191	0.029883	0.0361751	0.0293615	0.0487523	0.04572	0.0345104	0.0431921	0.0212733	0.0185004	0.0195739	0.0134456	0.0249882	0.0413009
frotter	0.0360702	0.0364681	0.0402301	0.0403829	0.0349487	0.0312161	0.0222132	0.0221061	0.022451	0.0238216	0.0283275	0.0220059	0.0182139	0.0186316	0.0216115	0.0157038	0.0219264	0.0232376	0.0241049	0.0426455	0.047152	0.0538375	0.0350805	0.0333145	0.0299836	0.0359032	0.074774	0.143638
contre	0.096718	0.0669091	0.0434968	0.0352884	0.0452906	0.0281228	0.044072	0.0600534	0.0737783	0.0723594	0.0520815	0.0218547	0.0285336	0.0294898	0.0384887	0.0246163	0.0300449	0.0250143	0.0255479	0.0093064	0.0175041	0.0124791	0.00712431	0.00919433	0.01019	0.00964403	0.0194142	0.0633831
le	0.135533	0.0631728	0.0391532	0.0313493	0.0270599	0.0216343	0.0222771	0.0161579	0.0142581	0.0126115	0.014142	0.0118759	0.0136675	0.014499	0.0152214	0.0135118	0.0170187	0.0189873	0.0287375	0.0446601	0.0601732	0.0516387	0.0319262	0.0263244	0.0258261	0.0246416	0.0799634	0.123978
mur	0.0790823	0.0422915	0.0361601	0.0247211	0.0172204	0.012746	0.0138696	0.0183466	0.0162365	0.0145743	0.0188697	0.0149249	0.0192916	0.0248496	0.0268492	0.0204568	0.0249369	0.0285946	0.0245647	0.0269107	0.0279097	0.0308524	0.0310077	0.0351446	0.0231155	0.0262528	0.10281	0.21741
</S>	0.100095	0.074345	0.0710538	0.0576012	0.0470314	0.0314244	0.034351	0.0373931	0.030202	0.0197615	0.0201751	0.0146726	0.016	0.0113596	0.0161471	0.0101281	0.015505	0.0115544	0.0168019	0.0172882	0.0186598	0.0155431	0.0115505	0.0166918	0.0166116	0.0243161	0.0538119	0.189925
