 	o	b	ó	s	ó	b	á	o	s	í	í	l	i	m	á	m	b	v	ú	á	o	k	u	m	a	m	b	o	l	o	ó	p	f	ú	u	</S>
avant	0.0117787	0.0133265	0.0185819	0.0234462	0.0273025	0.0364571	0.0425223	0.0420645	0.0467071	0.050028	0.0582926	0.0782902	0.0575841	0.0682367	0.0502106	0.0509564	0.0522251	0.0131774	0.00930789	0.00846001	0.0109645	0.0113251	0.0128899	0.012168	0.0133009	0.0110129	0.0153751	0.0127889	0.0130373	0.0137838	0.0127185	0.0162806	0.0164118	0.0208314	0.0275225	0.020633
la	0.0801093	0.0638934	0.0263166	0.022191	0.0170717	0.0158553	0.0137888	0.0120025	0.0120411	0.0208094	0.0442003	0.056236	0.0611043	0.0645388	0.0684702	0.0903977	0.0618775	0.07701	0.0157587	0.0142762	0.0127656	0.0129717	0.00815901	0.0104277	0.00629123	0.00830633	0.00699448	0.00890949	0.0149728	0.0127244	0.0112513	0.0154486	0.0077691	0.00841446	0.00719919	0.00944612
fin	0.028901	0.0191509	0.0156289	0.0107268	0.00876158	0.00531375	0.00608322	0.00359654	0.00304243	0.021218	0.0119005	0.00930125	0.00912241	0.0169833	0.0188569	0.0177876	0.0630784	0.0480327	0.0874584	0.100307	0.0691808	0.0435677	0.0393258	0.0454161	0.0180406	0.0251005	0.0151711	0.0428095	0.0379404	0.0360853	0.0348818	0.0320121	0.0301732	0.011009	0.00968869	0.00434595
de	0.0337501	0.0398203	0.0455567	0.0408011	0.0393712	0.0431483	0.0383339	0.0345309	0.0333453	0.0393587	0.0237522	0.0208801	0.0189587	0.0218821	0.0300036	0.0297862	0.0408514	0.0509262	0.0492899	0.0394074	0.0364662	0.0240331	0.02386	0.0170753	0.0126066	0.0166015	0.0123377	0.019818	0.0151682	0.018665	0.0241575	0.0116306	0.00940328	0.00885258	0.0114703	0.0240998
la	0.032952	0.0245127	0.0253792	0.0222435	0.0233483	0.0163075	0.0161852	0.0118151	0.00808766	0.0107919	0.00948848	0.0098623	0.00844256	0.0119397	0.0142176	0.0125797	0.0349541	0.0666294	0.0889332	0.0613411	0.0506053	0.0287044	0.0285516	0.0222033	0.0283717	0.0271562	0.027475	0.0318657	0.019725	0.0212729	0.0280552	0.0217807	0.0335862	0.0339979	0.0418765	0.0447612
tornade	0.0302376	0.0300313	0.0318897	0.0320778	0.0380849	0.0249082	0.0219197	0.0226772	0.0212789	0.021712	0.0328456	0.0261606	0.0270046	0.0483904	0.0512042	0.05953	0.0297416	0.0190767	0.0184963	0.018076	0.0180603	0.0171342	0.0244482	0.0195349	0.0195487	0.0237871	0.0216877	0.0266322	0.0258556	0.0316778	0.0314131	0.0241504	0.0231222	0.0215988	0.0246406	0.041365
l'	0.0224546	0.0178675	0.013949	0.0110899	0.00979107	0.0125053	0.013935	0.0196868	0.0172978	0.015606	0.0159974	0.0156122	0.0210739	0.0174512	0.0208835	0.0217096	0.0264041	0.0375736	0.0537558	0.0617335	0.0490229	0.0446455	0.0373614	0.0269992	0.0377749	0.043026	0.0283115	0.0425558	0.0214294	0.0371371	0.0462963	0.0267362	0.0274788	0.0231536	0.0280343	0.0336594
arc-en-ciel	0.0277369	0.0381299	0.0365126	0.0289051	0.0201874	0.0140385	0.0136447	0.0251681	0.0293012	0.0333246	0.0469515	0.0408808	0.0474353	0.0605411	0.0687229	0.0505014	0.0372225	0.0319578	0.0235471	0.0328412	0.0268527	0.0270836	0.0156794	0.0191327	0.0157652	0.0258104	0.0103927	0.0190344	0.00949332	0.0151998	0.0241443	0.0120354	0.0111125	0.0102256	0.0190766	0.0314109
est	0.139298	0.0630737	0.0361667	0.0235075	0.0187227	0.0158028	0.0152789	0.0236214	0.0259971	0.030734	0.0250604	0.0247907	0.0312696	0.0255943	0.0340788	0.0614733	0.0658843	0.0678683	0.036736	0.0198756	0.0246312	0.0203749	0.0102235	0.0119276	0.0100527	0.0112198	0.0104656	0.00731083	0.00805419	0.00801362	0.0132725	0.00840125	0.00752957	0.0100221	0.00961115	0.044055
apparu	0.111185	0.0737502	0.0379816	0.0191802	0.00946418	0.00520662	0.0053519	0.00720784	0.00825463	0.00630387	0.00710078	0.00600344	0.0103711	0.0119557	0.0208292	0.0494395	0.0350175	0.0353707	0.0220749	0.0226542	0.0306993	0.0370841	0.0255655	0.0231608	0.021487	0.0219568	0.0197027	0.0131334	0.0320862	0.0203837	0.0239074	0.0359449	0.0302674	0.0425469	0.0375954	0.0797758
</S>	0.128868	0.0620017	0.0399592	0.0270206	0.0169079	0.0129968	0.0118372	0.0143611	0.0184402	0.0165653	0.0207229	0.0153057	0.0202931	0.0273296	0.0423209	0.0552492	0.0313806	0.0208695	0.0151642	0.0159819	0.0179638	0.0183147	0.0146317	0.0144665	0.0214526	0.0248906	0.0290766	0.0234358	0.029175	0.0333128	0.0340324	0.0278379	0.0219269	0.0237981	0.0220869	0.0300221
