 	o	y	ú	r	u	w	ó	á	m	i	p	f	u	r	á	m	í	á	m	í	l	á	m	b	a	l	í	k	ώ	ώ	</S>
cette	0.0195298	0.0232357	0.0169818	0.0149145	0.0117748	0.0183975	0.0145667	0.0174495	0.0146124	0.0225646	0.015736	0.0191656	0.0215536	0.0192092	0.0196854	0.022374	0.0322386	0.0423035	0.0344275	0.0364077	0.036967	0.0518283	0.0653516	0.0372234	0.0435505	0.0647379	0.044408	0.0575412	0.0496444	0.0550777	0.0565417
femme	0.111719	0.128422	0.176918	0.141741	0.0696587	0.0274633	0.0371072	0.0471156	0.0525934	0.0447876	0.0322261	0.064131	0.00597724	0.00636401	0.00428554	0.00521215	0.00785573	0.00553484	0.00563043	0.00423413	0.00290112	0.00429444	0.00343038	0.00189062	0.00264031	0.00110905	0.000941499	0.0021288	0.000873546	0.000405875	0.000406821
a	0.0379054	0.0247002	0.02594	0.0235547	0.0249486	0.0559351	0.0321142	0.0197959	0.0231527	0.0209896	0.0280795	0.0484513	0.0405121	0.0634046	0.065196	0.0873431	0.0505427	0.0387461	0.0336547	0.022122	0.0249194	0.0238175	0.0334566	0.048004	0.0190116	0.0127901	0.0129454	0.0142102	0.0116699	0.0242803	0.00780658
fait	0.0335986	0.0239564	0.0450713	0.0649691	0.0804856	0.0516555	0.065304	0.0272842	0.0311256	0.0154534	0.01547	0.0166205	0.0152587	0.0163641	0.0166966	0.0292387	0.0320338	0.0432941	0.0487041	0.0378718	0.029054	0.0231307	0.0167983	0.0311838	0.0184209	0.018849	0.0207905	0.0240598	0.0289348	0.0325982	0.0457239
un	0.0817126	0.0541155	0.0488951	0.0360439	0.0343588	0.0217926	0.0214219	0.0165619	0.0190937	0.0178705	0.0150586	0.0149275	0.0163721	0.0180034	0.0317882	0.0371802	0.0332355	0.0412782	0.0555824	0.0303495	0.0257584	0.0218452	0.0198885	0.0313875	0.0240375	0.027057	0.0288251	0.0366364	0.039595	0.0418353	0.057492
feu	0.0276401	0.0310013	0.0307432	0.0294548	0.029476	0.0246229	0.0178546	0.0144367	0.0127152	0.0105664	0.00643925	0.00798898	0.010943	0.013156	0.0339544	0.0416588	0.0488809	0.0576763	0.0569842	0.050512	0.0346878	0.0557551	0.05664	0.0385445	0.0522223	0.0395989	0.0231503	0.0401225	0.0333573	0.023412	0.0458042
pour	0.0283178	0.0199428	0.0168078	0.0143978	0.0141557	0.0168058	0.0132448	0.0200342	0.0211897	0.0282154	0.0210061	0.0247561	0.0296227	0.025657	0.0275915	0.0286247	0.0337755	0.0350097	0.0469141	0.0436002	0.0485056	0.0392203	0.0420184	0.0414775	0.0456049	0.0415343	0.0445142	0.0447246	0.0454671	0.0455874	0.0516761
préparer	0.0569369	0.0326848	0.0281503	0.014526	0.013196	0.00805159	0.00862017	0.0100659	0.00864176	0.0119708	0.0092669	0.0108559	0.017808	0.0173103	0.0289211	0.0379396	0.0503948	0.043059	0.066614	0.0468762	0.0526035	0.045225	0.0376398	0.0337018	0.0418102	0.0429886	0.0445187	0.0417361	0.0399887	0.0456361	0.0522613
le	0.0518943	0.0467076	0.039912	0.0254199	0.0148768	0.015687	0.00898123	0.0123162	0.0088327	0.00974325	0.00949834	0.00918578	0.0299772	0.0275199	0.0437604	0.037222	0.0484968	0.0561717	0.0601154	0.0364195	0.0390839	0.0269938	0.0251257	0.026865	0.0307103	0.0308294	0.0233767	0.0338301	0.0384	0.0446385	0.0874083
manioc	0.0677835	0.0403906	0.0403078	0.0299744	0.0198785	0.00534873	0.00922435	0.00838294	0.00815276	0.006065	0.00665939	0.00476243	0.00885555	0.0108482	0.0156345	0.0176131	0.0242529	0.0366254	0.0462166	0.0282402	0.0282906	0.0322274	0.0240005	0.0132492	0.0310327	0.0427798	0.0243526	0.0656983	0.0586562	0.070982	0.173514
</S>	0.0831692	0.0636647	0.056869	0.0291849	0.0125892	0.00493285	0.00405627	0.00259194	0.00321912	0.0029556	0.00490686	0.0040556	0.00736351	0.0118114	0.0227943	0.0273373	0.0297186	0.0495804	0.0539102	0.0316394	0.0313761	0.034296	0.0210428	0.0274026	0.0310677	0.04482	0.0275933	0.0445422	0.0466376	0.0661606	0.118711
