 	w	a	á	b	h	e	r	á	l	e	k	ώ	ώ	l	i	t	s	í	n	a	w	a	á	d	z	á	l	o	s	w	a	m	w	e	</S>
il	0.178887	0.265976	0.311005	0.122618	0.0486459	0.00536878	0.00412666	0.00368292	0.00320173	0.00306948	0.00286801	0.00266313	0.0028694	0.003317	0.00196034	0.00223145	0.00253747	0.00355082	0.00234373	0.00169645	0.0013548	0.00150454	0.00129088	0.00269103	0.00225405	0.00261531	0.00211824	0.00300339	0.00183212	0.00150994	0.00141593	0.00157991	0.00183017	0.0010997	0.0012794
a	0.016027	0.00543237	0.00447805	0.00399291	0.00633162	0.0717036	0.0784173	0.108217	0.0434868	0.100387	0.109064	0.0512094	0.0521759	0.0623962	0.0529853	0.0143952	0.0149166	0.00899687	0.012458	0.00694979	0.0108407	0.00763124	0.00882344	0.0187046	0.0134329	0.012874	0.00692678	0.0164922	0.0126293	0.0108776	0.00801082	0.00744534	0.0191743	0.00521847	0.0168981
réussi	0.00716904	0.00726064	0.00794955	0.00832311	0.00983011	0.00929501	0.011668	0.0111153	0.0158348	0.0164396	0.0198485	0.0276374	0.0174921	0.0307473	0.0745132	0.121922	0.126709	0.143133	0.0725641	0.0410068	0.0281702	0.0148093	0.021334	0.0169368	0.0113512	0.0154616	0.0137644	0.0130544	0.0120649	0.00944686	0.00820484	0.0160311	0.0179147	0.0127944	0.00820302
ses	0.0126194	0.0169056	0.0174536	0.0119225	0.0107761	0.008162	0.00896441	0.00987353	0.0112395	0.018053	0.0330125	0.0489611	0.0257185	0.0334015	0.0327319	0.0272155	0.0387811	0.0595572	0.0434804	0.0348216	0.0341106	0.0284991	0.0345563	0.0280621	0.0269437	0.0215053	0.03231	0.0337888	0.0312362	0.0333725	0.0201121	0.0373297	0.0375667	0.043468	0.0534879
études	0.0295833	0.0358672	0.0256786	0.0491851	0.0418268	0.0143756	0.0177132	0.0156717	0.0138677	0.0157518	0.0189206	0.0301633	0.0223163	0.0263097	0.0368672	0.0443661	0.0350355	0.0371618	0.0272677	0.0242985	0.0378993	0.0351499	0.0306039	0.0179122	0.0235869	0.0317053	0.036041	0.0219405	0.0333407	0.0223399	0.0262852	0.025851	0.0296625	0.0309716	0.0344824
parce	0.00435819	0.00578507	0.00596023	0.00689485	0.010049	0.0132646	0.0174233	0.0265542	0.0213025	0.0245537	0.0264459	0.030113	0.0273296	0.023904	0.0169764	0.0331465	0.0357281	0.059744	0.0612552	0.0459451	0.040676	0.0458503	0.0300755	0.0286336	0.0337905	0.0252981	0.0257113	0.0302308	0.0257622	0.0238013	0.0231808	0.0271587	0.034525	0.0502149	0.0583573
qu'	0.0218167	0.0325056	0.0261569	0.0192103	0.019285	0.023764	0.0213447	0.0177851	0.0152302	0.0183157	0.0181308	0.0161871	0.0157935	0.0137775	0.0101611	0.0198269	0.0229871	0.0263062	0.0144199	0.0161966	0.0224163	0.0281386	0.0273793	0.021468	0.0412722	0.0276387	0.0428996	0.0436949	0.0589043	0.0598163	0.0321683	0.0407664	0.0415481	0.0534719	0.0692167
il	0.0186385	0.0201611	0.0198039	0.0190103	0.0191275	0.0194328	0.0152995	0.0107322	0.00969468	0.00948135	0.00994619	0.0128488	0.0112398	0.010375	0.00938437	0.0126283	0.0164463	0.029091	0.0262302	0.0260879	0.024336	0.0314172	0.02727	0.0232326	0.0497852	0.034301	0.0507442	0.0573829	0.0486199	0.0500273	0.0363586	0.0527708	0.0569074	0.0598946	0.0712927
a	0.0128455	0.0121538	0.0173409	0.0178863	0.0262482	0.0359299	0.0181848	0.014201	0.0145055	0.0171804	0.0211714	0.0238498	0.0194219	0.0270787	0.0348286	0.0435625	0.0616552	0.0639196	0.048807	0.0473748	0.0501235	0.0361845	0.0288126	0.01537	0.019754	0.0185881	0.0241254	0.0217881	0.0169149	0.0163569	0.0116609	0.0184812	0.0245301	0.0269504	0.0922138
été	0.011403	0.0105432	0.0142896	0.0122802	0.0164863	0.0181561	0.0167091	0.0170494	0.0172172	0.0215011	0.0231508	0.0203236	0.0204684	0.0245381	0.0324737	0.0423078	0.0482594	0.0239521	0.0253739	0.0316162	0.0562782	0.0446354	0.0357443	0.0152708	0.0321825	0.0203641	0.0443453	0.0349916	0.0344565	0.027767	0.0283958	0.0346625	0.0315694	0.0447696	0.0664678
persévérant	0.0194876	0.0213666	0.0296592	0.0237004	0.0215513	0.0159756	0.0118146	0.0129012	0.0110131	0.0148093	0.0185452	0.0123106	0.0128183	0.0154452	0.0203888	0.0279353	0.0299669	0.0151741	0.0176922	0.0244423	0.0360806	0.0394679	0.0347282	0.0257716	0.0375245	0.0339782	0.0359825	0.0397058	0.0295239	0.0260436	0.037716	0.037236	0.0513315	0.0557711	0.102141
</S>	0.00899184	0.00974552	0.0155089	0.0136438	0.0196427	0.0159996	0.0154005	0.0109078	0.0101726	0.00966752	0.012284	0.00818342	0.00800335	0.0096099	0.0128644	0.0197239	0.0280788	0.0313877	0.0170885	0.0158393	0.0201663	0.0340997	0.0286287	0.0215973	0.0476493	0.0318035	0.0592472	0.0535692	0.0458537	0.0384293	0.0422101	0.0526085	0.0535894	0.0757698	0.102034
