 	o	p	ε	p	ε	m	ó	o	f	ú	l	a	o	b	h	é	m	b	i	l	á	a	y	ú	r	á	p	y	é	b	h	i	</S>
le	0.0107785	0.0144846	0.0105462	0.0106484	0.0131381	0.0126	0.012311	0.0208626	0.0339874	0.0221796	0.0351319	0.0427047	0.0610485	0.0765832	0.108412	0.0814584	0.0788975	0.0417657	0.023388	0.0251335	0.0167726	0.0110765	0.00869443	0.00669211	0.0087131	0.0142349	0.019933	0.0274263	0.0326754	0.0336026	0.0334702	0.030514	0.0201352
vent	0.0233518	0.0905405	0.167817	0.154093	0.178829	0.127703	0.0661957	0.0363154	0.0316089	0.0103047	0.00843711	0.00433609	0.00417237	0.00431625	0.00559337	0.0112381	0.0122376	0.00516393	0.00725719	0.00560987	0.00231639	0.00392833	0.00439861	0.00470278	0.0072025	0.00481856	0.00530276	0.00307078	0.0020233	0.00357608	0.00158768	0.00131889	0.000633679
soufflait	0.0157684	0.0150354	0.0181732	0.0246098	0.0287002	0.0302572	0.0370608	0.0411033	0.0372923	0.0331948	0.0262886	0.0123677	0.00829211	0.0174535	0.0224971	0.0522798	0.0364593	0.0747617	0.0590767	0.0602598	0.0595484	0.0371047	0.0575531	0.0320704	0.0353338	0.0340965	0.023983	0.0200607	0.0105358	0.0134469	0.0115318	0.00978549	0.00401769
et	0.067078	0.0599465	0.0468886	0.0426771	0.0496072	0.0394441	0.0598625	0.0629913	0.0752072	0.0656844	0.0383935	0.0316679	0.0249554	0.0229955	0.021762	0.0188157	0.0207825	0.0427202	0.0308722	0.0342755	0.026898	0.0186008	0.00992752	0.00693237	0.00459047	0.00485579	0.00457402	0.00472656	0.00635423	0.00746494	0.0117538	0.0104193	0.0262747
le	0.0378796	0.0375617	0.0362666	0.0381571	0.0457334	0.0437846	0.0419681	0.0379394	0.0325935	0.0225705	0.0185489	0.011167	0.0116177	0.0179386	0.0153732	0.0181726	0.0218781	0.0502112	0.048895	0.0530172	0.0441889	0.0469662	0.0364736	0.0259562	0.0206805	0.0200757	0.0161843	0.0115733	0.011983	0.0112114	0.0151406	0.0256119	0.0726802
voyageur	0.0314419	0.0379461	0.0352094	0.0473358	0.0520281	0.0624004	0.0767645	0.0752974	0.0858166	0.0555813	0.0263311	0.0183105	0.0181062	0.0177479	0.0149633	0.0184113	0.0170204	0.0208766	0.0173899	0.0206045	0.00664248	0.0102442	0.0138166	0.0140438	0.0146198	0.0118729	0.0131674	0.0108413	0.0126309	0.0114718	0.0209868	0.0327882	0.0772906
avait	0.0683078	0.045844	0.0402968	0.033007	0.0300986	0.0304983	0.0334106	0.037207	0.0339754	0.0318052	0.0241027	0.0170183	0.0154397	0.020034	0.0191296	0.0209106	0.0259228	0.0501451	0.0444564	0.0585665	0.0234601	0.0226588	0.0255995	0.0241772	0.0181266	0.0162109	0.0145525	0.0149884	0.0109951	0.0133907	0.0153037	0.0306602	0.0897001
de	0.146337	0.0826458	0.0388312	0.0289916	0.0200009	0.0205416	0.0192841	0.0204153	0.014481	0.0142272	0.0132229	0.0339261	0.0393666	0.0291359	0.0323439	0.0389379	0.0526347	0.049156	0.0351752	0.0175526	0.00604247	0.00640749	0.00834223	0.0138114	0.0147802	0.0145086	0.0145171	0.0164905	0.0128098	0.0111104	0.00953067	0.0316246	0.092817
plus	0.0991628	0.0470765	0.0325077	0.0246779	0.0137269	0.0135139	0.0178289	0.0191929	0.0138617	0.0193805	0.0207747	0.0278161	0.0286277	0.026096	0.0234418	0.0247562	0.0279081	0.0451676	0.0323213	0.0275081	0.00908328	0.00845144	0.0111473	0.0243029	0.0222166	0.022805	0.0261856	0.0327721	0.0266753	0.0241405	0.019997	0.0593968	0.127479
en	0.107134	0.0544989	0.0384791	0.0322286	0.0184905	0.0165584	0.0153819	0.0153773	0.0124738	0.013733	0.0176349	0.0238481	0.0245048	0.0220544	0.0175117	0.0146207	0.0151786	0.0280929	0.0233665	0.0221609	0.0123596	0.0112484	0.0124602	0.0245082	0.024911	0.0281045	0.0319068	0.0391638	0.0336784	0.0280241	0.0233636	0.0600043	0.136938
plus	0.0626238	0.0336289	0.0188822	0.0185272	0.00937608	0.00667582	0.00542748	0.0057556	0.00547076	0.0053968	0.00609161	0.0129759	0.0166023	0.0119801	0.0235402	0.0302271	0.0448971	0.0774004	0.0681262	0.0458159	0.0204444	0.0125985	0.0187724	0.0196242	0.0177553	0.0188703	0.0272193	0.0432605	0.0431541	0.0418663	0.0337237	0.0850297	0.10826
froid	0.0646999	0.0406278	0.0346445	0.0303327	0.018443	0.0145576	0.0154889	0.0150308	0.013296	0.0128876	0.00874322	0.00833629	0.00670992	0.00488934	0.00720662	0.0074536	0.0108158	0.0229718	0.0233846	0.0266315	0.0185582	0.0113915	0.0243285	0.0365071	0.0325293	0.0385638	0.0513581	0.067053	0.0446268	0.0429286	0.0312336	0.0666672	0.147103
</S>	0.0366076	0.0259206	0.0289785	0.0302727	0.02254	0.0217719	0.031334	0.0325192	0.0237678	0.0240956	0.0212713	0.021149	0.0175512	0.0208176	0.0134298	0.0147218	0.0143496	0.0330464	0.0226757	0.018484	0.0129778	0.0105393	0.020644	0.0308891	0.0310939	0.0295408	0.0383358	0.0441956	0.0525228	0.0569538	0.0609111	0.063485	0.0726069
