 	m	v	u	l	u	á	d	u	m	u	m	í	k	w	a	s	i	m	o	b	e	n	g	i	</S>
l'	0.0132764	0.0151286	0.0185317	0.0157282	0.0175451	0.0146212	0.0173934	0.0563779	0.0568746	0.0469069	0.151873	0.099546	0.0862054	0.0364423	0.0141274	0.0176951	0.0316072	0.0324924	0.036461	0.0332944	0.0353808	0.039797	0.0446325	0.030345	0.0377164
antilope	0.0361545	0.0426295	0.068421	0.0652884	0.0577429	0.12923	0.0513401	0.0648538	0.06153	0.0861601	0.0972859	0.0740097	0.0308842	0.0160271	0.0135705	0.0145439	0.0274934	0.0154176	0.0113347	0.0116463	0.00838913	0.00588358	0.00506171	0.00358648	0.00151589
s'	0.0436834	0.0378861	0.0266656	0.0238095	0.0322687	0.0356338	0.0269521	0.0321599	0.0307686	0.0521187	0.0372529	0.0328115	0.0411685	0.0732003	0.0572179	0.107645	0.0811374	0.0591029	0.0399151	0.0401602	0.0242058	0.0176852	0.014743	0.0194213	0.0123868
est	0.0464068	0.0686759	0.0713024	0.0843852	0.0732472	0.0611042	0.0462168	0.0284841	0.0482807	0.0378172	0.0560898	0.0431766	0.0362038	0.0430546	0.0264628	0.0293823	0.0147631	0.0169829	0.0120741	0.0161405	0.0159464	0.0186913	0.0285916	0.0282625	0.0482572
enfuie	0.0369844	0.0227681	0.0165209	0.0145547	0.019306	0.0196323	0.0250914	0.0222013	0.035058	0.0297807	0.0255436	0.0263183	0.0268126	0.0504841	0.0707287	0.0757893	0.0709094	0.0631144	0.0581911	0.0589576	0.0557499	0.049413	0.05192	0.0397625	0.0344078
à	0.064094	0.0698529	0.0617624	0.04425	0.0275491	0.0236144	0.0201143	0.0250181	0.0267198	0.0490465	0.0838056	0.0864384	0.0531222	0.0407927	0.0200604	0.0190279	0.0100759	0.0132018	0.0128861	0.0157074	0.0250196	0.029977	0.0354858	0.0523432	0.0900346
cause	0.0280096	0.0341121	0.0327523	0.0339164	0.0318341	0.0331116	0.0284087	0.0359603	0.0360283	0.048381	0.0678764	0.045967	0.0358696	0.0305747	0.0428258	0.0497017	0.0571172	0.0609484	0.0418539	0.0404705	0.0374027	0.0330097	0.0277984	0.0378373	0.0482325
du	0.0747758	0.0653027	0.0447475	0.0442674	0.0512281	0.0336174	0.0394806	0.0579925	0.0539615	0.0576564	0.0405538	0.0336081	0.0202308	0.014258	0.0167665	0.0214944	0.017815	0.020036	0.0205768	0.0174274	0.025138	0.0324869	0.0328743	0.045949	0.117755
bruit	0.121328	0.0828796	0.0439867	0.0576277	0.0377089	0.0157907	0.0208991	0.0132797	0.0225796	0.0215628	0.0296473	0.0209489	0.018396	0.0116259	0.00970049	0.00883267	0.00940765	0.0122115	0.0117152	0.0126635	0.0233614	0.0460146	0.0351252	0.0752927	0.237415
des	0.124289	0.109883	0.0674012	0.0505284	0.0325578	0.0139571	0.0118266	0.0103457	0.0130912	0.0134079	0.0118272	0.0103467	0.00508599	0.00396505	0.00462469	0.00957779	0.00950875	0.0119246	0.0132035	0.0128618	0.0236493	0.0513527	0.0522962	0.088363	0.244125
pas	0.104748	0.0369003	0.018954	0.015669	0.00917834	0.00535714	0.00652654	0.00585601	0.0125756	0.0150255	0.0269392	0.0219216	0.0203033	0.0193779	0.0275949	0.0332562	0.025418	0.0317541	0.0275933	0.0179331	0.0269413	0.0425766	0.0637567	0.126523	0.257321
du	0.148349	0.0653196	0.0435583	0.034074	0.0193314	0.0124072	0.00889918	0.00655676	0.00855498	0.00846765	0.00982299	0.0113015	0.0118156	0.0133091	0.0130638	0.0183629	0.0243962	0.0322841	0.0385445	0.0370053	0.0496257	0.0630866	0.0698242	0.0928215	0.159219
chasseur	0.053786	0.0243721	0.0174797	0.0136356	0.00714	0.0057134	0.00662172	0.00396378	0.00866288	0.00896445	0.00969234	0.00797299	0.00741255	0.00953364	0.0159329	0.0171539	0.0165114	0.0185621	0.0234755	0.0240399	0.0354165	0.0951152	0.132517	0.19734	0.238985
</S>	0.119803	0.0602116	0.0331486	0.0282457	0.0264232	0.0243876	0.0267403	0.0151473	0.0247191	0.0192753	0.0211616	0.0151198	0.0128376	0.0127673	0.020191	0.023688	0.0206213	0.0201688	0.0220728	0.024731	0.0337436	0.0522048	0.0648897	0.0962337	0.181468
