 	l	e	b	o	s	ó	l	á	á	y	ε	s	έ	n	z	a	m	b	é	m	o	r	o	m	o	r	o	á	d	z	á	l	a	p	ώ	ω	m	b	v	έ	m	b	v	έ	</S>
au	0.0177757	0.0177489	0.0139466	0.0185341	0.0193129	0.0250119	0.0463695	0.046955	0.0434983	0.0343682	0.0401265	0.0263208	0.0147279	0.0302859	0.0592306	0.0270657	0.0179161	0.0153955	0.0129762	0.00752438	0.0085973	0.0118718	0.0123384	0.012486	0.0126871	0.013935	0.0135049	0.0136389	0.0227132	0.015335	0.0137036	0.0197758	0.0290202	0.0235809	0.0278092	0.0171819	0.0216267	0.0290741	0.021133	0.0177176	0.0221316	0.0187748	0.0212778	0.0211654	0.0238291
commencement	0.0674498	0.0677434	0.047828	0.0583983	0.0226079	0.0255366	0.0284336	0.0294723	0.0237182	0.0263918	0.0724807	0.059099	0.062299	0.0390252	0.0607192	0.0831001	0.0182577	0.00522488	0.00580296	0.00377652	0.00279194	0.00206421	0.00340806	0.00330843	0.00227017	0.00372671	0.00270262	0.00262017	0.00322776	0.00523154	0.00431488	0.00453862	0.0112366	0.00827768	0.0144259	0.00375678	0.00792612	0.0191919	0.0351483	0.0198202	0.011528	0.0103176	0.00682386	0.00276982	0.00120689
quand	0.0691635	0.0439809	0.0279492	0.0164065	0.0125192	0.0155611	0.0119986	0.0112862	0.0118832	0.0116336	0.0158755	0.0188449	0.0194457	0.0170051	0.0314092	0.0402416	0.0655717	0.0724246	0.0328981	0.0820945	0.0399752	0.0442459	0.0168243	0.0236205	0.014325	0.014877	0.013869	0.0104995	0.0160004	0.0195066	0.0169288	0.0126211	0.0150723	0.00909404	0.0114386	0.0170658	0.00882145	0.00607705	0.0147659	0.00895905	0.00587668	0.00669358	0.00487507	0.00961057	0.0101639
dieu	0.0388362	0.0345027	0.0338464	0.0245845	0.0200661	0.0129797	0.0124836	0.0116202	0.0130949	0.014053	0.0154911	0.0174576	0.0189909	0.0174362	0.0185604	0.0374927	0.0663618	0.0778228	0.0300301	0.193522	0.0460824	0.0453167	0.0186037	0.0187401	0.0112752	0.00989215	0.00453574	0.00712089	0.0057812	0.00769808	0.00722263	0.00525793	0.00486885	0.00405988	0.00362449	0.00383314	0.00335074	0.00288208	0.00400614	0.00543229	0.00592822	0.0103625	0.0191283	0.0117077	0.0240556
créa	0.0373189	0.0275114	0.0564728	0.0546974	0.054012	0.0482708	0.0283002	0.0309692	0.0318133	0.0264083	0.00966241	0.00944254	0.0141743	0.00734599	0.014605	0.028449	0.03598	0.0396964	0.0297887	0.0467487	0.039318	0.0215436	0.0208858	0.0145624	0.012764	0.011878	0.00919293	0.00901883	0.0135049	0.0135603	0.020306	0.015445	0.0179124	0.0102205	0.0118532	0.00506889	0.00677867	0.00840034	0.0068314	0.00572715	0.00693461	0.012246	0.0146168	0.0173453	0.0424177
l'	0.0203762	0.019173	0.0225975	0.0296736	0.0294667	0.0268889	0.018291	0.0160282	0.0153516	0.0158298	0.0142385	0.0131409	0.0142732	0.0102424	0.0142891	0.0192737	0.0280584	0.032271	0.0256748	0.0722554	0.0333139	0.0168943	0.019027	0.019794	0.0191878	0.0212342	0.0141511	0.0183723	0.0135803	0.01971	0.0196797	0.0203107	0.0149135	0.0144661	0.0167635	0.0159766	0.019724	0.0148102	0.0176384	0.0225013	0.0226787	0.0260073	0.0290453	0.029337	0.0634885
homme	0.0399169	0.0325163	0.0368368	0.0445389	0.0381888	0.0268089	0.020024	0.0165861	0.00970115	0.0104465	0.0098579	0.00892318	0.0100104	0.00705272	0.00850608	0.0178262	0.0206886	0.0158672	0.00889835	0.0280107	0.0213967	0.0140964	0.0108355	0.0157071	0.0126455	0.014991	0.0107519	0.0138852	0.00994906	0.0134908	0.0119388	0.0157036	0.0166243	0.0135894	0.0251976	0.0192215	0.0324629	0.0321375	0.0348388	0.0457094	0.0426678	0.0357825	0.0355284	0.0192665	0.0703761
celui-ci	0.0196021	0.0109527	0.00904773	0.00895105	0.0083467	0.00722318	0.00436444	0.00438708	0.00524327	0.00561204	0.00420635	0.00432786	0.00686877	0.00542059	0.00750356	0.0149655	0.0150687	0.0216699	0.0250333	0.0421054	0.0380108	0.0461411	0.0537822	0.0488011	0.0453164	0.0434377	0.0327413	0.0331974	0.0336654	0.0349706	0.044974	0.0361862	0.031728	0.0275595	0.0248425	0.0244614	0.0167757	0.0146386	0.0151221	0.0116607	0.0138056	0.0188879	0.0175469	0.0194155	0.0414311
était	0.0416266	0.0202067	0.0233477	0.0252568	0.0302725	0.0254409	0.0155824	0.0137581	0.0142161	0.0128495	0.00987211	0.00936032	0.0110413	0.00935151	0.00796904	0.0142728	0.0164597	0.020768	0.0207749	0.0310185	0.0239044	0.0299236	0.0277901	0.0280011	0.0268953	0.0284574	0.0225638	0.0248349	0.0221181	0.0239631	0.0308608	0.0287912	0.0251409	0.0226374	0.0224446	0.0216287	0.0197461	0.0187139	0.012662	0.0104763	0.0161068	0.0195481	0.0183543	0.0203948	0.0805967
parfait	0.0346172	0.0194266	0.0163742	0.0140537	0.0111792	0.00692366	0.00386318	0.00368767	0.0040017	0.00464551	0.00506136	0.00560074	0.00575505	0.00559912	0.00580116	0.00829278	0.0154029	0.0200833	0.0198151	0.0384757	0.0325663	0.043566	0.0294119	0.0427185	0.0366507	0.0361711	0.0353543	0.0364612	0.0331924	0.0373385	0.0427493	0.0369179	0.0270931	0.0257399	0.0202992	0.0321341	0.0168475	0.00894654	0.0138438	0.0158324	0.0179194	0.0170281	0.0295826	0.0282659	0.0547096
