 	y	é	e	n	d	z	e	m	í	w	á	r	e	b	o	m	w	ε	n	έ	a	t	s	a	a	á	m	i	s	í	á	o	w	á	a	</S>
quel	0.00951209	0.00961701	0.00571391	0.00671861	0.00564798	0.0144217	0.0163599	0.0224278	0.0254319	0.0378406	0.0674052	0.0696398	0.0452811	0.0954897	0.0581912	0.0436999	0.0646028	0.0396874	0.0441144	0.0374095	0.0292421	0.025312	0.0204381	0.0209085	0.0185301	0.0106923	0.012015	0.010247	0.0158263	0.0192866	0.0209571	0.0209341	0.0118095	0.0175974	0.0155003	0.0114913
événement	0.0234139	0.013555	0.00989035	0.00582609	0.00354028	0.00288727	0.00233812	0.00260141	0.00336422	0.0116305	0.0450802	0.0921802	0.0787598	0.136023	0.108215	0.109287	0.0690814	0.0825304	0.0514347	0.0371207	0.0307976	0.0141893	0.0149734	0.013143	0.0107762	0.00346198	0.00236526	0.00160711	0.00126508	0.000814317	0.000953836	0.00110592	0.000501394	0.00167292	0.00457401	0.00903932
insolite	0.0477455	0.0237328	0.0147482	0.0129065	0.011764	0.0111522	0.0140794	0.0210033	0.0206996	0.0572037	0.040655	0.0427746	0.0398282	0.0390989	0.0362726	0.0340662	0.0403974	0.035473	0.0462335	0.0454704	0.0234703	0.0154358	0.0212056	0.0119977	0.0183059	0.0165159	0.0310239	0.0388457	0.0370217	0.0410564	0.0245633	0.0272512	0.0088739	0.0129333	0.0163152	0.0198794
le	0.0488776	0.0743431	0.0682034	0.0562956	0.0469234	0.0182598	0.0428778	0.0448156	0.0373351	0.0437251	0.0381756	0.0596023	0.0657457	0.049815	0.0224724	0.0160851	0.00856652	0.00501692	0.00596143	0.00541707	0.00744357	0.00635405	0.00767572	0.0054474	0.00787	0.00551149	0.0126132	0.0143287	0.0150868	0.0120545	0.014408	0.0145656	0.00834878	0.0231903	0.0280349	0.0585526
chef	0.0284298	0.0414809	0.0604436	0.0774203	0.0536527	0.0358303	0.0239529	0.0110676	0.0072872	0.0367028	0.0326479	0.0317662	0.0209694	0.0234679	0.0194022	0.0266631	0.0316023	0.0366965	0.0425205	0.035912	0.0270498	0.0283184	0.0347619	0.0280354	0.0274518	0.0235218	0.0244294	0.0261721	0.015635	0.00713806	0.00996352	0.0134438	0.0022313	0.00420232	0.00853794	0.0411913
coutumier	0.0385464	0.03954	0.0524075	0.0614733	0.0569104	0.0401061	0.0464165	0.0269737	0.0303063	0.0326842	0.0319245	0.0296177	0.0355476	0.0350477	0.0283976	0.0300498	0.0305411	0.0177764	0.0205846	0.0184269	0.0114573	0.0125806	0.0181587	0.011743	0.0124299	0.0131672	0.0156552	0.012077	0.0136126	0.0078608	0.0100765	0.0140582	0.00860239	0.0190089	0.0207939	0.0954395
atsaa	0.0290906	0.0284334	0.0301463	0.0268773	0.0185902	0.0131085	0.0150765	0.013442	0.0189701	0.0292422	0.0292392	0.023034	0.0213212	0.0331699	0.0316589	0.0363534	0.0441927	0.0248263	0.0275988	0.0354799	0.0224143	0.0267599	0.0368477	0.0278593	0.0251405	0.0197543	0.0205782	0.012561	0.0161738	0.00937838	0.0111948	0.0172141	0.0243095	0.0407951	0.05733	0.101838
est	0.0260701	0.0207089	0.0233414	0.0247031	0.0267596	0.0261926	0.029149	0.0286654	0.0316821	0.023663	0.0215398	0.0186667	0.0235323	0.0226918	0.0280923	0.0278094	0.0303784	0.0204921	0.02336	0.0226092	0.0276688	0.032552	0.0386149	0.0443157	0.0448398	0.0352962	0.0475495	0.0363757	0.0269144	0.0118259	0.0184511	0.0267711	0.00790438	0.0114733	0.0274573	0.0618829
mort	0.0288935	0.0216394	0.0202649	0.0201374	0.0212176	0.0215148	0.019444	0.0147784	0.0100686	0.00495654	0.00690732	0.00794209	0.0158579	0.0164923	0.0127315	0.0140094	0.0159766	0.0116518	0.0144357	0.0177266	0.0226918	0.0233712	0.0285298	0.0281133	0.0358504	0.0438991	0.066702	0.0542058	0.0489519	0.0338885	0.0446865	0.0553636	0.0195474	0.0389029	0.0571406	0.0815089
</S>	0.033069	0.0246041	0.0232265	0.0232225	0.024904	0.026946	0.02506	0.0248842	0.0173332	0.00867337	0.00942251	0.0121198	0.018293	0.0187853	0.0185063	0.0182861	0.0166274	0.00933669	0.0114253	0.011618	0.0179535	0.0150243	0.0183455	0.01959	0.0171486	0.0235772	0.0285024	0.034926	0.0356812	0.0319828	0.0492174	0.0408828	0.0484666	0.0704342	0.0686544	0.10327
