 	n	g	á	l	a	y	í	á	i	t	ó	n	g	a	l	á	n	d	é	e	s	ó	l	ε	n	g	έ	</S>
j'	0.146205	0.16919	0.24588	0.164841	0.0539885	0.0222362	0.00425007	0.0122128	0.00781524	0.00901435	0.0147243	0.0121349	0.00985872	0.00729402	0.00993209	0.0127822	0.0135497	0.0174106	0.0143274	0.0110864	0.00370138	0.00606465	0.00619244	0.0060632	0.0051973	0.00488176	0.00472635	0.00443932
ai	0.138688	0.042707	0.0422215	0.0239287	0.045285	0.0639647	0.0731775	0.104116	0.0752476	0.0706688	0.0365839	0.0252805	0.0143983	0.020327	0.0173715	0.0190471	0.0344048	0.0291939	0.0206914	0.00956873	0.0101391	0.0063502	0.00719012	0.0076531	0.0082493	0.00403063	0.0162806	0.0332354
appris	0.0302121	0.0474806	0.105191	0.123115	0.120394	0.0772658	0.0719287	0.0234055	0.0255563	0.0230272	0.0205952	0.012706	0.0300254	0.0222742	0.0171691	0.0304916	0.0313344	0.0349998	0.0261519	0.0257595	0.0139162	0.00759729	0.00727674	0.0116481	0.012276	0.0178514	0.0194796	0.0108712
à	0.0312368	0.0210068	0.0168523	0.0155422	0.0148678	0.0172721	0.0367257	0.0177952	0.0222669	0.020215	0.0310508	0.0255287	0.0298912	0.0278822	0.0261241	0.0376889	0.0363001	0.0458853	0.0409274	0.0692272	0.121763	0.0609296	0.0708445	0.0409353	0.027816	0.0269195	0.0285066	0.0379985
construire	0.0187709	0.0128615	0.0128951	0.0181267	0.0197931	0.0213216	0.0188678	0.0200516	0.0172616	0.0212627	0.0226163	0.0308398	0.0292891	0.0257945	0.0207456	0.0241525	0.0238976	0.0229302	0.0241883	0.0406938	0.0846074	0.0584284	0.0744148	0.0694316	0.0529162	0.0644669	0.0674931	0.0818812
une	0.0568557	0.0386723	0.0348334	0.0241056	0.0212077	0.0209383	0.0169919	0.0167334	0.0190838	0.0213573	0.0221923	0.028976	0.032744	0.0264587	0.0187155	0.0329082	0.0358496	0.0287566	0.0323628	0.0326923	0.0301085	0.0361554	0.0334108	0.0391354	0.0520591	0.0709803	0.0558235	0.119892
maison	0.0133077	0.0149799	0.0186827	0.0113402	0.0102933	0.00585204	0.00884595	0.00687888	0.00949632	0.00819595	0.0104786	0.00887569	0.0115455	0.00951794	0.00707797	0.0204772	0.0437439	0.0438878	0.0553372	0.0643391	0.0745027	0.0525906	0.0941427	0.0841917	0.0838395	0.0666574	0.0583466	0.102575
dans	0.038815	0.0289606	0.0199797	0.0193621	0.0218603	0.0165042	0.0116178	0.0102482	0.0112026	0.0123734	0.0136803	0.0144474	0.016614	0.0152543	0.00949435	0.0194853	0.027506	0.0218048	0.0402798	0.0590904	0.0688473	0.0580679	0.0764825	0.0731975	0.0731286	0.0718594	0.0709573	0.0788789
ma	0.0661112	0.0639592	0.059613	0.0333894	0.0280491	0.0212003	0.0167168	0.0126737	0.0134858	0.0139612	0.0132292	0.0104361	0.0142221	0.0163732	0.0107839	0.0171997	0.021868	0.0187792	0.0300662	0.0302536	0.0417652	0.0351828	0.0585193	0.062643	0.0666058	0.0730033	0.0696231	0.0802867
jeunesse	0.0340896	0.0256445	0.0199873	0.0159802	0.0123997	0.00905047	0.0187428	0.010365	0.0118399	0.0069072	0.00692794	0.00373158	0.00589115	0.00639437	0.00525665	0.0110847	0.0348358	0.0352675	0.0543108	0.0439661	0.0567324	0.0271172	0.0953274	0.0832361	0.0806987	0.0780355	0.0799887	0.126191
</S>	0.0619848	0.0277664	0.0271268	0.0272162	0.0247177	0.0385912	0.0487958	0.0450697	0.0441458	0.034552	0.0142249	0.012677	0.016113	0.0109628	0.00649941	0.00896137	0.00876979	0.0121645	0.0180103	0.0333651	0.0301736	0.0225646	0.0385501	0.0503133	0.0732469	0.0541854	0.0947312	0.11452
