 	m	w	á	n	a	y	e	é	l	e	á	s	á	n	d	é	e	w	ó	á	m	i	k	á	m	b	á	o	k	ώ	n	g	i	s	i	</S>
cet	0.00423288	0.0169247	0.00748745	0.0101802	0.0134294	0.00616055	0.00605135	0.0149579	0.0110861	0.0187606	0.0243705	0.0412045	0.0422223	0.0512948	0.0428226	0.0267593	0.0417159	0.0192928	0.0151754	0.0214346	0.0197239	0.0221035	0.0263155	0.0286789	0.0352894	0.0362474	0.0388052	0.0355471	0.0452566	0.0398347	0.0393255	0.0519967	0.0289657	0.0462619	0.0361262	0.0339581
enfant	0.077642	0.0291736	0.0457139	0.135994	0.137104	0.126011	0.0464829	0.0348771	0.0568553	0.0242477	0.0113195	0.00765021	0.00476706	0.00228281	0.00881511	0.00658232	0.00707226	0.0100481	0.00866108	0.00612276	0.00324369	0.0148854	0.00655246	0.0206315	0.0133279	0.0117243	0.0113516	0.00705458	0.013542	0.036467	0.0108844	0.0372775	0.0110938	0.00656714	0.00580789	0.00216672
qui	0.0190716	0.0254217	0.0137964	0.0102508	0.00624266	0.00391779	0.00414521	0.00395628	0.00770426	0.011559	0.0148043	0.0297002	0.0543482	0.0550081	0.0585228	0.0673364	0.0562004	0.0423257	0.0195528	0.0159196	0.0135174	0.0282958	0.0435545	0.0301643	0.036773	0.0475495	0.0458554	0.0438183	0.0277278	0.0280871	0.0436325	0.0262504	0.0212755	0.014996	0.0176486	0.0110699
pleure	0.0150876	0.0133568	0.00664433	0.00480205	0.0044464	0.00419374	0.00368764	0.00496447	0.00610325	0.00878184	0.0114643	0.0197359	0.0382425	0.0377365	0.0613314	0.0523654	0.0565235	0.0475875	0.032713	0.0443935	0.0343466	0.0592499	0.0375545	0.0330929	0.0301901	0.0187134	0.0241168	0.0225055	0.0211526	0.0363274	0.0307593	0.0324568	0.0251036	0.0463484	0.0503829	0.0235374
dans	0.0732688	0.0522317	0.02271	0.0112241	0.00755332	0.00806888	0.0110237	0.00906824	0.00790773	0.0116821	0.0143297	0.019894	0.0247011	0.0328668	0.0323871	0.0355332	0.0367973	0.0353033	0.0377876	0.0489513	0.0287874	0.0329278	0.0153026	0.0195606	0.0198412	0.0135484	0.0280107	0.0224266	0.0240455	0.0222923	0.0369581	0.0206463	0.0227881	0.0515102	0.0402604	0.0678037
la	0.0165427	0.0173657	0.0196697	0.00934498	0.00586688	0.00634823	0.00775511	0.00677923	0.00740746	0.00898891	0.0157549	0.0145764	0.0197757	0.0230275	0.0237724	0.0279438	0.0269482	0.0283999	0.0590815	0.051235	0.0321949	0.0340754	0.0295665	0.0377818	0.040911	0.0268399	0.0509819	0.0380986	0.032096	0.0416379	0.0485892	0.026668	0.0247063	0.0424744	0.0589747	0.0378195
maison	0.0626177	0.0298096	0.0377757	0.0261877	0.0220549	0.0281849	0.0339684	0.0210862	0.0218061	0.026216	0.0295445	0.0282485	0.0370386	0.0338652	0.0361724	0.0368357	0.0301593	0.0266169	0.0281006	0.0300794	0.0136734	0.0236842	0.00769023	0.0291393	0.0188443	0.0127081	0.0154195	0.0129801	0.0139014	0.0363259	0.0174727	0.027037	0.018053	0.0241039	0.0322842	0.0703147
n'	0.0669061	0.0376115	0.0337573	0.0252574	0.0209223	0.018073	0.0180156	0.0111918	0.0118168	0.012957	0.0175581	0.0247623	0.0363823	0.0428868	0.0435629	0.0355281	0.0340983	0.0524861	0.0524147	0.0385369	0.0272113	0.0253379	0.0213948	0.0237366	0.0174174	0.012393	0.014833	0.0114799	0.0112061	0.0218428	0.017523	0.0302817	0.0188294	0.015818	0.0239265	0.0720431
a	0.0736132	0.0444373	0.0244048	0.0160651	0.00748716	0.00586725	0.00509434	0.00448246	0.00588845	0.0082249	0.0119374	0.0170466	0.0246328	0.0273269	0.0307021	0.0304566	0.0442782	0.0844534	0.138397	0.0795413	0.0489309	0.0424047	0.0221691	0.0344801	0.0242427	0.00909275	0.0101309	0.00698118	0.00599887	0.0117261	0.00623036	0.0070973	0.00956463	0.00754506	0.0308928	0.0381757
personne	0.0588283	0.0464973	0.0363876	0.0268967	0.0124857	0.0104554	0.00732571	0.00904474	0.0122742	0.0141128	0.0188088	0.0194479	0.0261299	0.0295089	0.0256197	0.0290073	0.0409815	0.0611375	0.0662668	0.070098	0.0590623	0.0463559	0.0328163	0.0400273	0.0355953	0.0182889	0.0255718	0.0141377	0.0148815	0.0180455	0.00907689	0.0102825	0.00565066	0.0103658	0.0132214	0.0253056
pour	0.155754	0.0560287	0.0750918	0.0557259	0.0202214	0.0185445	0.0279541	0.00669138	0.0146711	0.0143351	0.0128352	0.0357727	0.0355948	0.0343828	0.0262817	0.0163446	0.0223496	0.0282239	0.0559926	0.0350991	0.0265788	0.0288046	0.0163885	0.0167499	0.00876934	0.00508506	0.00825081	0.00437329	0.00883553	0.0114758	0.00817187	0.0174226	0.012067	0.0196782	0.024229	0.0352244
le	0.129953	0.0493357	0.0507602	0.0296224	0.0133983	0.0173408	0.0239874	0.00929181	0.0190249	0.0204406	0.0230427	0.0364347	0.0319746	0.0313886	0.0285038	0.0224052	0.0300867	0.0385243	0.044922	0.0351876	0.0241406	0.030886	0.0219759	0.0250777	0.019786	0.00983869	0.0166299	0.00942	0.0173033	0.0216159	0.0127036	0.0188387	0.0142466	0.0221155	0.0194344	0.0303623
consoler	0.0370704	0.0247477	0.0208427	0.0259384	0.0174426	0.017272	0.0263625	0.0222215	0.0326125	0.0400132	0.0517791	0.0397169	0.040794	0.0328283	0.0193242	0.0237431	0.0249059	0.0347732	0.0207413	0.0168298	0.0214409	0.0195763	0.0217111	0.0216292	0.0156062	0.0213379	0.0169541	0.0120591	0.0204982	0.0336988	0.0196684	0.0438956	0.0267926	0.0265334	0.0358841	0.0727549
</S>	0.111764	0.0541962	0.0358136	0.0269467	0.0205616	0.0175457	0.0218738	0.0135344	0.0154485	0.0179662	0.0188096	0.0291257	0.0321843	0.038644	0.0314487	0.026301	0.0307386	0.0408644	0.033769	0.0352003	0.0364079	0.0311522	0.0217403	0.0194761	0.0124153	0.00880732	0.0124798	0.00775824	0.0141586	0.0116221	0.0128001	0.0196213	0.0125584	0.0298675	0.0243765	0.0720218
