 	n	ω	o	p	é	n	d	í	l	o	b	h	ó	d	z	w	a	á	ω	s	a	n	á	á	e	b	é	e	e	s	ú	s	u	</S>
tu	0.0201739	0.0197498	0.0340827	0.0627173	0.0465181	0.0369654	0.0449871	0.0439537	0.0382533	0.0376623	0.0413091	0.0420469	0.056812	0.043183	0.0820058	0.0326403	0.0255146	0.0120093	0.0115613	0.008974	0.0158795	0.0159385	0.0159442	0.030779	0.0249603	0.0280674	0.0181421	0.0149564	0.010538	0.0150771	0.0130865	0.0180302	0.0191888	0.0182924
fais	0.154268	0.0896834	0.0624844	0.0428028	0.0235729	0.0153511	0.0143492	0.0123652	0.0148227	0.0314696	0.0261292	0.0336505	0.0269369	0.0179607	0.0269457	0.0213593	0.0454209	0.0351378	0.0294356	0.0281974	0.0159846	0.0340485	0.0216503	0.0206566	0.0285993	0.020225	0.0171435	0.0129697	0.0127751	0.0138105	0.0105637	0.0122502	0.0106481	0.0163319
trop	0.0900883	0.0759996	0.0552863	0.0472928	0.019228	0.012531	0.0117534	0.0220805	0.0271229	0.0322805	0.0439336	0.0373551	0.0526933	0.0763959	0.0844899	0.0511501	0.0376475	0.0215415	0.015876	0.0101105	0.0103618	0.0115038	0.010615	0.0251174	0.0177746	0.0147133	0.0152474	0.0109941	0.013063	0.0109434	0.0086548	0.0100908	0.0108099	0.00525426
de	0.0357845	0.0416492	0.0304819	0.0284667	0.0109176	0.00695597	0.00780276	0.0101654	0.0150876	0.0146365	0.0167067	0.017721	0.0264645	0.0305712	0.0302446	0.0303919	0.0365375	0.0649783	0.119177	0.127021	0.0775407	0.0431605	0.0230288	0.0132005	0.0154639	0.0104214	0.00777498	0.00860126	0.0128527	0.0180632	0.0134178	0.0167224	0.0142141	0.0237754
bruit	0.0542274	0.045368	0.052406	0.0510001	0.0419978	0.0200398	0.016761	0.0329822	0.0378848	0.0318883	0.0218423	0.0147849	0.0124964	0.0127714	0.0266215	0.0224707	0.0285251	0.0402665	0.0605194	0.0528015	0.0563371	0.0465	0.0390329	0.0141991	0.00891925	0.00798894	0.00674587	0.00747876	0.0104499	0.00986899	0.0102845	0.0113202	0.0164772	0.0767423
va	0.0358711	0.037968	0.0503228	0.0560598	0.072074	0.0470045	0.0329961	0.0314129	0.0315436	0.0238323	0.0227366	0.0252383	0.0255304	0.0301067	0.0375961	0.0157202	0.00979199	0.013588	0.0172345	0.00723706	0.00613761	0.00365665	0.00392462	0.00618815	0.00782119	0.0124498	0.0145375	0.0177271	0.0207371	0.0215831	0.02142	0.0319423	0.0496707	0.158339
jouer	0.0636475	0.0501861	0.0474348	0.0471729	0.041762	0.0264561	0.0220606	0.0259462	0.0244903	0.0208506	0.0208027	0.0190941	0.0172225	0.0153077	0.0246316	0.0128273	0.00979748	0.0118642	0.0097218	0.00784398	0.00603062	0.00438054	0.0056552	0.00642959	0.0100776	0.0125024	0.0144774	0.0216451	0.0244444	0.0205808	0.0333675	0.0466517	0.0857949	0.188842
autre	0.0545032	0.0396091	0.0311161	0.0225261	0.0193893	0.0124247	0.0152983	0.0262543	0.028084	0.0224007	0.0308085	0.0318772	0.0424039	0.0352846	0.0427904	0.0286599	0.0208884	0.0125948	0.0206617	0.017399	0.0132743	0.00813141	0.00676941	0.00723232	0.0100926	0.0125191	0.0158086	0.0195745	0.0250867	0.0239863	0.0294151	0.0573989	0.0741617	0.141575
part	0.0651831	0.0384948	0.0320079	0.0344086	0.0407488	0.0293948	0.0252782	0.0264078	0.0230597	0.0228499	0.0336036	0.0277246	0.033682	0.0249824	0.0277853	0.0210139	0.0147675	0.0141739	0.0200947	0.0203799	0.0157347	0.0129547	0.0114948	0.0136799	0.0150712	0.0240106	0.0286816	0.0360167	0.0378084	0.0346795	0.0344314	0.0420537	0.0442862	0.0730551
</S>	0.0642581	0.0379792	0.033741	0.0364735	0.0447459	0.0595428	0.0453204	0.0234932	0.017607	0.0162968	0.0140877	0.00755854	0.00522736	0.00508675	0.00703763	0.00455416	0.00540324	0.00516774	0.00880678	0.0130608	0.00666319	0.00423251	0.00693656	0.00984134	0.0249972	0.0287843	0.0319891	0.0431203	0.0421557	0.0442756	0.0630575	0.057987	0.0696665	0.110845
