 	n	g	á	í	b	h	e	r	i	s	i	w	á	i	k	y	έ	m	b	ε	l	a	á	i	t	á	n	g	a	m	é	m	b	ω	s	í	</S>
je	0.0970266	0.205888	0.275969	0.158627	0.0237564	0.0106204	0.00601309	0.00224341	0.00275169	0.00322462	0.00420369	0.0111418	0.0099245	0.0186935	0.0117058	0.0146711	0.00863243	0.00936054	0.00749786	0.00785877	0.00669618	0.00347543	0.0061241	0.00619419	0.00790223	0.00565516	0.00612432	0.00544919	0.00691074	0.0068755	0.00726078	0.00627441	0.00707207	0.00658311	0.00731571	0.00696621	0.00731013
lui	0.0753745	0.0198697	0.0208478	0.0332361	0.0369248	0.0430357	0.0462783	0.0805907	0.0800698	0.0858716	0.0511625	0.0445449	0.0512381	0.043982	0.0252798	0.0314955	0.0280438	0.024488	0.0210201	0.0225019	0.0184115	0.013028	0.0173744	0.0158219	0.0117865	0.00936023	0.00266707	0.00522928	0.00304765	0.00617808	0.00644787	0.00549228	0.00432002	0.00299177	0.00305725	0.00379959	0.00513112
ai	0.034063	0.0288463	0.0303356	0.0282702	0.00927736	0.0162515	0.0232768	0.0225818	0.0310861	0.0384954	0.0406977	0.0838369	0.0271186	0.055757	0.0610111	0.041822	0.0376999	0.0268981	0.0385995	0.0303476	0.0253654	0.00924033	0.0103489	0.0161704	0.0153103	0.0157473	0.0213202	0.0226532	0.0209957	0.0155283	0.0161613	0.0101691	0.0160253	0.0186267	0.0227638	0.0236218	0.0136794
appris	0.0815373	0.0499191	0.0289702	0.0293587	0.0174938	0.0380139	0.0209242	0.0326409	0.0267657	0.0243707	0.0277715	0.0292557	0.0211771	0.0241201	0.0349118	0.030843	0.0416607	0.0364232	0.030115	0.0345783	0.0315054	0.0402188	0.035	0.0210244	0.0163957	0.0117428	0.0182766	0.0144649	0.0151251	0.0124121	0.0123158	0.00942252	0.0141249	0.0159267	0.0193888	0.02116	0.0306446
à	0.0296377	0.0120688	0.00666835	0.00860554	0.0203622	0.0241636	0.0320694	0.0340689	0.0314593	0.0411941	0.0527588	0.0401094	0.0274455	0.0185905	0.0236761	0.0155729	0.0194993	0.0200319	0.0280272	0.0207963	0.0166105	0.0129965	0.0155377	0.0181412	0.022943	0.0248169	0.0275909	0.0325932	0.0285137	0.0289277	0.033362	0.0317143	0.0336642	0.0323729	0.0370825	0.042182	0.0541453
lire	0.00560602	0.00416905	0.00414979	0.00588174	0.0110065	0.0101053	0.0261886	0.0137953	0.0201858	0.0281317	0.0359817	0.0242824	0.00907298	0.00955723	0.0161617	0.0106565	0.019344	0.0209317	0.0285004	0.0266943	0.0245039	0.0192333	0.02122	0.0201979	0.0201778	0.0226672	0.036262	0.0484861	0.0421283	0.0430034	0.0523749	0.0416227	0.0489969	0.0535512	0.0522452	0.0554304	0.067496
et	0.0103019	0.007455	0.00742768	0.0104527	0.0105975	0.015599	0.0283073	0.0159418	0.0259963	0.0338154	0.0362502	0.0183625	0.0135145	0.0164196	0.0216518	0.0156375	0.0195904	0.0219125	0.038187	0.0367813	0.0301876	0.022094	0.0201129	0.0184831	0.0222557	0.0200998	0.0314009	0.0371431	0.035983	0.0338622	0.0448301	0.0303292	0.0348912	0.0424284	0.0409717	0.0438654	0.0868598
à	0.0133009	0.0126651	0.012524	0.0132195	0.0124529	0.0128118	0.0141896	0.0105303	0.0122692	0.014431	0.0135385	0.0110909	0.00624474	0.00727081	0.0105007	0.0083737	0.0123093	0.0111045	0.0283571	0.0363253	0.0369137	0.0323495	0.0293809	0.0316673	0.0373372	0.0365498	0.0398475	0.0430462	0.0349439	0.033523	0.0408976	0.041289	0.0446928	0.0566664	0.0553088	0.0575728	0.0745039
écrire	0.0182035	0.015481	0.0154279	0.0156127	0.0111667	0.0132432	0.0142671	0.00950157	0.00846896	0.00953359	0.0117351	0.0112875	0.00787875	0.0102865	0.014066	0.0133487	0.0184018	0.0144044	0.0211484	0.0236063	0.0250308	0.0287143	0.027211	0.0260435	0.0358137	0.0315617	0.0462336	0.0482443	0.051903	0.0472629	0.0533467	0.0398418	0.0475064	0.0494323	0.0519719	0.054856	0.0579564
en	0.0183643	0.0153173	0.0151759	0.0128046	0.00708656	0.00988854	0.0110997	0.0113705	0.0148103	0.0135844	0.0153474	0.0162787	0.0182663	0.0211888	0.0219485	0.0217892	0.0233442	0.0223503	0.0240154	0.0236954	0.0241029	0.0257263	0.0250771	0.0234543	0.0252222	0.023277	0.0257512	0.0255443	0.0397779	0.0351365	0.0527655	0.0482994	0.0551708	0.0546711	0.0548746	0.0583361	0.0650868
mbochi	0.0135808	0.00705735	0.0123579	0.0138904	0.00601141	0.00990098	0.0128922	0.0126855	0.0127459	0.0174556	0.0163841	0.0178309	0.0203676	0.0228701	0.0190709	0.0191878	0.0315914	0.0292763	0.0336392	0.0370468	0.0378756	0.0443264	0.0444576	0.0279805	0.0374316	0.0262061	0.0445195	0.03534	0.0432784	0.030798	0.0430167	0.0264152	0.034223	0.0344016	0.0343242	0.0408458	0.0487168
</S>	0.0486102	0.0150507	0.00953338	0.0078782	0.00836813	0.0135431	0.00795684	0.0147573	0.0176561	0.0178203	0.0180318	0.0181768	0.0201776	0.0300604	0.0362313	0.0346815	0.0345162	0.0299072	0.0343668	0.0224336	0.031893	0.0416692	0.0360266	0.0437517	0.0383085	0.0337637	0.0341006	0.0293	0.022517	0.0217403	0.0242073	0.0266102	0.0191103	0.0273158	0.0269153	0.0353792	0.0676338
