 	n	g	á	í	m	i	k	ώ	n	d	ώ	o	b	ó	n	d	á	e	k	i	i	s	í	l	í	y	é	é	k	i	i	s	í	w	a	n	g	á	</S>
je	0.106534	0.275148	0.139163	0.0921445	0.062003	0.0203631	0.0100073	0.00444776	0.00949343	0.00680363	0.0107744	0.0105412	0.0132105	0.0153238	0.011795	0.0126339	0.0144432	0.0132301	0.00982403	0.0102254	0.00978937	0.00913298	0.00781894	0.00881676	0.00766582	0.00797943	0.0137998	0.00714183	0.0104683	0.00595517	0.0072365	0.0073573	0.00669893	0.00660968	0.00637868	0.00693578	0.00720314	0.0076523	0.00724938
ne	0.061193	0.0255759	0.0544228	0.0444213	0.0180222	0.0175399	0.0367778	0.0523843	0.069659	0.0678277	0.0681161	0.0580046	0.0427218	0.0360347	0.0309923	0.0250339	0.0238422	0.0221146	0.0161142	0.0268973	0.0300017	0.0322819	0.0147722	0.0132116	0.00539658	0.00417503	0.00536449	0.00243919	0.00220209	0.000821238	0.00399097	0.00660438	0.00598991	0.0191532	0.0103291	0.00956675	0.00895933	0.0120882	0.0149563
comprends	0.04105	0.0256872	0.0185622	0.0239832	0.0256707	0.0240207	0.0353989	0.0476976	0.0474273	0.0642293	0.0513462	0.0562552	0.0416637	0.042213	0.0495908	0.0333029	0.0338255	0.0197041	0.0113121	0.0232303	0.0188904	0.0252449	0.0347165	0.0316203	0.0249546	0.0232146	0.0277407	0.00912656	0.0185593	0.00622334	0.00484544	0.00425783	0.0058257	0.00653477	0.00724855	0.00886063	0.0112751	0.00797442	0.00671539
pas	0.0851421	0.038644	0.0318605	0.0559191	0.0628012	0.0374244	0.0251128	0.0366884	0.0130427	0.0461973	0.0326241	0.0282806	0.019164	0.0375326	0.0231568	0.0238158	0.0147885	0.00838602	0.00690545	0.00818782	0.014428	0.0156426	0.0211101	0.0145558	0.0153534	0.0159889	0.0179685	0.011949	0.0239552	0.0224472	0.0268325	0.0290198	0.0313329	0.0115624	0.0297624	0.0147233	0.015529	0.0166644	0.0155001
comment	0.00691817	0.00548696	0.00407948	0.00629498	0.0126888	0.0244162	0.0235369	0.0326525	0.0189031	0.0396827	0.023083	0.0161854	0.0162886	0.0197491	0.0173422	0.0239335	0.0246025	0.0205801	0.0198078	0.0158651	0.0215041	0.0248326	0.0170919	0.0242083	0.0203848	0.0230026	0.0392444	0.0197321	0.068843	0.0441517	0.0560232	0.0540129	0.0398772	0.0211221	0.0329991	0.0215575	0.0206086	0.0342454	0.0444616
il	0.0120096	0.00756412	0.00610942	0.00778606	0.0138622	0.0249897	0.0412626	0.0338302	0.0317291	0.0501717	0.0323053	0.030455	0.0288694	0.0236472	0.0296935	0.0212098	0.0211927	0.0225449	0.0236505	0.0221089	0.022151	0.0247479	0.0183738	0.0211273	0.0178492	0.0191133	0.0281796	0.0117075	0.0316885	0.0230304	0.0337032	0.0260428	0.0213388	0.0200338	0.0219558	0.025403	0.0315305	0.03211	0.0849219
est	0.00839424	0.00332882	0.00352198	0.00564733	0.0106293	0.0281263	0.0315528	0.0349866	0.0211607	0.0341051	0.0216251	0.025445	0.020206	0.0200017	0.0321094	0.0201463	0.0299258	0.0407689	0.0385195	0.0417271	0.0366953	0.0401274	0.0289328	0.0278085	0.0225317	0.0277459	0.0342911	0.0210145	0.0303088	0.0212294	0.0264145	0.0167303	0.0180312	0.0183541	0.0198786	0.0196356	0.0264261	0.0299857	0.0619304
passé	0.0107065	0.00976521	0.00855226	0.0127509	0.0127269	0.0188168	0.0121931	0.0223472	0.0135235	0.017389	0.0146178	0.0177033	0.0165575	0.0138247	0.0202237	0.0141637	0.0217005	0.0490124	0.0512673	0.0415267	0.0371306	0.0449511	0.043494	0.0338248	0.0292261	0.0385877	0.0395152	0.0208268	0.0308822	0.0102444	0.0306691	0.024167	0.0227918	0.0217033	0.0256284	0.018328	0.0271075	0.0334626	0.0680903
à	0.00901477	0.00734869	0.00731563	0.00918854	0.00813531	0.0117332	0.00582783	0.0110753	0.00689526	0.0103001	0.00803711	0.00646615	0.0108793	0.00853495	0.0103025	0.0105961	0.0151806	0.0320636	0.037348	0.0428641	0.0466256	0.05398	0.0576637	0.0432057	0.037271	0.0498051	0.0469679	0.0252464	0.0354441	0.00905491	0.0250595	0.0206846	0.0249027	0.0298428	0.0403929	0.0310659	0.0403628	0.0500824	0.0632349
mon	0.027724	0.0198206	0.0118535	0.0172558	0.0155073	0.0185869	0.0164774	0.0190647	0.0117267	0.0186598	0.011564	0.00929638	0.0101492	0.0109436	0.0107524	0.00874045	0.0141758	0.0148556	0.0197296	0.0205443	0.0184473	0.0273378	0.0265963	0.0343319	0.028184	0.0353476	0.0427961	0.0150398	0.0405393	0.0125529	0.0394536	0.0379327	0.0444789	0.0440404	0.0450013	0.0413096	0.0493941	0.0512789	0.0585096
