 	b	e	a	í	m	o	k	á	m	b	á	o	k	a	b	h	i	</S>
il	0.0644108	0.0252521	0.0246858	0.0484812	0.0444906	0.0512252	0.11082	0.132826	0.101048	0.0625212	0.0408951	0.0322943	0.0336143	0.0550816	0.0526791	0.054985	0.0332902	0.0313996
n'	0.153981	0.125286	0.0827469	0.0994342	0.117952	0.0716183	0.0375822	0.0250844	0.0621899	0.0494542	0.00688435	0.00361001	0.0211083	0.0276278	0.0297847	0.0345078	0.0233395	0.0278081
y	0.128363	0.105982	0.0599168	0.0468025	0.0806015	0.0674726	0.0505626	0.0326069	0.0438052	0.0262961	0.0164789	0.0241326	0.0702719	0.0715359	0.0725301	0.0392788	0.0334426	0.0299197
a	0.182058	0.158983	0.0761437	0.0547442	0.0579884	0.0426464	0.0320279	0.0308885	0.029864	0.0317719	0.0457324	0.0519826	0.0350239	0.0237111	0.0189372	0.0284752	0.0392439	0.0597772
personne	0.0698934	0.0665422	0.0421025	0.0188952	0.0160095	0.0211732	0.0273629	0.0420237	0.0324992	0.0186073	0.0276145	0.0801841	0.0891051	0.12903	0.166186	0.0583317	0.0447213	0.0497174
pour	0.0402909	0.0469336	0.0303529	0.0290421	0.0291208	0.034847	0.0485824	0.0633555	0.0466326	0.0189764	0.0233642	0.0361089	0.0544608	0.0473004	0.107332	0.116992	0.0987993	0.127508
partager	0.109871	0.0979528	0.0510015	0.0535965	0.0541207	0.0316463	0.0290058	0.0293595	0.0185351	0.0164352	0.0217872	0.015405	0.0281334	0.0417553	0.0683464	0.0968323	0.0844662	0.15175
la	0.0481404	0.0602973	0.0451754	0.0500771	0.069799	0.0741158	0.0758434	0.043564	0.0273469	0.0215755	0.0190286	0.012508	0.0357492	0.0295014	0.0413881	0.076473	0.11014	0.159277
nourriture	0.112154	0.0813176	0.0595387	0.0639982	0.0430801	0.031332	0.0184152	0.0109045	0.00977651	0.0108822	0.00952273	0.0112927	0.0235375	0.0483996	0.077355	0.0954125	0.0952747	0.197806
</S>	0.12799	0.108003	0.063039	0.0649339	0.0318859	0.0261279	0.0258858	0.0148072	0.0104876	0.00818703	0.0103494	0.012961	0.0220567	0.0254148	0.0700579	0.0841126	0.0895896	0.20411
