 	w	a	a	d	í	y	o	n	g	ó	n	g	ó	t	s	i	n	a	n	g	ó	o	á	m	i	w	á	a	</S>
il	0.192682	0.269261	0.29616	0.0770873	0.0470948	0.0158568	0.0158078	0.0148417	0.0063004	0.0043928	0.00201409	0.000703238	0.00185889	0.00198464	0.00266609	0.00325036	0.00405364	0.00375462	0.00408293	0.00370521	0.00302776	0.00385047	0.00455024	0.00388007	0.00408233	0.00390956	0.00305201	0.00388489	0.00220478
est	0.018653	0.0176595	0.0128777	0.0713212	0.1069	0.105043	0.101303	0.053244	0.0269778	0.0522664	0.0493473	0.0449173	0.0485447	0.0510726	0.0562781	0.034032	0.0415156	0.020998	0.0157364	0.0116375	0.00624562	0.00678037	0.00362361	0.0021663	0.00192101	0.00733873	0.00419272	0.0141455	0.013261
mélancolique	0.0244793	0.0247552	0.0238253	0.0281061	0.0506119	0.0625987	0.0990051	0.061105	0.0364703	0.0236304	0.0274375	0.0262144	0.0151893	0.0143941	0.0145074	0.0219497	0.0253578	0.0305781	0.052586	0.0933828	0.0551868	0.0286383	0.0324623	0.0293971	0.0210191	0.0173481	0.0147529	0.0157354	0.0292756
parce	0.0225662	0.0425385	0.0265241	0.0230443	0.0475737	0.0199856	0.0160097	0.0136477	0.0132378	0.0146153	0.0166319	0.0330041	0.0255407	0.0307644	0.0497889	0.0459965	0.038802	0.044496	0.0511896	0.065979	0.0683512	0.0545715	0.0501983	0.0285315	0.0334166	0.0188839	0.0300435	0.0194835	0.054584
qu'	0.0402621	0.0626853	0.0368875	0.0269395	0.0200034	0.0146601	0.0168073	0.00838957	0.00818995	0.0252389	0.0194095	0.0216907	0.0214093	0.0253522	0.024444	0.0293644	0.0298806	0.0335287	0.0327668	0.036409	0.0325138	0.0281786	0.0402306	0.06747	0.110942	0.0427756	0.0376701	0.0383113	0.0675889
il	0.058953	0.0455871	0.0347027	0.0364287	0.0345798	0.0245198	0.0309905	0.0114977	0.00862737	0.0159189	0.0101479	0.00850983	0.007269	0.00942024	0.00988861	0.0173247	0.0175355	0.0201145	0.01831	0.0222353	0.0262783	0.0320973	0.0537588	0.0724148	0.122701	0.0719355	0.0412304	0.0560242	0.0809983
a	0.0132859	0.0121736	0.00854353	0.010277	0.0103036	0.0125111	0.0221378	0.015559	0.0131213	0.0242739	0.0182415	0.0202058	0.0267466	0.0308343	0.0314127	0.030566	0.0349981	0.0367931	0.0371243	0.0375334	0.0572003	0.0611148	0.0740988	0.0479516	0.0584775	0.041423	0.0671027	0.0545872	0.0914014
perdu	0.0211834	0.018616	0.015916	0.0115776	0.00999594	0.0206188	0.0300084	0.0209397	0.0207562	0.0239805	0.0208796	0.021299	0.0174749	0.0208213	0.0217526	0.0275499	0.0300914	0.0263163	0.0334181	0.0327623	0.0592462	0.0572254	0.061909	0.0457032	0.0572643	0.0506235	0.06708	0.0683945	0.086596
sa	0.0448646	0.0288708	0.0197073	0.0142552	0.0178671	0.0244765	0.0317612	0.0293775	0.0251002	0.0273881	0.0286046	0.0229263	0.0158975	0.024459	0.0218158	0.0233522	0.0325864	0.0255054	0.0281702	0.0481213	0.0488974	0.0497338	0.0441185	0.0347357	0.0368771	0.0290334	0.0499611	0.0458392	0.125697
mère	0.0157684	0.00993833	0.00720196	0.00592816	0.00823209	0.011863	0.0379384	0.046819	0.0356071	0.0184971	0.0177875	0.0224923	0.0242502	0.0333681	0.0490443	0.0305725	0.0547037	0.0566932	0.054409	0.0593075	0.0728964	0.0586853	0.0418354	0.0162794	0.0261277	0.0288207	0.0561615	0.0261117	0.0726601
</S>	0.031877	0.0289301	0.0251598	0.0169726	0.0151545	0.0272531	0.0374093	0.0357969	0.0337349	0.0322113	0.0313379	0.0257871	0.015397	0.0153266	0.018831	0.0147088	0.0168677	0.019017	0.0172112	0.0173771	0.0242174	0.0249296	0.0361553	0.0256044	0.052862	0.0514863	0.0832301	0.0968004	0.128354
