 	e	k	o	n	y	í	í	l	í	y	é	é	k	ó	n	y	á	á	b	á	a	m	o	r	o	w	ó	a	d	i	m	ú	b	h	u	w	á	á	k	a	á	n	d	z	i	m	b	á	</S>
la	0.00852415	0.0128734	0.0117215	0.00843912	0.00659875	0.00385662	0.00309277	0.00544437	0.00797761	0.014931	0.025355	0.0595188	0.0456628	0.0480731	0.0476166	0.0465055	0.0272492	0.0277349	0.0431753	0.0225737	0.0288538	0.0182777	0.0185317	0.0181413	0.0174814	0.0124208	0.0100227	0.00949393	0.00977764	0.00817785	0.00566612	0.00743926	0.00561194	0.00782624	0.0112096	0.00837761	0.0109957	0.00776857	0.015657	0.0159699	0.0177339	0.0261396	0.0377696	0.0345563	0.0372161	0.0359187	0.0350488	0.0291232	0.0218691
manière	0.0187796	0.0177674	0.0220425	0.0101845	0.00514963	0.0101767	0.0107676	0.0221901	0.028552	0.0301919	0.0454767	0.0918532	0.0465868	0.0314112	0.0363722	0.018944	0.0288746	0.0263589	0.0547022	0.0158919	0.056873	0.023706	0.0266141	0.017514	0.0123412	0.007027	0.00721712	0.012136	0.00882779	0.00235255	0.00265146	0.00420831	0.00437292	0.00300493	0.0166465	0.0144251	0.00462956	0.00296356	0.0136181	0.0197476	0.0121189	0.01898	0.0258031	0.048741	0.0231137	0.0203696	0.00727819	0.00665008	0.00379435
dont	0.14463	0.0622465	0.0176487	0.00619811	0.00391897	0.00919337	0.00771452	0.0144065	0.01383	0.0136069	0.00959739	0.0110169	0.0134327	0.0128168	0.024355	0.0187079	0.0236067	0.023941	0.0356181	0.033581	0.0361322	0.0322754	0.0414547	0.0409478	0.0229279	0.0410044	0.0236416	0.013351	0.012168	0.0232778	0.0131778	0.00890233	0.0097197	0.00946929	0.0147651	0.0153667	0.0134142	0.0190089	0.0117071	0.00932482	0.010453	0.0103877	0.00923405	0.0126614	0.0114042	0.0047171	0.00704099	0.0073536	0.0146444
cet	0.0415624	0.0550267	0.0689554	0.0375529	0.0320937	0.0167043	0.0129586	0.00949824	0.00766658	0.0105368	0.0108083	0.0176581	0.00985563	0.0105489	0.0132535	0.011974	0.00812854	0.00856085	0.0212848	0.0124931	0.0317621	0.0225187	0.0440134	0.0318619	0.0358639	0.0116919	0.0415804	0.0257212	0.0189247	0.0171989	0.0154997	0.0134197	0.0172155	0.0123234	0.00944364	0.0118114	0.0267199	0.0145307	0.0221718	0.0198765	0.0203881	0.0218052	0.0208062	0.0157285	0.00605883	0.00970558	0.00701875	0.00940752	0.0278106
homme	0.048231	0.0504274	0.046295	0.045047	0.0574646	0.0592548	0.044395	0.039145	0.0225228	0.0178611	0.0172553	0.0218442	0.0245232	0.0205805	0.0193444	0.00851922	0.0111102	0.00932285	0.0223324	0.0113383	0.0159833	0.0200505	0.0263617	0.0238187	0.0183611	0.0141239	0.025679	0.014121	0.0136646	0.0212913	0.0222565	0.0116644	0.0201296	0.0122108	0.00757361	0.0131091	0.0139392	0.0195763	0.00946461	0.00860439	0.00727218	0.00847941	0.00823935	0.00785483	0.0060342	0.00537791	0.00533836	0.00829495	0.0143108
est	0.0461951	0.0649174	0.0731986	0.0710721	0.0855379	0.0672802	0.0699903	0.0257086	0.0110551	0.00991275	0.0108221	0.0179863	0.017195	0.0106557	0.0212898	0.00965209	0.0137006	0.00791558	0.0218101	0.0076855	0.00654502	0.0071644	0.0104291	0.0114955	0.0120581	0.00601362	0.00928179	0.00809606	0.00838867	0.00855087	0.0131053	0.00779993	0.0127026	0.00862086	0.0100409	0.0116824	0.0164422	0.0268776	0.00891798	0.0117773	0.0105682	0.0117192	0.00791237	0.00764025	0.00541445	0.00734568	0.00665926	0.0148046	0.0483649
assailli	0.0290629	0.0198094	0.0164517	0.0166441	0.0128316	0.0232063	0.0212608	0.0189261	0.0144105	0.0120779	0.0137405	0.0102492	0.00892204	0.00993875	0.00868008	0.00909561	0.0065772	0.0068219	0.00823733	0.0106556	0.00948672	0.0174143	0.0195755	0.0265257	0.0253986	0.0193578	0.0343718	0.035563	0.0309221	0.0176135	0.0305237	0.0249314	0.046305	0.0214492	0.0341882	0.0316114	0.0289847	0.0296196	0.0473556	0.0311398	0.0197769	0.0141173	0.014179	0.00901263	0.00952204	0.0207941	0.0162532	0.0222685	0.0341392
il	0.0776629	0.0679917	0.0405671	0.0199402	0.0151872	0.027328	0.0375456	0.0296638	0.022664	0.0191756	0.0179586	0.0141053	0.0126968	0.0120315	0.0102091	0.0173209	0.0133258	0.0114283	0.0106239	0.0118614	0.00873602	0.0105462	0.0116147	0.0136944	0.0163571	0.0104359	0.0148904	0.0229125	0.0175642	0.00953907	0.0134855	0.0163383	0.0255671	0.0205697	0.0213387	0.02106	0.0337467	0.0258189	0.0346196	0.0296179	0.0217585	0.0105173	0.006975	0.00553085	0.00479746	0.0100754	0.00779961	0.0144814	0.050324
doit	0.0992341	0.0844208	0.0604067	0.0423119	0.034824	0.0344701	0.0299619	0.0214958	0.0137542	0.0124891	0.0122465	0.00989864	0.0106599	0.00948679	0.0087173	0.0113115	0.0135019	0.0110403	0.0138189	0.0120437	0.00973295	0.0122492	0.0179697	0.026636	0.024846	0.0232731	0.0199025	0.0243417	0.0192555	0.0118628	0.014395	0.0162736	0.0193954	0.0158381	0.0134296	0.0173673	0.0177352	0.0180876	0.0175728	0.0092344	0.00764468	0.0030474	0.00216716	0.00268936	0.00404773	0.00551321	0.00882555	0.0107971	0.0597753
être	0.0752665	0.0598267	0.0498567	0.0285198	0.0212383	0.0122811	0.0148815	0.00955031	0.00544298	0.00704625	0.00452469	0.00494845	0.00625185	0.00392106	0.00506319	0.00545939	0.00866861	0.00645695	0.0131205	0.00734213	0.0100815	0.0114316	0.0273918	0.0378095	0.0422776	0.0175896	0.0241168	0.0294767	0.0184069	0.0155116	0.0279531	0.0201107	0.0330275	0.0290116	0.0191248	0.0242468	0.0342533	0.0338507	0.0282124	0.0206189	0.0164696	0.00945386	0.00683144	0.00510432	0.00580302	0.00839525	0.0100633	0.0151199	0.0685891
