 	b	ε	έ	b	ε	έ	l	a	p	o	o	é	d	í	l	a	n	g	o	n	d	a	y	á	a	t	ω	r	ω	</S>
a	0.0139357	0.0121194	0.0112016	0.0117806	0.0177636	0.0388572	0.0348487	0.0440995	0.0364347	0.0511986	0.0249307	0.0555626	0.0728432	0.0663186	0.0537312	0.0291136	0.0334884	0.060341	0.0476822	0.0377925	0.0381646	0.0411988	0.0339088	0.0314636	0.024944	0.0183154	0.0189743	0.0145463	0.0104345	0.014006
côté	0.0281349	0.0199259	0.0230073	0.0168853	0.0202319	0.012217	0.0105173	0.00863658	0.00765624	0.00442092	0.00720862	0.0107706	0.0208033	0.0592135	0.0575416	0.0507906	0.0464079	0.0910524	0.1178	0.107649	0.0809012	0.0784962	0.0371954	0.0240776	0.0165355	0.0152091	0.0116	0.0060081	0.0042355	0.00487086
du	0.0286671	0.0233607	0.0176375	0.0164476	0.0111455	0.0151362	0.0129883	0.0138194	0.0132635	0.0178873	0.0247708	0.0307227	0.0463491	0.0651787	0.0789705	0.0771259	0.0986169	0.093662	0.0877523	0.0569065	0.0336264	0.0310784	0.0218916	0.0170279	0.00958429	0.00840252	0.00856878	0.0140955	0.0181184	0.00719759
village	0.01526	0.0202497	0.019015	0.0161348	0.0150345	0.00735608	0.00595731	0.00561716	0.011369	0.0137627	0.0242716	0.0328434	0.0375448	0.0430714	0.0542084	0.0646225	0.0928518	0.0827088	0.11086	0.101442	0.0791636	0.0411819	0.0346113	0.0168722	0.0137385	0.00842782	0.00581234	0.00578737	0.00711252	0.0131118
il	0.0189332	0.0172733	0.0307543	0.0469401	0.062294	0.101908	0.112326	0.0573896	0.0524968	0.0302848	0.0306995	0.0439852	0.0253229	0.024802	0.0208101	0.0294009	0.0262699	0.0143063	0.0227492	0.0219353	0.0210763	0.0245807	0.0185739	0.0134634	0.0118142	0.00881755	0.00893835	0.0148611	0.0229536	0.0640395
y	0.0617483	0.0430358	0.0613428	0.0760825	0.0718526	0.0631718	0.0470785	0.0368631	0.0258409	0.0190169	0.0229283	0.0245857	0.0145282	0.0141236	0.0119222	0.0298564	0.0246266	0.0147729	0.0330597	0.0252399	0.0300654	0.0390255	0.0270782	0.0169841	0.0145508	0.0145906	0.0181773	0.0266841	0.02836	0.0628076
a	0.113524	0.0816818	0.0588307	0.0438232	0.0378278	0.0233998	0.01941	0.0171645	0.0124805	0.0103916	0.0101511	0.0130138	0.0146548	0.0203404	0.020107	0.0288603	0.0219677	0.0172294	0.0232738	0.0170251	0.0147101	0.0234044	0.0234367	0.0278448	0.0226419	0.0219458	0.0208418	0.0333943	0.0506399	0.155983
une	0.0778868	0.0628204	0.0461281	0.0381008	0.0343643	0.0229239	0.0171993	0.0106725	0.00777901	0.00790092	0.00892297	0.0114701	0.0151239	0.0150597	0.0110815	0.0121834	0.0120899	0.00988668	0.0156488	0.015569	0.0104175	0.024557	0.0311317	0.0458399	0.0427179	0.0431525	0.0464886	0.0615198	0.0775719	0.163791
grande	0.146251	0.0887211	0.0625827	0.0374305	0.0287736	0.0074294	0.00408729	0.00302997	0.00288162	0.00271058	0.00406237	0.00600199	0.0139404	0.0236918	0.0268666	0.0232068	0.01155	0.0146475	0.0113947	0.00808466	0.0060069	0.00876591	0.0106866	0.0331094	0.0399647	0.0451336	0.0616131	0.0609425	0.0450481	0.161385
bananeraie	0.154509	0.0791973	0.0492383	0.0282047	0.0232536	0.00949076	0.00452376	0.00265593	0.00239426	0.00248671	0.00352768	0.00554566	0.0146863	0.0174568	0.0154654	0.0117073	0.00977047	0.0110658	0.00860726	0.00967005	0.00631489	0.00966066	0.0104728	0.0290542	0.0380613	0.0325491	0.0913805	0.076006	0.111061	0.131983
</S>	0.106854	0.0709945	0.0643448	0.0489349	0.0482399	0.0222857	0.0182486	0.0123983	0.00762602	0.0044563	0.00612412	0.007385	0.0108529	0.0135493	0.0120781	0.0147454	0.00700952	0.00599385	0.00770994	0.00664947	0.00324721	0.00535941	0.00760594	0.0255351	0.039194	0.040762	0.0646603	0.0615198	0.0739743	0.181661
