 	o	k	o	n	d	z	i	y	a	s	i	n	g	a	l	á	m	b	ώ	s	í	m	b	í	d	e	n	í	y	o	n	g	o	á	d	z	á	l	e	n	g	a	n	y	i	</S>
le	0.00478778	0.00591481	0.00581605	0.0114655	0.0122303	0.0100634	0.0133466	0.0116867	0.0151422	0.0331405	0.0268565	0.0181786	0.0737479	0.0893272	0.0930946	0.0408688	0.0617363	0.0346474	0.0241938	0.00774849	0.00675605	0.00607761	0.0074818	0.00993748	0.0089604	0.0113118	0.00928814	0.00879849	0.0145008	0.0125595	0.0114224	0.0178938	0.0143379	0.0219277	0.0232854	0.0163303	0.0131941	0.00863106	0.0153422	0.0178383	0.0248221	0.0227994	0.0254662	0.0269127	0.0263602	0.0237709
chef	0.0489833	0.11924	0.151518	0.109623	0.0731578	0.076267	0.0336925	0.0342008	0.0201396	0.017122	0.00605898	0.0173986	0.0192837	0.0475971	0.0404014	0.0453215	0.0465125	0.0304413	0.0193261	0.00505878	0.0022344	0.00265427	0.00106111	0.00112491	0.000627224	0.00093852	0.00069144	0.000805584	0.00152233	0.000965551	0.000954005	0.000844275	0.000955251	0.00150636	0.00168344	0.00140761	0.00273347	0.00299151	0.0021674	0.00286238	0.00272703	0.00201045	0.00117966	0.00106221	0.000528914	0.000416754
de	0.0308443	0.0219462	0.0187275	0.0204226	0.0180396	0.0323236	0.013069	0.0145252	0.0162148	0.0140721	0.0177857	0.0109769	0.00797921	0.0092798	0.0113424	0.0109241	0.031335	0.0384004	0.0354895	0.0258727	0.0259491	0.0205238	0.016036	0.0270212	0.0224171	0.0204479	0.0260057	0.036616	0.0274622	0.0309281	0.0314386	0.0481899	0.0610945	0.0330859	0.0486999	0.0217114	0.021346	0.0215433	0.00924024	0.0105739	0.0148184	0.0118766	0.00501952	0.00333126	0.00330172	0.00175109
canton	0.00954259	0.0107392	0.0133194	0.0124782	0.0123191	0.00827121	0.0104949	0.00994153	0.0162034	0.0147276	0.0165789	0.0163908	0.0169455	0.0171251	0.0192122	0.0255419	0.024499	0.0223504	0.0373554	0.0338409	0.0477265	0.0548399	0.0516411	0.0444722	0.0470445	0.035361	0.0326169	0.0332218	0.0193201	0.0212828	0.0166594	0.011027	0.0146651	0.0148713	0.0107812	0.00709241	0.0108403	0.0131444	0.0126927	0.0163557	0.0133622	0.0150258	0.0202436	0.0266293	0.0244074	0.0367983
mbochi	0.0228169	0.0185404	0.0227042	0.0194634	0.0294463	0.0231971	0.0247067	0.0257925	0.0235733	0.022717	0.0216053	0.0187017	0.02936	0.0334518	0.0297542	0.0305211	0.0366983	0.0530571	0.0603523	0.0520287	0.0297482	0.021126	0.0175911	0.0103057	0.00778406	0.00770456	0.00862712	0.0114421	0.0106025	0.00917896	0.00793024	0.00807167	0.00720047	0.00894179	0.0110784	0.00584672	0.0150011	0.0170127	0.0176646	0.0229233	0.0289229	0.0302858	0.0282073	0.0222027	0.0159926	0.0201188
nommé	0.0176233	0.0130384	0.0114566	0.0101862	0.00998553	0.0112369	0.0112333	0.0110974	0.0107143	0.00891407	0.0117611	0.00907538	0.00651634	0.00672209	0.0061681	0.00902637	0.00806471	0.0121279	0.0266509	0.0451692	0.0513666	0.0555784	0.061712	0.0522853	0.0504553	0.0515385	0.0448368	0.0494812	0.0363136	0.0300558	0.0258649	0.0149574	0.0226287	0.0258034	0.0144678	0.00884013	0.0140271	0.015943	0.012399	0.0104572	0.00951747	0.00817443	0.00732635	0.0105048	0.0181127	0.0405841
dénis	0.0154678	0.0137933	0.0124467	0.0131936	0.013595	0.0154357	0.0138762	0.0147841	0.0125725	0.0159735	0.0147427	0.0116881	0.00845125	0.00962204	0.00680191	0.00754052	0.00759796	0.00997928	0.0194667	0.0301159	0.0433896	0.0505373	0.0423349	0.0472816	0.0399965	0.0467059	0.0360402	0.0372438	0.0343197	0.0342585	0.0368866	0.0252031	0.0291193	0.0216674	0.0189526	0.0171749	0.0185858	0.0175506	0.0169141	0.0186447	0.0149132	0.0152609	0.014807	0.0146235	0.0173284	0.0231153
yongo	0.0110731	0.011141	0.00888829	0.00938893	0.00883936	0.0118365	0.0146174	0.0169515	0.0158345	0.0153176	0.0173234	0.00750967	0.00464711	0.00417495	0.0031455	0.00614202	0.00639018	0.00784335	0.0180979	0.0271529	0.0353056	0.0375845	0.0385516	0.050647	0.0465788	0.0517245	0.0425714	0.0423638	0.044367	0.040746	0.0455171	0.0293425	0.033756	0.021687	0.0215062	0.0215055	0.0199978	0.0186228	0.0184933	0.0152293	0.0118571	0.0117629	0.00926544	0.0117185	0.0154721	0.0375109
était	0.0193039	0.0146041	0.0129673	0.0125026	0.0124634	0.0132855	0.0130198	0.0126744	0.0095511	0.00907018	0.00999732	0.00568313	0.0035385	0.00281033	0.00282813	0.00310025	0.00413009	0.00459549	0.0132797	0.0121242	0.018037	0.0225692	0.0267128	0.0263833	0.0344948	0.0352452	0.0278971	0.026208	0.0287409	0.0265187	0.0275814	0.0228475	0.0401132	0.0327387	0.0258702	0.0265679	0.0335478	0.0471579	0.0395624	0.0426198	0.0383416	0.0352433	0.0234252	0.0279005	0.0348795	0.0372667
autoritaire	0.0177769	0.0151068	0.012879	0.012658	0.010945	0.0105266	0.00541914	0.0048639	0.00392904	0.00336567	0.00417228	0.00304522	0.00191319	0.00190232	0.00232331	0.0027042	0.00340834	0.0045703	0.00747246	0.00917435	0.0137182	0.0169747	0.0210196	0.0251645	0.0287746	0.0310026	0.0204093	0.020597	0.0312486	0.0375307	0.0496627	0.0424415	0.0629121	0.0338334	0.0350448	0.0352531	0.0401055	0.0529197	0.0415943	0.0308972	0.0337295	0.0428487	0.0270828	0.0254709	0.0295976	0.0320104
</S>	0.0274232	0.018555	0.0142874	0.0135293	0.00944919	0.0105958	0.00787326	0.00799575	0.00632184	0.00668676	0.00773059	0.00422078	0.00258834	0.00289285	0.00312464	0.00321887	0.00447626	0.00651638	0.0151679	0.0216753	0.0258335	0.0297858	0.0324336	0.0290103	0.0381588	0.0383169	0.0297668	0.0326954	0.0328568	0.0321031	0.0253291	0.0246903	0.0296501	0.0266892	0.0219628	0.021855	0.0295871	0.0349915	0.0313556	0.0346736	0.0391395	0.0343139	0.0283285	0.0287971	0.0346477	0.0386985
