 	o	y	ú	r	u	y	e	e	t	ó	n	í	o	l	ó	m	i	w	ó	l	á	a	b	h	é	m	b	á	l	i	b	á	n	d	z	á	</S>
cette	0.0152763	0.0160668	0.0257616	0.0241137	0.0215611	0.0195257	0.0288441	0.048255	0.036829	0.0458841	0.0571774	0.0641006	0.0945363	0.0363533	0.0294763	0.0202237	0.0152581	0.014711	0.00718973	0.00781122	0.00710897	0.00694492	0.00910193	0.00770978	0.0101468	0.0113039	0.00956266	0.00906312	0.0144256	0.0280071	0.0226784	0.039695	0.0381372	0.0438307	0.0421835	0.0378854	0.0332598
femme	0.0362106	0.107739	0.279989	0.17739	0.120145	0.0211028	0.0103588	0.0233007	0.0151391	0.0224048	0.0181335	0.01542	0.015639	0.00351001	0.00458575	0.0165296	0.00737063	0.0101597	0.00300856	0.0022899	0.00424655	0.00186057	0.00358802	0.00165284	0.00238392	0.00444503	0.00814291	0.0151102	0.0137806	0.00676631	0.00690695	0.00254396	0.00549614	0.00448866	0.0053363	0.0019516	0.000873054
qui	0.0538823	0.0249141	0.012284	0.00975347	0.0148492	0.0144473	0.0170893	0.0214071	0.0232271	0.0346925	0.0399878	0.055449	0.0614782	0.0440836	0.0398313	0.0473688	0.0204383	0.0370631	0.0300754	0.0178842	0.0088628	0.0155639	0.0169191	0.0134981	0.0101539	0.0129731	0.0227953	0.0340292	0.069529	0.0649789	0.0363705	0.0155117	0.0189302	0.015555	0.0134856	0.00718332	0.00345429
a	0.00558057	0.00644112	0.0106081	0.0136509	0.0222884	0.0188758	0.0223131	0.0272547	0.0141728	0.0142217	0.0123132	0.0154606	0.0246005	0.0330316	0.0303822	0.0417244	0.0467294	0.0602681	0.0550361	0.0618147	0.0382787	0.0461425	0.0492843	0.0489585	0.0309357	0.027758	0.0254216	0.0305027	0.0331577	0.0325239	0.0117302	0.011792	0.0122282	0.0134644	0.018695	0.0144799	0.0178787
quitté	0.0245645	0.0278867	0.0264351	0.0286663	0.0456667	0.0315906	0.0268948	0.0269355	0.0131953	0.00760351	0.00422942	0.00438253	0.00687693	0.0136632	0.0151382	0.0341043	0.0539991	0.0469649	0.0342288	0.074589	0.0477541	0.0357015	0.0393743	0.0322766	0.029159	0.0264925	0.0208408	0.0221429	0.0203146	0.0109291	0.0138687	0.0119266	0.00893473	0.0134703	0.0318731	0.0299	0.0574259
son	0.0114082	0.0149952	0.0138816	0.014195	0.01638	0.0165241	0.022352	0.0160253	0.0126218	0.0133421	0.00682688	0.00967513	0.00935605	0.00954951	0.00949107	0.0241781	0.0490852	0.0497196	0.0307817	0.083897	0.0660908	0.0585282	0.0664735	0.0670097	0.0582655	0.0448823	0.0291546	0.0250266	0.0197293	0.0114527	0.0125449	0.00888123	0.00838419	0.017992	0.0198362	0.021118	0.030345
mari	0.0550302	0.0337628	0.0287514	0.0465982	0.0589202	0.0506659	0.0335801	0.0212261	0.0168507	0.0184898	0.0147413	0.0205335	0.0195053	0.0218618	0.0260646	0.0281674	0.0204333	0.0455588	0.0138564	0.0269884	0.0332629	0.0252143	0.0295601	0.0270567	0.0332151	0.0235527	0.0194924	0.0137014	0.0045819	0.0041631	0.00968369	0.0102259	0.0157342	0.0197234	0.0315464	0.02986	0.0678396
a	0.042547	0.021716	0.0145663	0.0144959	0.014932	0.0141671	0.0113318	0.014178	0.0173086	0.026497	0.0273343	0.0368135	0.0340549	0.0672255	0.0609442	0.0545641	0.0214553	0.0220449	0.0225359	0.0525733	0.0476582	0.0202993	0.0421391	0.04314	0.0368127	0.0168692	0.00865843	0.00926589	0.00799629	0.0081549	0.0114531	0.0251069	0.0155559	0.0160418	0.0243196	0.0245751	0.050668
un	0.0855224	0.0333169	0.0180056	0.017601	0.0177357	0.0136445	0.020014	0.0303192	0.0231668	0.0215618	0.0188111	0.0253816	0.0255063	0.0671114	0.0465986	0.036273	0.0151192	0.0289517	0.0222289	0.0366705	0.025464	0.0241895	0.0289796	0.0270525	0.0257121	0.0149864	0.00693866	0.0082559	0.00980596	0.00853437	0.0168228	0.0276386	0.0141678	0.0200709	0.0389056	0.040209	0.0587263
grave	0.0756363	0.0499757	0.0280442	0.0192597	0.0143616	0.0106197	0.0103964	0.0187733	0.0200347	0.0258626	0.0187684	0.0191844	0.0236026	0.0318511	0.0345097	0.0207833	0.0181052	0.0167714	0.0120003	0.0942276	0.0387917	0.016487	0.0329749	0.0300151	0.0329943	0.0125913	0.0057417	0.00366219	0.00134112	0.00156616	0.00468002	0.00744855	0.00908497	0.0151152	0.0441393	0.0416258	0.138973
problème	0.0988779	0.048787	0.029223	0.0244283	0.017537	0.0117253	0.0121451	0.014877	0.0120446	0.0119922	0.00967759	0.0112686	0.0187115	0.0332453	0.0314703	0.0205082	0.0155894	0.0145992	0.0152996	0.0381821	0.0352001	0.00988095	0.0292774	0.0217172	0.02382	0.00947509	0.00360442	0.00426549	0.00227351	0.00203457	0.0064776	0.0173827	0.0163299	0.0235505	0.0563578	0.0660558	0.182108
</S>	0.0675785	0.0442936	0.0353059	0.0377749	0.0321936	0.0182692	0.0130008	0.0113374	0.00879762	0.00840096	0.00600581	0.00871012	0.0129015	0.0199437	0.0154325	0.0117219	0.0109117	0.00974091	0.0147278	0.0259374	0.0358455	0.0112628	0.028683	0.0244799	0.0313576	0.0117519	0.00569468	0.00670548	0.00629908	0.00400336	0.00904637	0.0206331	0.0263227	0.0355282	0.0584467	0.081619	0.189335
