 	o	y	ú	r	u	w	á	l	á	a	y	ώ	ώ	b	á	n	a	m	ó	p	á	m	i	y	á	w	a	m	έ	n	ε	</S>
cette	0.0086863	0.0128791	0.0066027	0.00910747	0.00533801	0.0119273	0.00398342	0.00808011	0.0121205	0.0172296	0.0406779	0.0483801	0.116379	0.0643281	0.0495721	0.0435301	0.0231428	0.0121268	0.0111505	0.0144908	0.0258294	0.015404	0.0559198	0.0411466	0.0364454	0.0576452	0.0317138	0.0448195	0.0322541	0.0357154	0.044518	0.0588565
femme	0.0717068	0.25728	0.224105	0.298378	0.0728972	0.00650633	0.0137687	0.0100929	0.0045142	0.00216936	0.00168289	0.00327239	0.00315193	0.0016682	0.00065356	0.000616601	0.000535141	0.00103622	0.0023758	0.00316084	0.00277523	0.00307648	0.00376337	0.00468749	0.00030989	0.000744549	0.000677468	0.0014012	0.00157366	0.000829038	0.000368059	0.00022177
élève	0.027849	0.0193871	0.0197139	0.0320003	0.0329815	0.160766	0.0947599	0.113435	0.094262	0.085439	0.026951	0.0489471	0.0268909	0.0254846	0.0207653	0.0276133	0.0164643	0.0157629	0.0103661	0.00541078	0.00526788	0.00495311	0.00770552	0.00498491	0.00447561	0.00461966	0.00335208	0.00574822	0.0123597	0.0139556	0.0190784	0.00824924
ses	0.0272421	0.0421929	0.0466917	0.0651847	0.0237592	0.028513	0.0172268	0.0103511	0.0110853	0.00974358	0.0180965	0.025812	0.0516365	0.0730029	0.0336163	0.0464611	0.037922	0.0408378	0.036718	0.0390045	0.0345493	0.0219222	0.0311469	0.0378498	0.021033	0.01976	0.0143853	0.0183136	0.0172809	0.0307088	0.0351264	0.0328257
enfants	0.0260287	0.0276794	0.0255266	0.0281162	0.0281642	0.0228695	0.0212351	0.019002	0.0178266	0.0182024	0.0157854	0.0256276	0.029874	0.0361071	0.0380039	0.0402405	0.0337272	0.0315676	0.0275634	0.0372898	0.0467595	0.0381223	0.0426751	0.0384235	0.0238195	0.0399874	0.0320978	0.0394665	0.0413362	0.035245	0.03447	0.0371603
par	0.0182896	0.0177211	0.0169644	0.021162	0.0174607	0.0100726	0.0124587	0.00993379	0.0138074	0.0186527	0.0160368	0.0177024	0.016064	0.0296782	0.0611658	0.0494645	0.0751926	0.101636	0.0936202	0.0958982	0.0408168	0.0535309	0.0262074	0.021525	0.0162181	0.0145165	0.013713	0.0142861	0.0162712	0.014783	0.0188502	0.0363
ses	0.0652285	0.0491607	0.0426397	0.0481063	0.038715	0.0148556	0.0194356	0.0157431	0.0260092	0.0241958	0.030805	0.0276117	0.0266686	0.0476492	0.0527474	0.0414059	0.0472431	0.0405569	0.0263176	0.0333824	0.0241578	0.0256265	0.0146083	0.0158153	0.00532237	0.00478569	0.00586494	0.00661041	0.00843582	0.0241255	0.0519824	0.0941877
propres	0.0242706	0.0203675	0.0179906	0.0234658	0.0195179	0.0199703	0.0168983	0.0148299	0.0169019	0.0169819	0.0401259	0.0478933	0.055388	0.0609349	0.068582	0.0487582	0.037424	0.0285132	0.01412	0.0169208	0.0104242	0.0113933	0.00934496	0.0130967	0.00855777	0.00584641	0.00387621	0.00821139	0.0126936	0.0440031	0.0878458	0.174852
moyens	0.0230326	0.0205473	0.0196093	0.0279149	0.0157783	0.0110803	0.00882118	0.00941916	0.0102081	0.0124127	0.0179477	0.0223962	0.0363006	0.0331267	0.0319047	0.0405291	0.040731	0.0354548	0.0223831	0.031848	0.0255878	0.0215007	0.0151746	0.0370201	0.015844	0.0206638	0.0183025	0.0424764	0.0421424	0.067546	0.0879205	0.134375
</S>	0.0355597	0.0317535	0.023927	0.0267573	0.0141128	0.0178805	0.00950114	0.0116711	0.00941011	0.00959967	0.0146138	0.0213479	0.0188916	0.0249119	0.0244664	0.0358922	0.0504462	0.0401518	0.0268384	0.0622397	0.0297122	0.0225874	0.0403714	0.0447842	0.0207379	0.0218419	0.0227012	0.0224501	0.0275164	0.0434324	0.0743793	0.119513
