 	e	n	d	w	ε	n	d	w	ε	y	é	é	k	y	e	e	m	í	l	a	p	ó	a	e	l	a	a	l	i	a	n	d	é	e	a	y	í	í	s	á	p	o	o	y	á	b	í	s	í	</S>
la	0.0131991	0.0183228	0.0109963	0.0104924	0.00531307	0.00565657	0.00693916	0.0104205	0.0110965	0.0101388	0.0151396	0.0258274	0.0238481	0.0188802	0.0209293	0.0155439	0.0156807	0.011713	0.0120667	0.0193375	0.0167018	0.0110251	0.0147083	0.0112181	0.00994557	0.0149966	0.0127783	0.0176445	0.0138237	0.0151525	0.0175323	0.0177827	0.0161065	0.0186265	0.0234249	0.0263527	0.031105	0.0377472	0.034151	0.0409947	0.046244	0.0337165	0.0218573	0.0196914	0.0201902	0.0260065	0.0375265	0.0313552	0.0425214	0.0375312
tornade	0.0517126	0.0590103	0.105195	0.0899823	0.157202	0.148464	0.0798622	0.0526507	0.0751307	0.0362044	0.00935097	0.00712206	0.0154725	0.0102096	0.00835356	0.00307589	0.00454948	0.00328267	0.00210672	0.00254157	0.00134234	0.00113691	0.00129269	0.00108617	0.0011696	0.00127024	0.00200446	0.00199242	0.00115118	0.0012861	0.00104905	0.00140955	0.00100196	0.00116391	0.00347107	0.00109671	0.00181804	0.00125927	0.00147553	0.00355555	0.00270864	0.00274327	0.00457229	0.00735084	0.00572514	0.00650533	0.00518973	0.00634735	0.00288788	0.00345642
d'	0.019678	0.0142277	0.0133315	0.0102212	0.00708192	0.00918365	0.00615384	0.0077901	0.00581863	0.00673638	0.00529384	0.00354092	0.00749317	0.00924566	0.00468761	0.00660594	0.00671011	0.00606921	0.010048	0.00560872	0.00761841	0.00561478	0.00804874	0.00723923	0.00593105	0.00400292	0.00832476	0.00788623	0.0105809	0.0131311	0.00915871	0.0217721	0.0188962	0.0138575	0.0129728	0.0235317	0.0261825	0.042991	0.0427357	0.0413204	0.0929492	0.103115	0.0976574	0.0665281	0.0449304	0.0383483	0.0200959	0.0177661	0.0129937	0.00829333
hier	0.0158809	0.0236653	0.03417	0.0209843	0.0328969	0.017269	0.0140124	0.00709371	0.00659336	0.00977759	0.00702141	0.00510106	0.0074013	0.0146128	0.0106065	0.0133662	0.0141727	0.0185124	0.0166539	0.0140007	0.0151832	0.0204857	0.0189426	0.0359281	0.0177846	0.0149595	0.0332212	0.0267663	0.0208421	0.01988	0.0149097	0.0269287	0.0203048	0.0179421	0.019582	0.0151619	0.0196951	0.0269368	0.0276518	0.0207598	0.0265929	0.0326797	0.0348218	0.0294423	0.0274345	0.0197914	0.0181412	0.0179491	0.0163571	0.0391315
a	0.0215981	0.013558	0.0105835	0.00729217	0.00582859	0.00481877	0.00378773	0.00406085	0.00275574	0.00312234	0.0031711	0.00306677	0.00698862	0.0123183	0.0156409	0.0205667	0.0258852	0.0337952	0.0348696	0.0329574	0.0327043	0.0360363	0.0239573	0.0495692	0.0292993	0.0304603	0.0481421	0.041464	0.0255212	0.0196198	0.0196123	0.0248048	0.0217482	0.0238523	0.0227445	0.0221725	0.0297819	0.022913	0.0291019	0.0135766	0.028192	0.0317424	0.0167464	0.0106468	0.0104858	0.00601106	0.00737127	0.0127157	0.0139797	0.0283613
emporté	0.014828	0.00668865	0.00603792	0.00556648	0.00562539	0.00428977	0.00609076	0.0063144	0.00616608	0.00851134	0.00685394	0.00538395	0.0161452	0.0155382	0.0172914	0.0172764	0.0178507	0.0138062	0.015731	0.0319328	0.0184232	0.0177341	0.0179544	0.0238313	0.045098	0.0398178	0.0400093	0.0350401	0.0377282	0.0286554	0.0384176	0.0296267	0.0251125	0.0463048	0.0396942	0.0332447	0.0423675	0.0241125	0.023754	0.0142244	0.0287092	0.0259443	0.0166795	0.014256	0.0147129	0.0113759	0.00747597	0.00963417	0.00943089	0.0127014
beaucoup	0.00837456	0.00605365	0.00678738	0.00634803	0.00583465	0.0057805	0.00635985	0.00788212	0.00762162	0.00757802	0.00843677	0.00736023	0.0107116	0.0131163	0.0159675	0.0208581	0.0285369	0.023958	0.0217738	0.0232798	0.0226482	0.0267368	0.0279648	0.0215386	0.0409237	0.0243815	0.0202824	0.0198361	0.0364147	0.0355699	0.0311011	0.034616	0.0281298	0.040539	0.0231987	0.0323495	0.0287952	0.0336242	0.0288546	0.0197	0.028613	0.0290891	0.0222051	0.0157158	0.0159843	0.0134113	0.0131362	0.0122937	0.0142176	0.0155095
de	0.0230447	0.023117	0.0221482	0.0208732	0.0228572	0.0247129	0.0178703	0.0138364	0.0139362	0.0131795	0.0122845	0.0110972	0.0120129	0.0129412	0.0164796	0.0130852	0.0156488	0.0132225	0.0166315	0.0149379	0.0166187	0.0159382	0.0165512	0.0178941	0.0213447	0.0218593	0.0208262	0.0252094	0.0244163	0.0272996	0.0236354	0.0239004	0.0222648	0.0218218	0.0175687	0.0122437	0.0121743	0.014925	0.0138166	0.0204426	0.0083686	0.0100696	0.0151252	0.0171988	0.0265069	0.0282438	0.0347387	0.0407782	0.0442974	0.050005
toits	0.0120288	0.00853648	0.00900442	0.00872788	0.00604052	0.00556843	0.00401634	0.00390731	0.00283674	0.00346601	0.00454492	0.00471466	0.00752498	0.00885679	0.0156121	0.0153648	0.0178067	0.0154855	0.0123509	0.0148637	0.0149268	0.0235773	0.0238351	0.0262648	0.031284	0.0315649	0.0303032	0.0314617	0.0426312	0.0391592	0.0443353	0.0444587	0.047131	0.0442713	0.0314979	0.0355181	0.0272173	0.0290696	0.0257174	0.021199	0.00869115	0.0113399	0.0169014	0.0108879	0.0192914	0.0172769	0.0200525	0.0193346	0.0216529	0.0278895
dans	0.0227597	0.0187294	0.0174494	0.0151354	0.0113247	0.00907703	0.00739867	0.00586293	0.00487385	0.00598857	0.00616145	0.0050361	0.00535364	0.00715788	0.00793595	0.00918891	0.0110265	0.011134	0.00933162	0.0101234	0.012632	0.0227478	0.0181602	0.026586	0.0318156	0.0265094	0.0273032	0.030096	0.0422107	0.0363442	0.038582	0.0395177	0.0384783	0.0450833	0.0210468	0.0252	0.0188032	0.0282113	0.0216278	0.0155762	0.0122288	0.0192907	0.0179767	0.0161383	0.0217603	0.0201506	0.0200134	0.0245429	0.0282001	0.0521175
