 	i	b	a	a	í	d	z	w	e	o	d	í	n	g	á	k	a	á	o	y	ú	r	u	a	k	a	l	í	í	n	y	ω	s	í	</S>
l'	0.0166049	0.0178033	0.00687959	0.00741987	0.00611329	0.00999255	0.0154524	0.0373416	0.0476972	0.0481377	0.0381909	0.0402147	0.0309373	0.0451961	0.0297323	0.0244406	0.025112	0.0156095	0.0185876	0.0158066	0.0207347	0.025855	0.0308218	0.0384844	0.0325337	0.0395893	0.0239705	0.0372736	0.0409485	0.0360463	0.0381754	0.0388698	0.035487	0.0394252	0.0245148
homme	0.108552	0.225201	0.211047	0.209647	0.105853	0.0249106	0.0192711	0.0140119	0.00873332	0.00253437	0.00116945	0.0011412	0.00076662	0.000467964	0.000818399	0.000807882	0.00145107	0.00265339	0.00305729	0.00245843	0.00318595	0.00500494	0.00557703	0.00182866	0.00227143	0.0020149	0.00190866	0.00224912	0.00755248	0.00957739	0.00723564	0.00474693	0.000974663	0.000966537	0.000353087
partit	0.0363417	0.0294225	0.0305352	0.0240539	0.0279386	0.0533504	0.0659646	0.0325886	0.0251072	0.0229785	0.0353931	0.0152712	0.0315719	0.0270556	0.0326808	0.0408956	0.0499945	0.0381491	0.0169625	0.0240191	0.0215515	0.0226842	0.0359587	0.0163298	0.023427	0.0202474	0.0244244	0.0331703	0.0267749	0.0406804	0.0258138	0.021464	0.0111769	0.0101091	0.00591296
et	0.00864543	0.0151527	0.0161184	0.00684176	0.0129799	0.0132887	0.0200321	0.0136041	0.0128282	0.0152159	0.0195271	0.0222076	0.0320844	0.0398955	0.0414831	0.0422943	0.0424057	0.0659974	0.0622705	0.0566181	0.0565285	0.0440428	0.0432946	0.0279689	0.0299097	0.0208929	0.032617	0.0215929	0.0187871	0.0180343	0.0284733	0.0310724	0.0227067	0.022489	0.0220991
aussitôt	0.0168027	0.0199686	0.0241466	0.0232239	0.021247	0.0258952	0.0282756	0.0231515	0.0230765	0.0189745	0.0256535	0.02524	0.0407993	0.0456315	0.0407774	0.0316957	0.0477606	0.0312863	0.0321447	0.0372422	0.0313763	0.0521463	0.0339648	0.0155914	0.0251093	0.0164791	0.0226525	0.01422	0.0120269	0.0125814	0.0125095	0.0194789	0.0237495	0.0402807	0.0848401
la	0.0140372	0.0133748	0.0184355	0.0145306	0.0130211	0.015878	0.0188257	0.0145352	0.0210215	0.0116864	0.0155883	0.0268024	0.0263913	0.0227772	0.0257413	0.0226001	0.0267327	0.0345152	0.0404551	0.0441997	0.0368398	0.0611733	0.0554901	0.0338921	0.0317685	0.0240269	0.0395547	0.0187787	0.0180135	0.0188232	0.0211012	0.0175242	0.0279577	0.0470847	0.106822
femme	0.0216297	0.025475	0.0342343	0.0390348	0.0474099	0.0555753	0.0281097	0.0207301	0.0423271	0.0249946	0.0161754	0.0247046	0.0203589	0.0156985	0.0260653	0.0166932	0.0226134	0.0266836	0.0236746	0.0166336	0.0139956	0.0305245	0.0305925	0.0155098	0.00531438	0.0126513	0.0131522	0.0141013	0.0251341	0.0394755	0.0306251	0.0430392	0.0386099	0.0513382	0.0871146
se	0.0153935	0.0151059	0.0141463	0.012781	0.0178265	0.0182908	0.0203076	0.0193367	0.0171779	0.0229158	0.0198199	0.0229285	0.0251636	0.018486	0.0152979	0.010639	0.0100492	0.0176063	0.017707	0.0159738	0.0197834	0.0276502	0.0269287	0.0289732	0.0152138	0.0282661	0.0791835	0.0558787	0.0662333	0.0429715	0.0603588	0.0554724	0.0453759	0.0398044	0.060953
changea	0.055241	0.0510224	0.0417193	0.0287316	0.020154	0.016628	0.0169363	0.0148944	0.012517	0.0149132	0.00761891	0.00900855	0.00807082	0.00737973	0.0150735	0.018279	0.0192315	0.042684	0.0441544	0.039866	0.0398701	0.0335438	0.0330224	0.0234988	0.00867651	0.0210926	0.0138094	0.0106508	0.0167432	0.0265999	0.0183735	0.0566662	0.0496202	0.0779818	0.0857272
en	0.0340352	0.016112	0.0144708	0.00689763	0.00747663	0.00671627	0.00591158	0.00589983	0.00578494	0.00655895	0.00738857	0.00888307	0.0136734	0.013986	0.0214669	0.0307926	0.0266447	0.0472728	0.0561376	0.0651106	0.0811439	0.0636888	0.066965	0.0736269	0.0422672	0.0250549	0.0284111	0.0240995	0.0163357	0.0153279	0.0188959	0.0165699	0.0276844	0.039275	0.0594339
oiseau	0.0216721	0.0196577	0.0214062	0.0167405	0.0112897	0.00955476	0.0148011	0.0146159	0.0140485	0.0174328	0.0150509	0.0186481	0.0137122	0.0110355	0.0117383	0.0179408	0.0145232	0.0215469	0.0284885	0.0247905	0.0233426	0.0233912	0.0226337	0.02571	0.0150861	0.0412667	0.0367272	0.0287124	0.0437419	0.0616298	0.072932	0.0528497	0.0664381	0.0694893	0.0773554
</S>	0.0273538	0.0167372	0.0186426	0.0108774	0.00713871	0.00702564	0.0136287	0.0148345	0.0167577	0.0225263	0.0233881	0.0296596	0.0274567	0.0220522	0.0224346	0.0337727	0.0259775	0.0623601	0.070225	0.0559215	0.0629609	0.0467178	0.0523278	0.0353707	0.0150888	0.0215073	0.0227742	0.0177972	0.0125947	0.0157657	0.0192388	0.0157063	0.0341613	0.0437371	0.0554808
