 	e	k	ó	m	b	a	á	b	o	m	i	m	b	v	u	l	u	m	í	k	í	é	</S>
ekomba	0.0164499	0.0207101	0.0161709	0.0116929	0.0248976	0.0408443	0.104947	0.0500311	0.0894129	0.109592	0.0806018	0.0630424	0.0480434	0.032191	0.0222978	0.0344341	0.0344378	0.0216854	0.0237805	0.0298425	0.0396114	0.0469033	0.0383795
a	0.0166543	0.0244848	0.0336457	0.0255411	0.0546523	0.0893807	0.0948868	0.0876633	0.0725045	0.10834	0.123497	0.0518465	0.0415334	0.0431583	0.0290243	0.0173131	0.0131137	0.0153531	0.0169361	0.0155502	0.012771	0.00671701	0.0054325
pris	0.0319494	0.0201193	0.0124217	0.0125135	0.0488744	0.088891	0.0911073	0.106476	0.0606245	0.121594	0.0835546	0.0780452	0.0653729	0.069625	0.0293974	0.0171819	0.0131255	0.0100867	0.0126616	0.0124886	0.00587657	0.00227962	0.00573315
une	0.0278142	0.0247546	0.046761	0.067177	0.0399032	0.0324611	0.0282214	0.0376373	0.0410804	0.0601427	0.0584104	0.056445	0.0770324	0.0732631	0.0576581	0.0556121	0.0459229	0.0241978	0.0224512	0.0257388	0.0288207	0.0300955	0.038399
antilope	0.0336946	0.0173975	0.0113727	0.00869954	0.0157242	0.0329706	0.0446741	0.0569211	0.0534129	0.0592274	0.0332939	0.0391444	0.051602	0.0428977	0.0812914	0.102847	0.108522	0.0757304	0.0455716	0.0300783	0.018083	0.0131322	0.0237119
dans	0.0285802	0.0271667	0.022982	0.0137114	0.0132387	0.0131196	0.0171249	0.02012	0.0112371	0.0149392	0.0143555	0.0319209	0.044537	0.0609981	0.086295	0.108806	0.104158	0.0821863	0.0652564	0.0547335	0.0501154	0.043424	0.0709943
le	0.0405636	0.031349	0.0293042	0.0306903	0.0272975	0.0296682	0.0343529	0.0381207	0.0274301	0.0273018	0.023706	0.0265808	0.0334843	0.0329372	0.0306216	0.0475517	0.0656707	0.0758426	0.0711886	0.0722855	0.069183	0.0610724	0.0737972
piège	0.0783346	0.0919469	0.0821077	0.046389	0.036926	0.0173911	0.0150931	0.0198828	0.0173177	0.0141166	0.0177011	0.0271143	0.0235359	0.0132713	0.0201221	0.0345043	0.0364544	0.0338302	0.0421606	0.0589683	0.0671692	0.0697855	0.135877
à	0.101153	0.0555213	0.0311397	0.0227994	0.0134887	0.00752004	0.00504887	0.00492358	0.00229393	0.00313489	0.00336581	0.00710557	0.0103005	0.0169138	0.0178883	0.0551895	0.0785346	0.075656	0.0997745	0.0702887	0.0615288	0.0890649	0.167366
noeud	0.124396	0.0556093	0.0274324	0.0192732	0.011535	0.00624956	0.00478966	0.00513032	0.00421092	0.00347577	0.00303606	0.00327243	0.00509282	0.00617674	0.00749944	0.0141253	0.0239849	0.0358522	0.0767421	0.0867946	0.0966671	0.156033	0.222621
coulant	0.0850728	0.0590049	0.054594	0.0461471	0.0315173	0.0204301	0.0113106	0.0115879	0.00806161	0.00649956	0.00743124	0.00827126	0.0126457	0.024512	0.0302166	0.040835	0.040861	0.0502244	0.0666266	0.0713458	0.0635363	0.0875121	0.161756
</S>	0.121416	0.0434985	0.0284949	0.0299642	0.0302837	0.0212463	0.0132331	0.0159579	0.0126626	0.0140372	0.0125126	0.0128861	0.0187037	0.0329192	0.0453488	0.0464357	0.0402725	0.0481504	0.0600503	0.0627855	0.0595678	0.065783	0.16379
