 	é	d	í	b	v	e	r	é	b	á	ω	b	v	έ	m	ó	i	f	ú	n	d	ú	b	v	ú	a	</S>
c'	0.111736	0.0807834	0.113264	0.0885866	0.0426734	0.0246892	0.0287037	0.0319745	0.0491972	0.0454737	0.0295969	0.0467237	0.0211451	0.0348855	0.0225097	0.0228941	0.0259243	0.020054	0.016369	0.0154961	0.0139049	0.0147998	0.0142542	0.0197485	0.0245636	0.0239727	0.0160762
est	0.0840995	0.0388615	0.0208896	0.0219305	0.0194421	0.0318558	0.0337582	0.0377918	0.0178681	0.0267933	0.0448588	0.0370749	0.0440027	0.0680058	0.0940176	0.113625	0.0458719	0.0817346	0.0391295	0.0268118	0.0193931	0.0134598	0.0108857	0.00863899	0.00981107	0.00488735	0.0045011
un	0.170837	0.207782	0.0761116	0.0608868	0.0435266	0.0229823	0.0256826	0.0230417	0.0234359	0.0112696	0.0124356	0.0131731	0.0091764	0.0127881	0.0115883	0.0112784	0.0137698	0.0227431	0.019839	0.0204141	0.0306343	0.0293743	0.0199612	0.0202561	0.0172132	0.0198518	0.0499468
bon	0.0231405	0.0405974	0.0321258	0.0382264	0.0230886	0.0193958	0.0294862	0.030016	0.0229416	0.0114949	0.0106405	0.0144942	0.00978803	0.0334507	0.0750395	0.0533764	0.114579	0.12031	0.096784	0.0582135	0.0287585	0.0353555	0.0143972	0.0153811	0.0100208	0.0145121	0.0243864
remède	0.0420352	0.0289217	0.0304966	0.0270659	0.0322932	0.0361654	0.0490062	0.049282	0.0503109	0.0307428	0.0176173	0.0135611	0.017451	0.0198725	0.0329234	0.0559241	0.0540508	0.0399894	0.0275609	0.026624	0.0212133	0.0313545	0.0519309	0.0289641	0.0246014	0.0420935	0.117948
pour	0.0190414	0.0152555	0.0160439	0.0138351	0.0216718	0.0247233	0.0408384	0.051679	0.0673575	0.069936	0.0432693	0.0250212	0.0245893	0.018897	0.0219446	0.0261643	0.0407182	0.0382886	0.0322497	0.0380211	0.0316649	0.0500822	0.0570272	0.0521268	0.050939	0.0458725	0.0627422
les	0.103128	0.0387314	0.0397121	0.0412821	0.0488328	0.0522385	0.0679897	0.0532278	0.0478025	0.0300806	0.0175332	0.0111631	0.00945974	0.0181036	0.0266451	0.0322826	0.0452504	0.029714	0.0206533	0.0223464	0.016986	0.0286526	0.0271333	0.035705	0.03094	0.0322759	0.0721301
maux	0.0722808	0.0514028	0.0586301	0.0519581	0.0292649	0.0208023	0.0187572	0.0197453	0.00963408	0.00805487	0.007295	0.00995897	0.0152412	0.0581039	0.0803887	0.0655262	0.0593243	0.0745379	0.0371222	0.025372	0.0208072	0.0201421	0.0239405	0.0255255	0.0335954	0.0412675	0.0613209
de	0.196638	0.128164	0.0575082	0.0417621	0.0206365	0.0176233	0.0162956	0.0115782	0.00795345	0.00619368	0.00744565	0.00718243	0.0109387	0.0185359	0.0386917	0.0400626	0.0255485	0.0522022	0.0274868	0.0220885	0.0199674	0.0175719	0.0157006	0.0268104	0.0506378	0.0421315	0.0726438
ventre	0.114296	0.0554431	0.0269694	0.0214128	0.0158208	0.0183372	0.0223282	0.0190954	0.0171247	0.0135627	0.0108898	0.00911339	0.00943791	0.0152311	0.0208942	0.0217965	0.0225862	0.0378078	0.0284374	0.0265394	0.0250415	0.032375	0.0309604	0.051559	0.0626773	0.103243	0.167019
</S>	0.152655	0.0647434	0.025182	0.0215315	0.0151871	0.0167977	0.0190139	0.014311	0.0131469	0.00996349	0.00823048	0.00613839	0.00844971	0.0122681	0.0284229	0.0330129	0.03676	0.0536173	0.0358911	0.0319802	0.0279248	0.0310102	0.0230109	0.0552455	0.0555821	0.0750539	0.124869
