 	n	g	ó	o	á	m	i	b	á	r	á	k	y	έ	r	ε	l	a	m	w	á	n	a	y	a	w	a	y	o	y	ú	r	u	y	e	é	m	i	p	f	u	u	g	h	á	m	ó	k	o	l	á	</S>
la	0.0464211	0.0345878	0.00950642	0.0103909	0.0092576	0.00951243	0.0122431	0.00632353	0.0133702	0.00992748	0.0138105	0.0274843	0.0194692	0.0243142	0.0335311	0.0732183	0.0555549	0.0285437	0.141675	0.0291392	0.0155583	0.0272872	0.0289573	0.0157324	0.00866718	0.00549208	0.00424866	0.00362083	0.0037792	0.00355585	0.00376146	0.00366312	0.00622663	0.00518056	0.00630333	0.00763643	0.0066925	0.00676281	0.0119082	0.0142788	0.0100111	0.0156436	0.0162551	0.0180549	0.0108761	0.0197189	0.0182477	0.0144242	0.0137183	0.020243	0.0197554	0.0254575
mère	0.307195	0.238283	0.131905	0.0673691	0.0308755	0.0330604	0.0472701	0.0240809	0.038666	0.00967038	0.0136677	0.0132054	0.0061446	0.00689651	0.00323922	0.00223495	0.00128412	0.00234526	0.000510353	0.001466	0.000886145	0.000433823	0.000322875	0.000149824	0.000322097	0.000174037	5.88428e-05	5.80943e-05	8.36737e-05	9.55227e-05	8.34173e-05	7.24121e-05	0.000128502	5.06944e-05	0.000349519	0.000173343	0.00020956	0.000514112	0.000446479	0.000713535	0.000695531	0.00194443	0.00133862	0.00422018	0.00140196	0.00163349	0.00119898	0.00111912	0.0011644	0.000296985	0.000208513	8.14288e-05
est	0.0156551	0.0229656	0.0238394	0.0220194	0.033634	0.0138156	0.0205831	0.046131	0.0555216	0.0401395	0.0294368	0.0297502	0.0217296	0.0197301	0.0194152	0.0159344	0.0106381	0.0150992	0.0128972	0.00669763	0.0113364	0.0113787	0.0138169	0.010253	0.0089636	0.00960875	0.00674256	0.00868945	0.00995061	0.00968798	0.0168117	0.0125317	0.0101897	0.0123528	0.00876494	0.0109195	0.00936855	0.00700584	0.0101644	0.01508	0.0109572	0.0247193	0.0481108	0.0404433	0.0270209	0.0387422	0.0268007	0.0278451	0.0228569	0.0160582	0.0170872	0.0101084
en	0.0122643	0.0131806	0.0132949	0.0104385	0.0201567	0.0112806	0.0154999	0.0348433	0.0300849	0.034983	0.0326243	0.0325035	0.0303922	0.0255326	0.0238418	0.0172743	0.0149897	0.0197098	0.0118595	0.0199203	0.0297764	0.0211808	0.0215682	0.0155674	0.0240299	0.0113276	0.00657232	0.00894496	0.00568496	0.0143525	0.00473321	0.00828472	0.00515996	0.00610304	0.00500264	0.00636525	0.00698023	0.0125545	0.0145474	0.0120196	0.018871	0.0339472	0.0388885	0.035267	0.028619	0.0360946	0.0181545	0.0181651	0.0242899	0.0252347	0.0265912	0.030447
colère	0.0573115	0.0579933	0.0497846	0.0378153	0.0286273	0.0288624	0.030847	0.0323373	0.0367293	0.0404586	0.0714426	0.0439583	0.0540879	0.0360286	0.0353773	0.0224788	0.0172656	0.0317395	0.0172772	0.0193818	0.016573	0.00566356	0.00861816	0.0101237	0.00594776	0.00517675	0.00691389	0.00709795	0.0036525	0.0053563	0.00497145	0.0025221	0.00665746	0.00410637	0.0139602	0.00820435	0.00554372	0.0117046	0.0105054	0.00856854	0.00890671	0.00778537	0.006417	0.00992084	0.00743576	0.0123189	0.00967685	0.00873205	0.00967947	0.00540834	0.00515468	0.00689203
contre	0.00810563	0.0106792	0.0106959	0.0116598	0.0109371	0.0117551	0.0128967	0.0144386	0.0150485	0.0171666	0.0179959	0.0174412	0.0174826	0.0175693	0.0157207	0.0168028	0.0174566	0.024302	0.0189465	0.0275749	0.0239136	0.0178345	0.024032	0.0207466	0.0181476	0.0166637	0.0202208	0.0139924	0.0128158	0.0160024	0.0154294	0.010984	0.0187308	0.0155978	0.0151008	0.0238803	0.00988303	0.0372233	0.0350019	0.0200665	0.0301188	0.0131943	0.0102156	0.0175188	0.0197421	0.0437046	0.0153523	0.0348649	0.0392662	0.0265636	0.0201349	0.0283811
sa	0.00876913	0.0107727	0.0140783	0.0111691	0.0167767	0.0117928	0.0161989	0.0141308	0.0152598	0.0119782	0.0106309	0.00999615	0.00861697	0.0061044	0.00609491	0.00661687	0.00915226	0.0160394	0.0170383	0.0185685	0.0226165	0.0175842	0.0210335	0.0186507	0.0140784	0.0209632	0.0205186	0.0171372	0.0228823	0.0222494	0.0221306	0.0197004	0.0136931	0.0138874	0.0224632	0.028345	0.0115155	0.0303025	0.040854	0.0389349	0.0329402	0.0164435	0.0133803	0.0214494	0.0217874	0.0379058	0.0256315	0.0357803	0.0351635	0.0247135	0.0214797	0.033999
fille	0.0134503	0.0174232	0.0181599	0.0148	0.0109611	0.0141531	0.0146308	0.0130381	0.0130757	0.0144255	0.0159659	0.0167912	0.0150969	0.0146662	0.0105683	0.0127579	0.0130661	0.030969	0.0164238	0.0243967	0.0183956	0.0286226	0.0323808	0.0354452	0.0372883	0.038328	0.0271458	0.0300598	0.0250358	0.0305706	0.0171388	0.0171218	0.0115147	0.0161241	0.0143818	0.0133315	0.007118	0.0117301	0.00603648	0.00623122	0.00800926	0.00917837	0.00507647	0.0105017	0.00942163	0.0330301	0.00937936	0.0209557	0.033884	0.02008	0.0297783	0.0718847
qui	0.00837543	0.00798814	0.0110011	0.0113438	0.00985094	0.00979937	0.00846172	0.00922144	0.00973695	0.00612235	0.00471291	0.00371805	0.00540524	0.00530575	0.0045055	0.00455734	0.00464967	0.00952855	0.00767525	0.0077368	0.0144119	0.0107623	0.0173115	0.0172503	0.01308	0.0201021	0.0174601	0.0222022	0.021702	0.0337206	0.0249843	0.0288838	0.0243317	0.0191696	0.0164433	0.0156108	0.0133341	0.0148793	0.017129	0.0312135	0.0214511	0.0317385	0.0355732	0.0369073	0.0333439	0.0515712	0.0356473	0.04914	0.0384598	0.0299822	0.0360335	0.0564732
s'	0.0114033	0.00999857	0.00840691	0.00798902	0.0052665	0.0053412	0.00485143	0.00748543	0.00849032	0.0066759	0.00635168	0.00652024	0.00605874	0.00670914	0.0062535	0.00568353	0.00496695	0.00868293	0.00603253	0.00527585	0.0133554	0.00836021	0.0164788	0.0208278	0.0130141	0.0265335	0.0237848	0.0286634	0.0278972	0.0404414	0.0192958	0.0296108	0.0234192	0.0171024	0.0152076	0.0148591	0.0146816	0.0144439	0.0198624	0.022379	0.0146475	0.0149995	0.0145241	0.0262593	0.0270585	0.0370984	0.0533889	0.0480494	0.0584909	0.0605214	0.0484281	0.0478723
