 	m	ú	b	h	u	m	ú	ó	d	i	l	i	b	h	i	í	m	ó	k	ω	r	ω	m	b	é	á	l	í	l	ó	b	h	á	l	í	í	y	ú	r	ú	m	ú	a	s	á	b	a	l	a	b	á	l	a	</S>
ce	0.0142752	0.0207234	0.0285521	0.0321107	0.0266374	0.0254452	0.0235386	0.0230023	0.0401753	0.0588841	0.0611385	0.100098	0.0746818	0.0757632	0.0266358	0.00895867	0.0090152	0.00663471	0.0103017	0.00662008	0.00651065	0.00646061	0.00725277	0.00637782	0.00896654	0.00684486	0.00638356	0.00692296	0.00633248	0.00725008	0.00713583	0.0089908	0.00813146	0.00677468	0.00628509	0.00732797	0.00663786	0.00667141	0.00759512	0.00843682	0.0102406	0.00829498	0.00779023	0.00967919	0.00508983	0.0158436	0.0103786	0.016809	0.0157566	0.0193578	0.0141778	0.017288	0.0157389	0.0170734
voleur	0.0395878	0.038277	0.0242005	0.0249723	0.0255898	0.017032	0.0141969	0.0122035	0.01568	0.013964	0.015039	0.0143938	0.0193819	0.0168435	0.0120432	0.00774703	0.00552939	0.00574405	0.00551886	0.00332286	0.00322897	0.0030715	0.00299742	0.00222246	0.00201314	0.00145914	0.00144533	0.00117714	0.00222102	0.00182508	0.00218108	0.00274593	0.00138267	0.00291481	0.00257647	0.00409458	0.00386151	0.0053579	0.014814	0.0757087	0.0639672	0.0516489	0.0558582	0.0539194	0.0298585	0.148641	0.0448339	0.024879	0.0261779	0.00911861	0.00975601	0.00591937	0.00305814	0.00379719
a	0.0655776	0.0438046	0.0463563	0.0371446	0.0481627	0.0556633	0.0364757	0.0307358	0.0596813	0.0459428	0.0349504	0.0598704	0.0200914	0.0259919	0.0171779	0.00479815	0.00314628	0.00687832	0.00602166	0.00578634	0.00465531	0.00496443	0.00586703	0.0055494	0.0063739	0.00587318	0.00641809	0.00373229	0.00387566	0.00693516	0.00420278	0.00428331	0.00471379	0.0078467	0.00540952	0.0081316	0.00677369	0.00940589	0.0132597	0.0150474	0.0200884	0.0182148	0.0149997	0.0163692	0.00857623	0.0403421	0.0319021	0.0191234	0.0142707	0.00828621	0.00553901	0.00637519	0.00407955	0.00425712
beaucoup	0.0243361	0.0271559	0.0461657	0.0662948	0.0424892	0.0314447	0.0317038	0.0442543	0.078138	0.0632033	0.0810945	0.0525225	0.0475024	0.0222369	0.00735959	0.00674275	0.00823362	0.00862445	0.0131085	0.012224	0.00955885	0.00890832	0.0102298	0.00797184	0.00763313	0.00835569	0.00654873	0.00468902	0.00725766	0.00623968	0.00661253	0.00657225	0.00553734	0.00479423	0.00366801	0.00364984	0.0054297	0.00508112	0.00321227	0.00359248	0.00324867	0.0052458	0.0100706	0.008905	0.0119401	0.0112942	0.00463441	0.00774955	0.00852185	0.00925595	0.0148131	0.0188484	0.0155338	0.0295611
de	0.0338825	0.0194865	0.017296	0.0232111	0.0322619	0.06394	0.0608586	0.0417278	0.0588764	0.0449632	0.0580105	0.052125	0.0207732	0.0139429	0.0121676	0.015857	0.0137875	0.0128072	0.00985013	0.00760199	0.00763597	0.00587116	0.00818366	0.0048069	0.00611811	0.00822556	0.00639007	0.00412912	0.00453781	0.00488834	0.00584398	0.00598796	0.00678301	0.00728068	0.00822657	0.0159224	0.0122098	0.0172093	0.00952373	0.00771678	0.00869901	0.0088147	0.0111464	0.0145746	0.0103531	0.0235458	0.0144231	0.0122401	0.0128286	0.0133408	0.0190669	0.0199427	0.0155079	0.0445985
cicatrices	0.0139092	0.0102501	0.0114604	0.0122121	0.0156241	0.022363	0.0231973	0.0251463	0.0250083	0.0295867	0.0371598	0.0337061	0.0207662	0.0149365	0.0153645	0.015375	0.0184449	0.0205461	0.0210478	0.0214289	0.0181304	0.0190569	0.0251718	0.0138018	0.0175007	0.0235199	0.018178	0.01114	0.0138573	0.0139986	0.0165094	0.015659	0.0189785	0.0184594	0.0195907	0.0267291	0.0281901	0.0377068	0.0173236	0.0168846	0.0190133	0.0146534	0.0168061	0.0200837	0.0112977	0.0189915	0.0136534	0.00853621	0.00845461	0.00790484	0.0105146	0.0120701	0.0103974	0.0297031
au	0.00952775	0.00630523	0.00814004	0.00938458	0.0101127	0.00897806	0.0137784	0.0180797	0.0161887	0.0210148	0.019703	0.0202752	0.0122951	0.0108942	0.0121276	0.00940017	0.0148419	0.0193899	0.0219719	0.02854	0.0215123	0.0278431	0.034439	0.0275283	0.0356509	0.0471975	0.0358047	0.0285073	0.029825	0.0288194	0.0367339	0.0297895	0.0248992	0.0239475	0.0159407	0.0172638	0.0188787	0.0232466	0.0149	0.0158914	0.0172689	0.0163809	0.0130899	0.0146448	0.00792457	0.0145166	0.00900523	0.00820794	0.00724619	0.00762381	0.00952934	0.0102763	0.0107513	0.0239665
dos	0.0187175	0.013578	0.00965509	0.00541145	0.00452174	0.00345018	0.00293172	0.00296179	0.00341176	0.00439776	0.00466925	0.0114277	0.0102268	0.0147789	0.0184744	0.0200452	0.0248243	0.0233644	0.0276499	0.028753	0.0248796	0.0301432	0.0349123	0.0282589	0.0315091	0.03066	0.0225221	0.0174903	0.0303568	0.01771	0.0326411	0.0286298	0.0326614	0.0241763	0.0278582	0.0221407	0.028073	0.0191178	0.0113864	0.0153816	0.00748657	0.00731763	0.00624634	0.00516884	0.00387203	0.00775681	0.00397937	0.0109973	0.00933999	0.0218566	0.0184753	0.037846	0.0337457	0.0621518
à	0.0197953	0.010512	0.0112193	0.0104426	0.00884504	0.00767328	0.0105231	0.00818225	0.0100638	0.0111377	0.0171696	0.0239247	0.0102914	0.00668218	0.00715138	0.00703817	0.0102984	0.0150566	0.0233239	0.0307166	0.0351321	0.0390599	0.0409865	0.0467186	0.0394168	0.0595167	0.0459631	0.0431934	0.0564549	0.0371691	0.040924	0.0289293	0.0302095	0.0202489	0.0127798	0.0112607	0.0200202	0.0165836	0.00963685	0.0118632	0.0110215	0.0118854	0.0034939	0.0083196	0.00221193	0.00290667	0.00178598	0.00369054	0.00385458	0.00474031	0.00562902	0.00786648	0.00637657	0.020103
cause	0.0424256	0.0208547	0.0203374	0.0182764	0.0109939	0.0073586	0.00889013	0.00852498	0.0117236	0.0134373	0.0230714	0.0345911	0.0161227	0.0103296	0.0106562	0.00788911	0.0116604	0.0132012	0.0197622	0.0204336	0.0205204	0.0261741	0.0237647	0.0212935	0.0157172	0.0257427	0.021439	0.0164092	0.0317903	0.0155311	0.0187701	0.0181168	0.0230674	0.0142501	0.0157702	0.0178301	0.0338923	0.016465	0.0131102	0.0152769	0.00820387	0.0048186	0.00312712	0.00443705	0.00174762	0.00760123	0.00493877	0.0211335	0.0215642	0.0274296	0.0331857	0.0378675	0.0320948	0.0563792
