 	n	g	á	í	t	é	i	k	y	έ	r	ω	m	í	t	ó	r	a	l	á	b	ω	r	ω	ω	s	á	n	d	é	e	y	é	é	d	z	é	o	k	ω	n	í	</S>
j'	0.0614679	0.215539	0.232211	0.201245	0.0826906	0.0449903	0.0223701	0.00369974	0.0016037	0.00451851	0.00185414	0.00329636	0.00579498	0.00563382	0.00779268	0.00806037	0.00727984	0.00991367	0.00759511	0.00579656	0.00442758	0.00323654	0.0031415	0.00319661	0.00328552	0.00309395	0.00336666	0.0030121	0.00321453	0.0030127	0.00244699	0.00275068	0.00256371	0.00282953	0.0020261	0.00230945	0.00264205	0.00205519	0.00230982	0.00249498	0.00276259	0.00306836	0.00340019
ai	0.0737523	0.0126104	0.0270762	0.049819	0.0311264	0.0230522	0.020143	0.0326977	0.0366399	0.0624631	0.0539467	0.056838	0.0601512	0.0447693	0.0406962	0.0502838	0.0407625	0.0356644	0.0224693	0.0254908	0.0160653	0.00831046	0.0102772	0.0149358	0.0161096	0.0129573	0.00942894	0.0135499	0.01514	0.0108479	0.00789926	0.0077954	0.00522879	0.00485142	0.0046022	0.00448155	0.00230443	0.00540555	0.00596679	0.00415721	0.00422913	0.00410087	0.0109029
souffert	0.0138721	0.0262926	0.0119343	0.0248095	0.0286041	0.0119112	0.0131212	0.0176777	0.0195291	0.0133298	0.0344666	0.0135946	0.0111756	0.0127543	0.0130481	0.0202502	0.0216464	0.0254277	0.0228851	0.0169646	0.0378839	0.036807	0.0437123	0.0428005	0.0317998	0.0340083	0.0440766	0.0425465	0.0403559	0.0451134	0.014924	0.0155746	0.0113539	0.0193601	0.0148478	0.0162733	0.01851	0.0199208	0.0186192	0.0208796	0.0244724	0.019595	0.0132701
pour	0.0111138	0.00726523	0.00547767	0.00780789	0.00942852	0.0255763	0.0373516	0.0376727	0.0610364	0.0150308	0.0275127	0.0109425	0.00782263	0.00864839	0.0118605	0.0160524	0.020901	0.0274039	0.0283216	0.028231	0.0317256	0.018711	0.0229059	0.0180241	0.0249012	0.0185584	0.0216883	0.0264942	0.0226347	0.0220589	0.0340797	0.0131697	0.0214214	0.0232125	0.0303817	0.0305486	0.0411184	0.0258895	0.038497	0.0329022	0.0283566	0.022556	0.0247068
décrasser	0.00626482	0.00302538	0.00334478	0.00317431	0.0048053	0.0142042	0.0190786	0.0415435	0.0761013	0.01601	0.0434187	0.0259553	0.00928682	0.0103306	0.011925	0.0106257	0.0105776	0.0151652	0.0148553	0.016161	0.0214943	0.020566	0.0167153	0.0175456	0.018987	0.0238887	0.0401995	0.0283573	0.0336602	0.0397444	0.0310338	0.0287541	0.0314246	0.0301738	0.0307532	0.028239	0.0290509	0.0257976	0.0212773	0.0282918	0.0290539	0.0312766	0.0378618
la	0.00603279	0.00854771	0.0108206	0.00981055	0.005041	0.0101061	0.0131748	0.0145399	0.0107302	0.00941148	0.0112802	0.00760792	0.00493959	0.00455552	0.00514793	0.00427813	0.00630763	0.0127377	0.013954	0.0162634	0.0232739	0.0214776	0.0177289	0.0216828	0.0239244	0.0304862	0.0350711	0.0290414	0.0340269	0.034758	0.0360962	0.030153	0.0307328	0.0442471	0.0366426	0.039471	0.0496315	0.041393	0.0444599	0.0476564	0.0506041	0.0479683	0.044186
chambre	0.00527316	0.00537673	0.00501331	0.00448894	0.0059369	0.00648877	0.00672788	0.00608896	0.0115657	0.0145413	0.018398	0.0185972	0.00716255	0.00959303	0.00989869	0.0126484	0.0138197	0.0193149	0.0242069	0.0272251	0.0217428	0.0172806	0.0235065	0.0243758	0.022334	0.0151561	0.013219	0.0197522	0.0219682	0.0247579	0.0280775	0.0166494	0.0266239	0.0237109	0.0445379	0.0491263	0.0426322	0.0660138	0.0542279	0.0481837	0.0462356	0.0487006	0.0688208
où	0.0200298	0.0218673	0.0246597	0.0205085	0.0178047	0.0203514	0.0179492	0.0236794	0.0549466	0.0166408	0.0246619	0.0147764	0.00718049	0.0073731	0.00803567	0.00928717	0.00767622	0.0113977	0.00972321	0.0101486	0.0148394	0.0146268	0.0139429	0.0123805	0.0168549	0.0207551	0.0146876	0.015737	0.0219256	0.0196211	0.0191599	0.0256428	0.0268398	0.0237761	0.0290859	0.0282332	0.0255916	0.0393577	0.0349872	0.0455627	0.0451312	0.0520259	0.0905373
logeait	0.0303395	0.0207327	0.0235189	0.0216879	0.0261961	0.0167097	0.0161018	0.0180962	0.0200101	0.0127781	0.0196679	0.0150403	0.0118268	0.0115123	0.0157975	0.0171848	0.0166645	0.0236533	0.0205835	0.0235828	0.0333308	0.0210672	0.0177626	0.0126305	0.0178204	0.0181223	0.0131528	0.0125647	0.0177756	0.0159431	0.0149178	0.0210979	0.0193053	0.0156861	0.0160657	0.0153159	0.0156103	0.0206117	0.0191339	0.0326182	0.0495474	0.0736276	0.124607
le	0.0148016	0.00984207	0.0241106	0.0212978	0.0166073	0.0132521	0.014288	0.0145742	0.0191394	0.0124583	0.0203245	0.0125554	0.00715673	0.00713845	0.01137	0.0109109	0.0119474	0.0235487	0.0238019	0.0286632	0.0363112	0.0249435	0.0216348	0.0165439	0.0205684	0.0219851	0.0184849	0.0185849	0.0233943	0.0231329	0.0207472	0.0228754	0.0224582	0.0214758	0.0220014	0.0219417	0.0220971	0.0275616	0.0239875	0.0326078	0.0410467	0.0554293	0.122398
