 	n	g	ó	o	á	s	ó	m	b	i	n	g	á	m	á	p	a	b	a	á	l	í	i	n	y	w	á	l	a	t	í	i	</S>
ma	0.116082	0.1303	0.07494	0.037911	0.0208812	0.0180586	0.0266428	0.0205234	0.00983479	0.0132378	0.0159972	0.0270558	0.0205975	0.0331377	0.0279305	0.0206891	0.0479431	0.0431565	0.0266736	0.0266966	0.0246955	0.0143737	0.0148084	0.0115829	0.0188166	0.0200028	0.0190227	0.0200361	0.0201326	0.0253323	0.021132	0.0155346	0.0162407
mère	0.193794	0.12795	0.220055	0.167579	0.0853989	0.0370206	0.0334566	0.0329829	0.0232151	0.0249437	0.00476889	0.00215949	0.00673932	0.00207542	0.00224001	0.00266124	0.00143157	0.00157459	0.00235766	0.00375825	0.00452434	0.00289822	0.00504273	0.0014588	0.00256677	0.00146837	0.00129291	0.00128533	0.00104715	0.000709501	0.00084076	0.000155281	0.000547303
m'	0.0358829	0.0613042	0.0609148	0.0747326	0.0751316	0.0357613	0.0227643	0.0194256	0.0231504	0.0259236	0.0311278	0.0298128	0.0320464	0.0266996	0.030746	0.046138	0.0370263	0.0215964	0.0293465	0.0334854	0.0439874	0.0276231	0.014159	0.00740446	0.0131728	0.0129105	0.014965	0.027903	0.0176039	0.015512	0.0238946	0.0177514	0.0100963
a	0.0267803	0.0173853	0.0182828	0.0188709	0.0247186	0.0298504	0.0314565	0.031265	0.0234615	0.0259583	0.0224281	0.026815	0.0221159	0.0254829	0.0428687	0.0494339	0.0465589	0.0534565	0.0507347	0.0484995	0.0291149	0.0312337	0.0195364	0.0263631	0.0310676	0.0214197	0.0181612	0.0153522	0.0238683	0.0235551	0.026421	0.0382454	0.0592372
acheté	0.0205202	0.0113762	0.00944206	0.0128513	0.012853	0.0175948	0.0202322	0.0173112	0.0219528	0.0207276	0.0196284	0.0178826	0.0276465	0.0258863	0.0606582	0.044445	0.0464499	0.0567004	0.0565323	0.0672932	0.0578802	0.0445159	0.024359	0.028685	0.0312639	0.0290496	0.0284118	0.025902	0.0275253	0.0209242	0.0215448	0.0182033	0.053751
du	0.025489	0.0126522	0.0124972	0.0140884	0.0198295	0.0251905	0.0266176	0.0289801	0.0245056	0.0200938	0.0197537	0.0197363	0.0221776	0.0180234	0.0392403	0.0225165	0.0233777	0.0322741	0.0315828	0.0423953	0.0476415	0.0684137	0.0321125	0.0288731	0.0284837	0.0197787	0.0210475	0.0224627	0.034998	0.0308894	0.0484549	0.0501602	0.0856623
pain	0.0305545	0.0187267	0.0194752	0.0183756	0.0276107	0.0359679	0.0370375	0.0385153	0.0286547	0.0220741	0.0253667	0.0378423	0.0251618	0.0306004	0.043563	0.0274482	0.0492707	0.023264	0.0248883	0.0412863	0.0237385	0.0169844	0.020707	0.018909	0.016774	0.0175989	0.0112684	0.00825509	0.0291704	0.030162	0.0400544	0.0401841	0.12051
pour	0.0245051	0.0214603	0.0206224	0.0213794	0.0233531	0.0290985	0.0307638	0.0425193	0.0374612	0.0302693	0.0309449	0.0301478	0.0103059	0.00921757	0.0117953	0.00862908	0.0106402	0.00797784	0.00794463	0.0111036	0.012168	0.0250658	0.027244	0.037153	0.0422602	0.0363507	0.0582012	0.0450338	0.0478552	0.0459563	0.0432757	0.0576503	0.101647
que	0.0441589	0.0224475	0.0266546	0.0286275	0.0295332	0.0226464	0.0181853	0.0129167	0.00819311	0.00772098	0.00629299	0.00674037	0.011045	0.0107448	0.022301	0.031181	0.0205261	0.0296706	0.0449311	0.0514131	0.0204137	0.0313067	0.0229022	0.026755	0.0336148	0.0219087	0.0287261	0.0141497	0.0445865	0.0740993	0.051931	0.0820828	0.0915932
je	0.0326427	0.0371145	0.0319472	0.0361914	0.0361895	0.0229884	0.0188188	0.019679	0.021103	0.0199453	0.0127859	0.0112037	0.0105532	0.00856354	0.0147922	0.0131638	0.00990709	0.00847897	0.00735604	0.00975449	0.00792681	0.0183897	0.018704	0.0219357	0.0345969	0.0272514	0.0524669	0.0501883	0.0555768	0.0700049	0.051935	0.0811356	0.126709
prenne	0.0505225	0.0458381	0.0419332	0.0438015	0.0448152	0.0323916	0.0257966	0.0202787	0.0177372	0.0167484	0.0159653	0.016337	0.0095761	0.0105217	0.0167565	0.0153987	0.0163079	0.0158152	0.0145327	0.0148262	0.0107278	0.0146841	0.0132656	0.0210139	0.02684	0.0210397	0.0434981	0.0290676	0.0389038	0.040867	0.0386121	0.0655331	0.150047
avec	0.043345	0.0583833	0.0460791	0.0390364	0.0262564	0.0159262	0.0165125	0.0176625	0.0168059	0.0137963	0.0162314	0.0171859	0.0216231	0.0284329	0.036521	0.0357485	0.0347491	0.0357283	0.0351182	0.0264172	0.0101096	0.0109234	0.0118058	0.0263923	0.0161958	0.0151236	0.0169532	0.00815789	0.0175271	0.0511546	0.0439601	0.0420345	0.148103
