 	i	t	á	á	l	i	n	g	ó	o	l	á	n	g	á	á	d	í	l	e	w	ε	l	ε	t	s	í	n	a	b	á	a	á	t	ó	n	i	o	p	έ	n	g	á	a	b	ώ	ω	m	í	b	a	n	d	a	l	á	m	w	á	s	í	</S>
mes	0.0244444	0.0269306	0.0323462	0.0331102	0.0293329	0.0404263	0.0320433	0.0213875	0.0284181	0.0324436	0.038016	0.0459318	0.0471792	0.0463895	0.0494882	0.0413379	0.0352958	0.0236906	0.0198165	0.0201345	0.014785	0.016546	0.00683311	0.00525934	0.00672761	0.0070468	0.00677188	0.00875405	0.00582564	0.00405824	0.00487681	0.00461311	0.00650989	0.00277382	0.00274957	0.0029392	0.00517245	0.005658	0.00680034	0.00340039	0.00609898	0.00330214	0.00820489	0.00462901	0.00397143	0.0030582	0.00591001	0.00625524	0.00800649	0.00584426	0.00837673	0.00791286	0.00858456	0.0102212	0.0106783	0.0261907	0.0120781	0.00757131	0.0120398	0.0154126	0.0152937	0.0140952
parents	0.0705602	0.0655125	0.0802692	0.0529014	0.0874278	0.0676249	0.043149	0.0329292	0.0238571	0.0158534	0.01704	0.0185443	0.010575	0.0300702	0.0320387	0.0322688	0.040169	0.0172493	0.0149581	0.0105535	0.0144182	0.0086334	0.0092642	0.00436229	0.00535779	0.0051252	0.00730605	0.00360627	0.00110586	0.00129037	0.00320212	0.00243671	0.0016105	0.000724085	0.00064362	0.000725832	0.00164671	0.00202177	0.00177721	0.00124305	0.00158366	0.00135186	0.00171176	0.00196831	0.000999338	0.00120961	0.0016245	0.0022348	0.00632309	0.00810661	0.0227146	0.025067	0.0127237	0.0103343	0.0168006	0.0165176	0.00809103	0.00260548	0.00521396	0.0034599	0.0051189	0.00418649
m'	0.0311794	0.0168888	0.0118508	0.0111393	0.0100565	0.00957208	0.0120211	0.0172957	0.0290017	0.0295575	0.0454552	0.0554499	0.0893204	0.0433612	0.0390851	0.0429745	0.0162111	0.0176813	0.00925289	0.00627379	0.00589517	0.00435903	0.0070137	0.00423855	0.00356858	0.00589449	0.00645411	0.013701	0.0053681	0.00850517	0.006737	0.011198	0.00682427	0.0089526	0.00660658	0.0132169	0.00994181	0.00980889	0.00988408	0.0106747	0.0125397	0.00798417	0.012368	0.00731542	0.0103986	0.0160786	0.014733	0.0145528	0.0159537	0.0150925	0.0249225	0.0162457	0.0211946	0.0172441	0.0177786	0.0306631	0.0136936	0.00703047	0.00700205	0.00570988	0.00638309	0.00264484
ont	0.0208541	0.0289773	0.0241174	0.0311676	0.0293687	0.0370347	0.0400908	0.0223908	0.0230751	0.0190684	0.0292633	0.025282	0.0333883	0.0214437	0.0281193	0.0295829	0.025388	0.0347088	0.0267923	0.0177972	0.0184676	0.0214686	0.015681	0.0101049	0.0138295	0.0118221	0.00859314	0.0128403	0.0090551	0.00706425	0.00790588	0.00686865	0.00848877	0.00496363	0.00547494	0.00631728	0.00948427	0.00843501	0.00937603	0.00652192	0.00854664	0.00829368	0.00696385	0.00612942	0.00511206	0.00379539	0.0060632	0.00747945	0.00808308	0.00620222	0.00921742	0.0112393	0.00999433	0.0114761	0.0102009	0.0203539	0.0114001	0.0262936	0.0177607	0.0139631	0.0185532	0.0222045
trahi	0.0261029	0.0140386	0.00977859	0.0114469	0.00916937	0.0116312	0.0134529	0.0128565	0.0209757	0.0216079	0.0184236	0.0190079	0.0170501	0.0196153	0.018981	0.017126	0.015305	0.0181539	0.0172194	0.0151666	0.01818	0.0181237	0.0214745	0.0130417	0.0240881	0.0266574	0.0252062	0.0291617	0.0265424	0.0183155	0.022046	0.0236146	0.0180657	0.0174172	0.0151274	0.0192188	0.0209495	0.0176432	0.0222189	0.015458	0.0159333	0.0105091	0.0137129	0.0145231	0.0145426	0.0120802	0.0191551	0.0203492	0.0124441	0.00895048	0.00576569	0.0104706	0.00830343	0.00645049	0.00871175	0.00934193	0.00985845	0.00863281	0.00823739	0.00657149	0.0142691	0.0215268
car	0.00757724	0.00529109	0.00427955	0.0056022	0.00544829	0.0102158	0.0115836	0.0138452	0.011662	0.013348	0.00958554	0.0145122	0.00956331	0.0112203	0.00754888	0.0100161	0.00894804	0.0135548	0.0107231	0.0193305	0.0171868	0.0151851	0.0322444	0.0225396	0.021573	0.0356336	0.0358659	0.0391304	0.026315	0.0193464	0.0240367	0.0256954	0.0201297	0.0206048	0.0188206	0.0192956	0.0205517	0.0180241	0.0219071	0.0169631	0.0166193	0.0178858	0.017381	0.0238497	0.0215177	0.0165922	0.0223492	0.0292945	0.0219985	0.016569	0.0088296	0.010558	0.00829964	0.00679353	0.0098664	0.00967597	0.00990946	0.00937057	0.00877182	0.00942752	0.0121095	0.0174262
ils	0.00604212	0.00378879	0.00311082	0.00444174	0.00431699	0.00893856	0.0113282	0.0170759	0.0153027	0.0148884	0.0111384	0.0183087	0.011788	0.0114231	0.00820359	0.00791195	0.00600915	0.00851847	0.00523027	0.00710845	0.00676885	0.00648385	0.0238794	0.0283099	0.022904	0.0272726	0.0310135	0.0350418	0.0285008	0.0184289	0.0187214	0.0315998	0.0173101	0.0230511	0.0199486	0.0227414	0.0222796	0.0179327	0.0197221	0.0206652	0.0226474	0.0279805	0.018022	0.0210464	0.0238544	0.0253395	0.0241504	0.0398068	0.0315451	0.0248537	0.0199541	0.00994168	0.0106292	0.00810474	0.00811312	0.00687094	0.00732024	0.00861894	0.00671493	0.00617504	0.00829499	0.0125661
ont	0.0141613	0.00862081	0.00703518	0.00778891	0.00766658	0.0111808	0.0106076	0.0108554	0.0074427	0.00790594	0.00609097	0.00765789	0.00686447	0.00777495	0.00632992	0.00594284	0.00476241	0.00664064	0.00549747	0.0104159	0.0119395	0.00967052	0.0165264	0.011546	0.0122246	0.0232477	0.0236428	0.0291416	0.0235029	0.0143059	0.0179581	0.0223502	0.0219374	0.0224649	0.0190958	0.0231543	0.0174694	0.0198452	0.0298411	0.0263064	0.0213929	0.0280035	0.0237424	0.0314382	0.0239117	0.0289802	0.0338128	0.046861	0.0319574	0.0234538	0.00829341	0.00849534	0.00681726	0.00647246	0.00725642	0.00867773	0.0185145	0.00665894	0.017085	0.0110542	0.0226132	0.0270939
refusé	0.0104311	0.0064279	0.00630938	0.00624717	0.00589311	0.00812108	0.00539374	0.00404291	0.00341377	0.00375679	0.00449701	0.00584854	0.00534379	0.0043047	0.00567369	0.00394151	0.00522484	0.00630152	0.0062422	0.00941693	0.00726529	0.00822232	0.0120141	0.0118844	0.00994994	0.019273	0.0193886	0.0252326	0.0215039	0.0170252	0.0165366	0.0250941	0.0186269	0.0291579	0.0195534	0.0256613	0.0174449	0.0206736	0.0260754	0.0318469	0.0280212	0.0337212	0.0292491	0.0381401	0.029315	0.0389192	0.0347453	0.0436919	0.0340191	0.0390633	0.0241765	0.0162429	0.0122573	0.0122665	0.00884767	0.00792946	0.0134198	0.00648104	0.00926259	0.00734538	0.0119603	0.021663
de	0.0150162	0.0128889	0.0103964	0.00958359	0.00929688	0.00447031	0.004487	0.00491286	0.00543039	0.00587974	0.0107239	0.00960913	0.0107275	0.00410496	0.00491908	0.00213864	0.00315262	0.00326282	0.00414041	0.0086054	0.00747262	0.0114875	0.0195897	0.0192368	0.0169375	0.0211607	0.0161153	0.0108281	0.018457	0.0219035	0.0225266	0.0156723	0.0220634	0.0250593	0.0276841	0.030633	0.022594	0.0268989	0.0245524	0.0284294	0.0227644	0.0257989	0.0196353	0.0231888	0.0332607	0.043392	0.0323628	0.035228	0.0266604	0.0215396	0.0224828	0.017006	0.0199151	0.0157368	0.010444	0.00643537	0.0116601	0.00897143	0.00843632	0.00624211	0.0133486	0.0224415
