 	w	a	á	m	i	t	ú	ú	n	g	á	o	b	i	a	i	t	s	ω	ώ	s	é	l	é	n	g	é	</S>
il	0.220251	0.241868	0.187448	0.187749	0.0455244	0.0168921	0.00580201	0.00107185	0.000557654	0.00183018	0.00319475	0.00361171	0.00347129	0.00471706	0.00656467	0.00846225	0.00584601	0.00602742	0.0053557	0.00579771	0.00538756	0.00496392	0.00460238	0.0044355	0.00481744	0.00501593	0.00464188	0.00409209
a	0.0343803	0.0151151	0.0117188	0.0722896	0.0907969	0.0437355	0.0430538	0.0422846	0.0574784	0.0563593	0.085286	0.117271	0.0269413	0.0195276	0.03529	0.0335078	0.0318358	0.0189552	0.0190893	0.0190102	0.0237501	0.0243282	0.0208175	0.0115296	0.00715577	0.00839076	0.0124292	0.0176719
flanqué	0.011502	0.0143504	0.0113273	0.0172699	0.0198738	0.0185929	0.0367211	0.0516959	0.0645611	0.0630375	0.0634841	0.0808792	0.0871867	0.0588285	0.0525504	0.0365784	0.0377023	0.0222843	0.0175364	0.0184189	0.0178718	0.0228712	0.0248474	0.0226593	0.0216205	0.0332745	0.0312797	0.0411944
des	0.00947421	0.00921877	0.00730269	0.0111528	0.0125815	0.0119087	0.0130043	0.020977	0.0414012	0.0351389	0.0751677	0.0870463	0.0920317	0.0368852	0.0217147	0.0220038	0.0320757	0.0467874	0.055573	0.0557072	0.0418548	0.0349157	0.044436	0.0374402	0.0281186	0.0320027	0.0361923	0.0478869
coups	0.00785675	0.00868498	0.00868108	0.00997141	0.0124406	0.0206215	0.0390293	0.0611489	0.0724817	0.0437928	0.0331208	0.0328007	0.0357667	0.0366693	0.033573	0.036061	0.038023	0.0385944	0.0423217	0.039641	0.0467764	0.0358263	0.0371676	0.0377519	0.0392236	0.0440458	0.0409412	0.0669868
de	0.00558042	0.00495286	0.00397455	0.00375958	0.00494811	0.00780785	0.010158	0.012888	0.0115482	0.00911974	0.00896457	0.0103888	0.0155007	0.0174593	0.0131156	0.0146953	0.0451708	0.0526848	0.0556511	0.0615926	0.0624508	0.0658514	0.0726054	0.0835277	0.0857436	0.0870654	0.0824183	0.0903766
poing	0.0105401	0.0124502	0.0146591	0.0144907	0.0266271	0.0281029	0.0294303	0.030869	0.0304412	0.0246401	0.0155792	0.0151381	0.0155603	0.0150958	0.0145228	0.0148772	0.0212317	0.0243546	0.029829	0.0367275	0.0417222	0.0527799	0.0582894	0.0788361	0.0851706	0.077969	0.0765177	0.103548
à	0.0256247	0.0296027	0.0311586	0.0277654	0.0331359	0.0331814	0.0331776	0.0331839	0.0331063	0.0331725	0.0298326	0.0271816	0.0182165	0.0174958	0.01741	0.0173392	0.0179054	0.0163655	0.0184276	0.0226866	0.0270101	0.042317	0.0423003	0.0540573	0.0499999	0.0691343	0.0919454	0.107266
son	0.0225198	0.0237593	0.023363	0.0243553	0.0243058	0.0238909	0.0230245	0.0229824	0.0220676	0.0215854	0.0190628	0.0162286	0.0116748	0.0129406	0.0148111	0.0138862	0.0158219	0.0154591	0.0219258	0.0301446	0.0422579	0.0473422	0.0699794	0.0842405	0.0868472	0.0847645	0.0903265	0.0904324
ami	0.00828744	0.00905417	0.0134103	0.0342119	0.0385632	0.0316176	0.0224313	0.0195556	0.0152197	0.0136226	0.014658	0.020909	0.0174093	0.0194006	0.0238808	0.0290258	0.0380906	0.0425443	0.0530835	0.0552362	0.0602975	0.0576607	0.0598449	0.0615268	0.0464845	0.0450489	0.0700627	0.078862
en	0.0202209	0.0201474	0.0173509	0.0226336	0.0223774	0.0211497	0.0201781	0.0220119	0.0232246	0.0189927	0.0190202	0.0241169	0.0199867	0.0183527	0.0255448	0.0280765	0.0346482	0.0312917	0.0357873	0.0366595	0.0505219	0.0543365	0.065088	0.0653321	0.0597113	0.068109	0.0733136	0.081816
pleine	0.00861995	0.0110339	0.0158481	0.0291772	0.0284633	0.0241656	0.0174039	0.015305	0.0204915	0.020731	0.0172095	0.0230348	0.0206006	0.0238885	0.0287722	0.0363189	0.0408078	0.0531221	0.0448414	0.0462149	0.0482777	0.0402701	0.0511193	0.0542589	0.0546918	0.0550365	0.0795914	0.0907042
figure	0.0291678	0.0294531	0.0256041	0.0350364	0.0253557	0.0179234	0.0199827	0.0318416	0.0347249	0.0391931	0.0436468	0.043535	0.0541666	0.0436526	0.0359617	0.029289	0.0244977	0.022538	0.0200489	0.02	0.0202462	0.0216914	0.0312337	0.0431118	0.0498227	0.0472938	0.0581204	0.102861
</S>	0.0229109	0.0227427	0.0189834	0.0244245	0.0199566	0.0103394	0.00849702	0.0138443	0.0252693	0.0260746	0.0520679	0.0564679	0.0765094	0.0475985	0.0342612	0.0390478	0.0354131	0.0567121	0.0674228	0.0548482	0.0567844	0.0331181	0.0443057	0.0348693	0.0305908	0.0293275	0.0240564	0.0335561
