 	w	á	á	b	a	r	e	b	á	a	t	ω	ω	o	k	a	n	á	o	k	w	á	k	a	á	</S>
quand	0.0915485	0.19016	0.115108	0.126462	0.0446844	0.0352511	0.0485258	0.0318277	0.0200735	0.0166254	0.011141	0.0157597	0.0178053	0.00719514	0.0151753	0.0209113	0.0142833	0.017261	0.0247844	0.0229138	0.0165479	0.0230914	0.0188087	0.0229149	0.0190602	0.0120801
les	0.0800647	0.0680211	0.0417083	0.0580934	0.0618939	0.0756862	0.0460709	0.0342065	0.037298	0.0216426	0.027675	0.0405517	0.0546448	0.0401144	0.0531918	0.0295162	0.0154556	0.0381224	0.0258566	0.023162	0.0109432	0.0216188	0.0223204	0.0283346	0.0175394	0.0262672
gens	0.0111755	0.0308277	0.0307816	0.0435732	0.0466986	0.0879742	0.0485641	0.0757023	0.0674649	0.0389739	0.0488367	0.0280961	0.0356152	0.0265007	0.0326045	0.0321238	0.0214198	0.03602	0.0286855	0.0275451	0.037997	0.0292227	0.0338387	0.028982	0.0291936	0.0415825
se	0.00649283	0.00705548	0.00584396	0.0067957	0.00899956	0.00953999	0.00827334	0.0116695	0.0223969	0.0378606	0.0409799	0.0360367	0.076893	0.125769	0.106677	0.0981782	0.0768972	0.0690773	0.0408088	0.0455704	0.0389021	0.0261182	0.024854	0.0104765	0.0165527	0.0412811
disputent	0.00805396	0.0123447	0.00655532	0.0101153	0.0163104	0.023023	0.0241739	0.0355073	0.0379145	0.0490756	0.071677	0.0855357	0.0855506	0.0575706	0.0636309	0.0434512	0.0340953	0.0434396	0.0342011	0.0273251	0.0282326	0.0295211	0.0284472	0.0179622	0.0260167	0.100269
il	0.0084466	0.0108896	0.00653429	0.00905702	0.0106817	0.0108814	0.0143803	0.0157168	0.0190639	0.0284202	0.0313435	0.0344605	0.0301152	0.0492553	0.0511022	0.0601434	0.0673776	0.0650705	0.0633181	0.0586846	0.0552053	0.0400381	0.0417424	0.043954	0.062923	0.111195
ne	0.0151257	0.0172076	0.0136543	0.0135717	0.0161108	0.0152991	0.01966	0.0254527	0.0301963	0.0298743	0.0239218	0.0274036	0.0235812	0.029241	0.0347101	0.0346013	0.0380847	0.0467729	0.0539166	0.0442958	0.065918	0.0632069	0.0822508	0.0701952	0.0715519	0.0941955
faut	0.0290451	0.0302482	0.0250496	0.0236411	0.0220622	0.0214967	0.0226095	0.0225826	0.0207339	0.0176207	0.011704	0.0105769	0.0120294	0.0243072	0.0329421	0.0347542	0.0513164	0.0546088	0.06247	0.0616462	0.0678287	0.0670342	0.0683752	0.066915	0.0688808	0.0695214
pas	0.0505825	0.0528306	0.0509946	0.0520753	0.0469726	0.0386654	0.0200686	0.0194454	0.0125418	0.0126102	0.0122843	0.0281015	0.0527947	0.0571542	0.0484527	0.043497	0.0503249	0.0358361	0.0344725	0.0326973	0.0324826	0.0312675	0.0383962	0.0399194	0.0488601	0.0566718
attiser	0.0598443	0.0330405	0.0297477	0.02629	0.029526	0.0320348	0.0167664	0.0156494	0.0118393	0.0140073	0.0107592	0.013982	0.0185129	0.0334805	0.0330321	0.0323931	0.0366348	0.0357044	0.0415496	0.0415633	0.112776	0.0601938	0.0720309	0.0487925	0.0522589	0.0875905
la	0.0390507	0.0168386	0.0129936	0.0163806	0.0167082	0.0161156	0.0153047	0.0138106	0.0168881	0.014386	0.0106754	0.00899793	0.014597	0.0288704	0.0300907	0.0226158	0.048783	0.0481501	0.0719935	0.0560889	0.142895	0.066593	0.072878	0.062371	0.0481486	0.087775
querelle	0.029239	0.0220864	0.0169375	0.0218293	0.0213341	0.0187161	0.0294668	0.0171155	0.0144342	0.0145287	0.0329151	0.0386596	0.0424233	0.0361284	0.0290925	0.02159	0.0257812	0.0281973	0.0319198	0.0240055	0.044754	0.034864	0.0520464	0.0648758	0.0840701	0.202989
</S>	0.0404107	0.0203857	0.0109618	0.0129256	0.0118883	0.0100201	0.00845004	0.00877389	0.0115486	0.0131992	0.0198268	0.0103738	0.0107332	0.0203386	0.0217232	0.0210238	0.0419736	0.0345284	0.056682	0.0451396	0.167001	0.0721205	0.0718262	0.0498232	0.0379077	0.170414
