 	o	k	o	b	h	á	n	g	á	m	b	v	a	l	a	e	d	z	ε	s	í	t	ó	n	g	a	l	á	n	d	é	e	k	a	á	</S>
ne	0.00599599	0.00917239	0.0121324	0.0159764	0.0241734	0.0478587	0.0364283	0.0611533	0.0450224	0.0521342	0.0673585	0.0561703	0.0587822	0.057657	0.0389715	0.0449777	0.0667199	0.0270011	0.0138491	0.00760985	0.00549909	0.00490915	0.0058303	0.00538602	0.00634289	0.00699748	0.00771469	0.0156207	0.0218325	0.0213401	0.0267545	0.0274252	0.0300926	0.0217378	0.0235732	0.0197991
me	0.0999577	0.0786493	0.0554573	0.0591788	0.050937	0.0414629	0.0560812	0.0487646	0.0509235	0.0452634	0.0629092	0.0609931	0.0389964	0.0333351	0.0311819	0.0321179	0.0273411	0.0244697	0.0144413	0.00794857	0.00490199	0.00454498	0.00243347	0.00252153	0.00233247	0.00205621	0.00243824	0.00260703	0.00334246	0.00698566	0.0048886	0.00725374	0.00921747	0.00936603	0.00577992	0.00892024
prends	0.10234	0.0804968	0.0888934	0.0768194	0.0663928	0.0699776	0.0367345	0.0303717	0.0318611	0.0214336	0.0248238	0.0292704	0.0295488	0.0245784	0.0352233	0.0548627	0.0339647	0.0329806	0.0186076	0.00726565	0.00549646	0.00733544	0.00686484	0.00598618	0.0117639	0.0063284	0.00918749	0.00675046	0.00711913	0.00766208	0.00628796	0.00543911	0.00479171	0.00537167	0.00379316	0.00337533
pas	0.087658	0.095789	0.0484961	0.0386736	0.0326744	0.0229744	0.021289	0.0146343	0.0163641	0.0155168	0.0174102	0.0137249	0.0156764	0.0118087	0.0156375	0.0230697	0.0271926	0.0558939	0.0809317	0.0559372	0.0624034	0.0477366	0.0289182	0.0217655	0.0187378	0.0236776	0.0193009	0.0130574	0.00685221	0.0068909	0.00522761	0.00485393	0.00438921	0.00475857	0.00908282	0.0109949
pour	0.0727392	0.104312	0.0933803	0.0592582	0.0226008	0.0233147	0.0183788	0.00853641	0.014166	0.0127817	0.0150962	0.0155617	0.0197409	0.0168777	0.0268371	0.0312741	0.0288595	0.0446756	0.0417552	0.0486204	0.0331541	0.0251443	0.0261234	0.0202533	0.0183324	0.0118561	0.011712	0.010378	0.0141677	0.0171362	0.017041	0.011886	0.0175229	0.0166288	0.0136051	0.0162928
un	0.0496243	0.0955991	0.0753873	0.0407454	0.0304057	0.0198289	0.015983	0.0139956	0.0156698	0.0102593	0.0131188	0.0214074	0.0179916	0.0201798	0.0296915	0.0354095	0.0441393	0.0467325	0.0630462	0.103434	0.0289267	0.0216614	0.0109623	0.00771002	0.00652981	0.00317231	0.00304058	0.00351341	0.00804271	0.00974123	0.00862458	0.00988024	0.0215051	0.0225941	0.0157694	0.0556775
profane	0.0429798	0.0602704	0.0427721	0.0338747	0.0299963	0.0208757	0.0165168	0.0161032	0.0186849	0.0131809	0.0158007	0.0292201	0.0202793	0.027352	0.0323576	0.0349442	0.0394624	0.0391047	0.0507935	0.0639508	0.0435437	0.0253894	0.0281107	0.0200407	0.0229755	0.0132572	0.0134028	0.0123167	0.0221569	0.0121792	0.0110109	0.0114762	0.0203865	0.0205505	0.0175489	0.057134
en	0.0337748	0.0334371	0.0237233	0.0208084	0.0192948	0.0155947	0.0143448	0.0160387	0.0208058	0.0189485	0.0245367	0.0508948	0.030661	0.054696	0.0627451	0.0593475	0.0539571	0.04996	0.0557926	0.0390192	0.0234382	0.0175371	0.00942862	0.00864198	0.00779087	0.00602848	0.00765148	0.00899514	0.0139327	0.0162473	0.0172382	0.0202888	0.0281054	0.0280221	0.0248219	0.0634507
construction	0.0512681	0.0555776	0.0374026	0.0296444	0.0251364	0.0141226	0.0101891	0.010403	0.0121231	0.0119896	0.0158734	0.0247748	0.0235788	0.0300269	0.0368661	0.0343806	0.0374719	0.0415058	0.0584196	0.0483034	0.0460997	0.0396381	0.0207782	0.0139299	0.0109293	0.00695069	0.00484198	0.00505217	0.0120999	0.021569	0.0248291	0.0223022	0.037283	0.0269986	0.0207801	0.0768599
de	0.0311164	0.0238665	0.0199269	0.018656	0.0169789	0.0134749	0.0122714	0.00954784	0.00823531	0.00556336	0.00535143	0.00520325	0.00556218	0.00472779	0.00478021	0.00359832	0.00401267	0.010289	0.0298761	0.0672699	0.0823357	0.0744812	0.0811426	0.0561958	0.0386208	0.0269703	0.0195553	0.0184573	0.0217222	0.0254324	0.0319167	0.0369131	0.0278332	0.0405655	0.0469353	0.0706144
maison	0.051126	0.0296786	0.0232981	0.0205116	0.0167151	0.00832873	0.00889282	0.00643622	0.00624726	0.0062879	0.00553892	0.00522047	0.00606313	0.00511424	0.00542782	0.00487646	0.00530722	0.0137574	0.0263735	0.049178	0.0430213	0.0449597	0.0491613	0.0449406	0.0359864	0.0243408	0.015518	0.0118274	0.0252509	0.0394617	0.0440076	0.0465406	0.0532588	0.0494119	0.0655194	0.102414
</S>	0.0770965	0.0547252	0.0469542	0.0344367	0.0245662	0.0139016	0.0108174	0.00766051	0.00631523	0.00748687	0.00679915	0.00675949	0.00565206	0.00485449	0.00479981	0.00384739	0.00415521	0.00815384	0.0170559	0.0366943	0.0405487	0.0419461	0.0328848	0.0240173	0.0220748	0.0170373	0.0150458	0.0185121	0.0291892	0.0403117	0.045524	0.0471969	0.048817	0.0549986	0.049853	0.0893109
