 	n	y	ω	s	í	y	e	e	d	í	s	a	a	m	í	b	í	a	w	ó	m	b	í	o	k	w	a	n	g	o	</S>
cet	0.0132571	0.0142616	0.0123498	0.0156634	0.018089	0.0212934	0.0265078	0.0239028	0.0342437	0.0396776	0.0459693	0.0465713	0.0683951	0.0851685	0.0540646	0.0487792	0.0266257	0.0301658	0.0356505	0.0337562	0.0331409	0.0266351	0.0287462	0.0288629	0.0290349	0.0371762	0.0279836	0.0271814	0.0307942	0.0211571	0.0148951
oiseau	0.0683663	0.0695777	0.032028	0.0507808	0.0815745	0.0305848	0.023464	0.0309075	0.0115598	0.01801	0.0366597	0.0166563	0.0211678	0.0120881	0.00795781	0.0199729	0.0428577	0.0303666	0.0314956	0.033991	0.0460115	0.0599062	0.0387777	0.0587662	0.0244442	0.0414401	0.0299588	0.0139712	0.00703994	0.00609262	0.00352465
qui	0.0266431	0.0281457	0.0308663	0.0213563	0.0455198	0.0527638	0.0515578	0.0534582	0.0155949	0.0260443	0.0241441	0.0217511	0.0262765	0.0194455	0.0133423	0.0243639	0.024362	0.0278887	0.0229335	0.0347912	0.0800837	0.0563394	0.0627058	0.0420066	0.0348366	0.0351823	0.0249993	0.0222962	0.0194214	0.0203278	0.0105519
est	0.0164607	0.0293826	0.0485891	0.0735378	0.095449	0.112777	0.100925	0.0768064	0.0409601	0.0338705	0.0208172	0.0120572	0.0129398	0.0144346	0.0140409	0.0135996	0.00963202	0.0108945	0.0102532	0.0123489	0.0292244	0.0283685	0.0447043	0.0162841	0.018155	0.0120931	0.0127068	0.0128694	0.011785	0.0238203	0.0302121
perché	0.0471769	0.0279347	0.0269594	0.0277066	0.04287	0.0656881	0.0653281	0.0395316	0.0263211	0.0316251	0.0272526	0.0364267	0.0391115	0.0322874	0.0197694	0.0316569	0.0177438	0.0201024	0.0231178	0.0107303	0.0242122	0.0313906	0.0314544	0.0272682	0.0154495	0.0136748	0.0423479	0.054599	0.0258177	0.0383144	0.0361307
sur	0.0313641	0.0356688	0.0563242	0.0668262	0.0665618	0.0452794	0.0261371	0.0321386	0.0534909	0.0322428	0.0318349	0.0206975	0.00884711	0.0122535	0.0229572	0.016537	0.0125236	0.0162374	0.0304122	0.0249854	0.0165692	0.0176108	0.0282647	0.0248739	0.0139386	0.00559221	0.00698067	0.0219159	0.01954	0.0466234	0.154771
le	0.0353076	0.0319323	0.0350473	0.0307248	0.0467669	0.0577163	0.0577827	0.0629597	0.0850142	0.0593988	0.0352447	0.0266316	0.0279871	0.015939	0.00985109	0.00686525	0.0119742	0.0235219	0.0463561	0.0391437	0.0299145	0.0298687	0.0315577	0.0273748	0.0154714	0.0181576	0.0133266	0.0128325	0.0141322	0.014747	0.0464516
palmier	0.055748	0.0430317	0.0361819	0.0445759	0.0242632	0.0212564	0.0155791	0.0225612	0.0288554	0.0187733	0.0131941	0.0123408	0.0133416	0.0085542	0.00931262	0.00633675	0.00772216	0.00854397	0.0307186	0.0192626	0.0314694	0.0323351	0.00709614	0.0229528	0.0122568	0.0113083	0.0427028	0.034909	0.0886246	0.0855242	0.190667
est	0.0919152	0.0707961	0.0602347	0.0522013	0.0562597	0.0605435	0.036881	0.0657514	0.0697607	0.0327025	0.0205629	0.0147399	0.0192289	0.00833568	0.0110075	0.00413742	0.00423757	0.00796823	0.0166785	0.00626081	0.0140088	0.0243747	0.00916442	0.0166955	0.0156923	0.0174937	0.0236451	0.0218613	0.0378881	0.0367135	0.0722592
un	0.128262	0.105853	0.0787949	0.0573301	0.040805	0.0167608	0.0125125	0.00494837	0.00418246	0.00487073	0.00295158	0.00222396	0.00509243	0.00237529	0.00779993	0.00212198	0.00196348	0.00244433	0.00432461	0.00386724	0.00468404	0.00563453	0.00405499	0.00412957	0.00490499	0.00522977	0.0282919	0.0275296	0.118283	0.115404	0.192368
aigle	0.103526	0.100455	0.0974775	0.067376	0.0351033	0.0199264	0.0145188	0.00840572	0.00737107	0.00977235	0.00505633	0.00425569	0.00981104	0.00517273	0.00692019	0.00274189	0.00249551	0.00250586	0.00387136	0.00325033	0.00514774	0.00635357	0.00427786	0.00490503	0.0050249	0.00554996	0.0331226	0.0430735	0.139516	0.0899315	0.153084
du	0.0947836	0.10636	0.119365	0.0900739	0.0388799	0.0221733	0.0161085	0.0088021	0.00562002	0.00590963	0.00285644	0.00219879	0.00469991	0.00328006	0.00392708	0.00140859	0.000869556	0.00109838	0.00195523	0.00186635	0.00262066	0.00408266	0.00351599	0.00403445	0.00431272	0.00485412	0.038675	0.0584264	0.085245	0.0875122	0.174485
congo	0.0499048	0.0547607	0.063584	0.0521604	0.0327326	0.0212624	0.0115919	0.00804046	0.00524454	0.00620699	0.00317242	0.00204214	0.00478524	0.00263481	0.00339761	0.00134866	0.00118091	0.00160096	0.00310086	0.00324519	0.00539514	0.0121836	0.00574435	0.00943059	0.0116941	0.0172758	0.0816263	0.0863277	0.121639	0.136476	0.18021
</S>	0.0208608	0.0325008	0.0332221	0.0512543	0.0627172	0.0481546	0.0333427	0.045264	0.0531368	0.0349185	0.0337356	0.0185865	0.00758218	0.007259	0.00607609	0.00447896	0.00495345	0.00465134	0.0117756	0.0143961	0.0218277	0.024286	0.0180822	0.0282479	0.0380363	0.0291701	0.0275592	0.0426256	0.0653728	0.0630383	0.112887
