 	e	l	a	m	b	í	l	í	y	o	k	i	a	y	é	a	n	y	a	m	a	b	á	a	l	e	á	á	t	s	ω	</S>
avec	0.0139347	0.0174317	0.0152496	0.0123639	0.0102155	0.00807947	0.00819871	0.0134429	0.0189262	0.0406446	0.0576199	0.0721083	0.0497453	0.0357655	0.0187784	0.0200929	0.0230368	0.0223338	0.019556	0.0269738	0.0329763	0.0462906	0.055242	0.058872	0.0591594	0.0376505	0.0417847	0.0342503	0.0202253	0.0269402	0.0305241	0.0515864
cette	0.0655965	0.0482908	0.0410653	0.0559962	0.0484599	0.0297602	0.0265782	0.0160447	0.029653	0.0297435	0.0396214	0.0131566	0.012279	0.018359	0.0277738	0.0534644	0.0600611	0.0353512	0.0334536	0.0373123	0.0466099	0.0384568	0.0379515	0.0186235	0.024371	0.017529	0.0241375	0.0226788	0.0116551	0.0092156	0.00927004	0.0174807
manière	0.0457526	0.0356143	0.051446	0.0339692	0.04005	0.0280822	0.0254808	0.0305895	0.0306365	0.0247658	0.0304449	0.0635187	0.0728038	0.0422199	0.0391537	0.0412786	0.0286931	0.0231364	0.025434	0.0295769	0.0429256	0.0458782	0.0407065	0.0236583	0.0257942	0.0106306	0.0168298	0.00731226	0.00994453	0.00879471	0.0109443	0.0139341
d'	0.0301251	0.0296676	0.0329221	0.0270987	0.0300616	0.0285518	0.0199862	0.0145334	0.0127213	0.0171307	0.012409	0.0241206	0.0304043	0.0291716	0.0624789	0.10208	0.11043	0.0474526	0.0300268	0.035563	0.0149558	0.0200243	0.0113017	0.0054398	0.00821219	0.00866	0.00894732	0.00981723	0.0182668	0.0421962	0.0617869	0.0634564
étendre	0.0328688	0.02421	0.0469584	0.0521112	0.0648052	0.0521769	0.03965	0.0314722	0.0255082	0.0211008	0.0201931	0.0305223	0.0540814	0.0505206	0.0449693	0.0324687	0.0295261	0.027961	0.0205879	0.0168973	0.0287565	0.0253517	0.0186522	0.0174296	0.0137705	0.0120697	0.0162081	0.0149455	0.0170368	0.0298768	0.0290079	0.0583051
le	0.0440927	0.0426953	0.0550449	0.0404862	0.0426187	0.0314093	0.0229821	0.0204401	0.0216294	0.0212165	0.0217987	0.0297307	0.040535	0.0279875	0.0593153	0.0766237	0.0698512	0.0323683	0.0279298	0.027362	0.0127095	0.0180036	0.0130207	0.0115185	0.0109515	0.00950961	0.00982331	0.00748981	0.0118506	0.0239864	0.0238404	0.0911787
filet	0.0609731	0.0494233	0.0476007	0.0299649	0.0249203	0.0247811	0.035075	0.0422927	0.0489365	0.0386258	0.0342846	0.025417	0.0284345	0.0186395	0.0221475	0.020132	0.00876059	0.00663923	0.0100486	0.00633466	0.00538171	0.00655758	0.00473156	0.00481597	0.00623961	0.0145615	0.0137635	0.0196575	0.0446491	0.0649262	0.0383784	0.192906
aucun	0.128241	0.0823765	0.0977461	0.0593755	0.0444477	0.0316059	0.0341407	0.0262119	0.0357654	0.0396641	0.0275598	0.0158931	0.0142873	0.0100645	0.0118224	0.00906662	0.00707061	0.00739858	0.00650269	0.00458136	0.00387494	0.00418714	0.00485826	0.00549801	0.00994742	0.0183166	0.0198309	0.0276073	0.0257449	0.0325251	0.0356023	0.118186
animal	0.0788022	0.07369	0.056166	0.0309601	0.0185269	0.00920146	0.0138622	0.0134117	0.0098176	0.0101813	0.00918061	0.00832647	0.0141288	0.0153835	0.017876	0.00856216	0.00516832	0.00327118	0.00671121	0.00479453	0.00586064	0.00592082	0.00478509	0.00500567	0.00680854	0.015076	0.0171763	0.0221524	0.0569672	0.118044	0.131252	0.20293
ne	0.0507829	0.0336495	0.0308891	0.0289264	0.022727	0.0139101	0.0117992	0.00952368	0.00920463	0.0113344	0.00929893	0.00847583	0.00903547	0.00895679	0.0158411	0.017124	0.0169224	0.0179978	0.0214944	0.0196384	0.0199645	0.0193988	0.0237759	0.0159167	0.0295031	0.0304531	0.0518122	0.0424965	0.042215	0.0811238	0.094845	0.180963
sera	0.0719436	0.0455038	0.0319515	0.0201684	0.0120642	0.00880496	0.00983624	0.00784124	0.00591209	0.00794703	0.00616174	0.00913183	0.0156722	0.0165738	0.0196066	0.0118853	0.00785978	0.00361499	0.00765993	0.00629991	0.0118104	0.0123949	0.0176995	0.0208555	0.0425932	0.0539201	0.0735236	0.0836502	0.103569	0.0958183	0.0668831	0.0908431
capturé	0.0422807	0.0154534	0.0113339	0.00822723	0.00937737	0.00811532	0.010389	0.0111107	0.0107549	0.0122093	0.0136865	0.0174362	0.0237514	0.0280032	0.00903824	0.00684964	0.00563983	0.00359406	0.00413879	0.00379054	0.0125931	0.0124632	0.0157156	0.0190675	0.0359388	0.0393382	0.0980682	0.139485	0.146547	0.116308	0.0410386	0.0682557
</S>	0.034562	0.0251632	0.0246264	0.0224158	0.0184702	0.0117804	0.0105815	0.0102834	0.0105616	0.0109809	0.0109138	0.0122674	0.0168691	0.0185178	0.0240565	0.0216842	0.0121928	0.00934489	0.0192678	0.0189083	0.0212694	0.0310153	0.0236822	0.0157901	0.0265816	0.0377188	0.0448653	0.0500166	0.0612527	0.0932404	0.104135	0.146984
