 	o	y	ú	r	u	w	ó	a	d	í	o	p	f	ú	b	h	a	k	a	á	t	s	í	n	a	w	a	a	d	i	m	ó	k	w	é	é	l	é	</S>
cette	0.00397084	0.00403827	0.00339099	0.00371995	0.00736168	0.0105584	0.0029507	0.00421085	0.00282725	0.00894555	0.00509925	0.01114	0.0135841	0.0672463	0.0466325	0.0505996	0.0621253	0.0714765	0.0399313	0.055859	0.0615402	0.0466981	0.0205135	0.0170505	0.0181792	0.0195218	0.0105357	0.0169644	0.0225035	0.0308949	0.0215928	0.0363694	0.018046	0.0183999	0.0202766	0.0283051	0.0405843	0.042262	0.034094
femme	0.15974	0.210513	0.134348	0.169891	0.0479926	0.0264335	0.0334599	0.011742	0.0103653	0.00504436	0.00751583	0.0106982	0.00704752	0.00488025	0.00782807	0.00925374	0.0123391	0.00689576	0.019724	0.00642863	0.0128979	0.00878097	0.00810662	0.00626433	0.00440947	0.00981657	0.0111705	0.0117843	0.0147838	0.00302555	0.00135809	0.0020335	0.000612572	0.000336764	0.000353456	0.000679401	0.000286405	0.000718264	0.000440686
ne	0.0399736	0.0467454	0.0744299	0.0468193	0.0870459	0.101427	0.0453052	0.0849319	0.0178956	0.0317945	0.00905914	0.0161191	0.00761397	0.00908284	0.0186131	0.0347493	0.0230081	0.0499596	0.0217009	0.0214809	0.0242977	0.0190587	0.0196224	0.0138084	0.012587	0.0151123	0.0119327	0.0134112	0.00382626	0.00587263	0.00451502	0.00619224	0.00427157	0.00573474	0.00577044	0.00856724	0.00948072	0.0132555	0.0149278
se	0.0417028	0.0584119	0.067826	0.0594325	0.0439391	0.0235213	0.0279773	0.0263358	0.0296563	0.0207842	0.0277173	0.0203339	0.00805037	0.00900532	0.0112763	0.0153937	0.0384915	0.0437803	0.0329946	0.041521	0.0466001	0.0445245	0.0440597	0.0368271	0.0226906	0.0209823	0.028449	0.0251126	0.0154098	0.00825599	0.00422873	0.00598335	0.00535479	0.00347941	0.00523468	0.00744161	0.00692708	0.00878531	0.0115019
lave	0.0430934	0.0258451	0.0469493	0.0388362	0.0495568	0.0624586	0.046279	0.0407365	0.0266909	0.0221929	0.0109661	0.0111088	0.0054322	0.0059195	0.00952803	0.0148291	0.0188686	0.0150002	0.0195895	0.0162035	0.0289067	0.025488	0.0147595	0.0161727	0.0134408	0.0203564	0.0111431	0.023217	0.0324285	0.0280871	0.0313589	0.0295343	0.0167796	0.0259215	0.0268848	0.0298123	0.0288188	0.0331803	0.0336257
plus	0.0421457	0.0223197	0.0208658	0.016325	0.0170189	0.0222997	0.0210367	0.0197435	0.0221656	0.0199973	0.0176723	0.0106177	0.00960701	0.00889043	0.0110928	0.0118271	0.0175335	0.0253278	0.0276571	0.0377444	0.0626841	0.0662544	0.0599792	0.0411769	0.0314485	0.0304443	0.029818	0.0398898	0.0248754	0.0165898	0.0155252	0.0169581	0.0140944	0.0130734	0.0174043	0.021346	0.0191275	0.0289236	0.048499
parce	0.0310836	0.0218959	0.0255374	0.0208402	0.0185814	0.0233817	0.0198772	0.0172118	0.0138409	0.0188263	0.0136808	0.0185207	0.0143876	0.0163259	0.0132788	0.0238901	0.0216455	0.0227018	0.0315067	0.0327541	0.0352166	0.0340984	0.0377838	0.0358966	0.0290848	0.0306386	0.0192435	0.0264393	0.0255592	0.0269149	0.0162628	0.0219034	0.0239615	0.0179543	0.0163892	0.0348643	0.038221	0.0428433	0.0669561
qu'	0.03755	0.0216821	0.0284759	0.0275816	0.022999	0.0462291	0.0297009	0.0378473	0.0261292	0.0353226	0.017822	0.0150882	0.0167083	0.0143972	0.015061	0.0164005	0.0151391	0.0213367	0.0234405	0.0266839	0.0438702	0.0415556	0.0211848	0.0374586	0.0219028	0.0129701	0.0147247	0.0156308	0.016459	0.020693	0.0169077	0.0166006	0.0295208	0.020332	0.0176561	0.0253248	0.0326904	0.0289811	0.0699417
elle	0.0395319	0.0334135	0.0369643	0.0333127	0.0387856	0.040257	0.0203235	0.0170011	0.0103477	0.0105011	0.00389281	0.0044061	0.00629914	0.00739443	0.00963652	0.0154797	0.0150905	0.0217324	0.0259162	0.0228602	0.0311119	0.0286085	0.0316827	0.0376786	0.0288103	0.0328435	0.0380528	0.0367233	0.0629338	0.0320101	0.0131203	0.0185661	0.0155171	0.00914988	0.031063	0.0183437	0.021422	0.0328535	0.0663626
est	0.0722825	0.0379055	0.0293924	0.0205575	0.0294109	0.0373204	0.0156736	0.0131536	0.0122966	0.0121341	0.00886674	0.00506377	0.00765013	0.00915468	0.0132045	0.0192917	0.0244542	0.0385819	0.0459349	0.0473004	0.0485489	0.0492537	0.024793	0.0466309	0.017442	0.0187713	0.0202578	0.0176963	0.018451	0.0129061	0.0090404	0.00917451	0.0113506	0.00764004	0.0219682	0.0273065	0.0239471	0.0381185	0.0770728
