 	á	k	a	n	g	i	w	á	e	k	a	y	a	w	á	r	e	w	a	á	y	í	b	h	i	m	b	ó	s	i	</S>
on	0.0529773	0.114585	0.113087	0.0995048	0.0588947	0.034193	0.045848	0.0285238	0.0281563	0.0237779	0.0267387	0.0395857	0.021302	0.0285864	0.0357761	0.0247294	0.0263953	0.0176429	0.0159119	0.0141411	0.0117018	0.0128283	0.00895569	0.0107925	0.0153838	0.0193594	0.0182238	0.0142805	0.0173551	0.0102547	0.0105071
l'	0.0343883	0.0337972	0.0310763	0.0402151	0.080571	0.119273	0.105427	0.0753029	0.0550776	0.028156	0.0235067	0.0301995	0.0159862	0.0287523	0.0235641	0.0158161	0.00904477	0.00665933	0.011839	0.0243487	0.0190151	0.0143782	0.0220784	0.0198349	0.00941613	0.031685	0.0271289	0.0200658	0.0156411	0.0132491	0.0145062
a	0.0526193	0.0633606	0.0598781	0.0477039	0.0732826	0.0546225	0.0246419	0.044316	0.0188633	0.01608	0.0185635	0.0339024	0.0427192	0.0338697	0.0308519	0.0187732	0.0150968	0.0256544	0.0234392	0.038737	0.0267468	0.0358727	0.0211438	0.0240444	0.00579263	0.0101196	0.0103691	0.015319	0.0413692	0.0475675	0.0246797
accusé	0.0268941	0.0251238	0.0436622	0.0364963	0.0336886	0.0313451	0.033522	0.0238924	0.0297858	0.041106	0.039187	0.0387038	0.0704655	0.0874439	0.0492574	0.0358464	0.0423494	0.0382901	0.0320553	0.0231533	0.0214543	0.0384571	0.0315826	0.0323382	0.0288724	0.013783	0.00705649	0.00892787	0.00604387	0.00795816	0.0212576
à	0.00913814	0.0079956	0.00722549	0.00926883	0.00903455	0.00724809	0.00866804	0.0166054	0.0294427	0.0241567	0.0256957	0.0337618	0.0158665	0.013668	0.0161231	0.0198574	0.0163992	0.0154269	0.0188416	0.0819544	0.0921138	0.136348	0.0792524	0.07286	0.0369434	0.0317771	0.0303552	0.0291004	0.025824	0.0206474	0.0584
tort	0.042004	0.0189735	0.0155572	0.0167345	0.0169748	0.0205775	0.0251338	0.0301364	0.0287982	0.0220289	0.0258412	0.0424258	0.0295791	0.0148125	0.0129313	0.0131906	0.0214026	0.0173502	0.0230764	0.026087	0.0368416	0.0749436	0.0674111	0.071122	0.0379418	0.0452479	0.0356913	0.0380224	0.0543626	0.0350449	0.0397552
d'	0.0300634	0.0186623	0.0181061	0.0183276	0.0213926	0.0216412	0.0177114	0.0284089	0.0276257	0.0287519	0.0234766	0.0287335	0.0233143	0.019359	0.0151671	0.0210545	0.022014	0.0233305	0.0216779	0.0436167	0.0487951	0.0451197	0.0443157	0.0505931	0.054094	0.0386557	0.0489038	0.051688	0.0490164	0.0444078	0.0519756
avoir	0.022913	0.0162297	0.0171333	0.0234034	0.017291	0.0194826	0.0175354	0.0207755	0.0205535	0.018795	0.0198796	0.0287727	0.0179118	0.0110388	0.0109777	0.0231901	0.0267409	0.0154449	0.0268815	0.0440405	0.0441808	0.0417277	0.0326454	0.0469846	0.0660079	0.0469067	0.040488	0.0621081	0.0578325	0.0540232	0.0881042
volé	0.0250408	0.019875	0.0249715	0.0256144	0.0189473	0.015166	0.00927646	0.0178428	0.014199	0.0134065	0.0136182	0.02332	0.0130522	0.00663976	0.00979999	0.0164973	0.0180603	0.00992968	0.0224517	0.0681335	0.0362625	0.0596518	0.0205724	0.0274978	0.0483609	0.0455267	0.0459745	0.112303	0.0656298	0.0503121	0.102066
un	0.0209699	0.0214431	0.0227646	0.0219603	0.0170181	0.00929778	0.0064027	0.00751688	0.00637623	0.00620838	0.0079111	0.0116188	0.0118635	0.00675956	0.0104555	0.014861	0.0200773	0.0116464	0.0358094	0.0569417	0.0284389	0.0584769	0.0252919	0.0414436	0.0528662	0.060838	0.0624106	0.102742	0.0795595	0.0818193	0.078211
cabri	0.0256276	0.0245841	0.0252169	0.0262958	0.0193774	0.0149574	0.0102677	0.00861518	0.00729633	0.00767268	0.0088794	0.0104554	0.0109007	0.00975473	0.0100966	0.0183263	0.0179409	0.0132181	0.0233746	0.0434083	0.0382583	0.0327153	0.0238998	0.0425694	0.0641414	0.0633191	0.0670667	0.086272	0.0623482	0.075257	0.107887
</S>	0.0340634	0.0368161	0.0411357	0.038756	0.0193667	0.0139744	0.0122156	0.0130103	0.0161348	0.0219699	0.0225623	0.0189894	0.0191509	0.0103734	0.0144753	0.0414902	0.0305338	0.0215291	0.0250079	0.0298888	0.0351511	0.0427616	0.0441957	0.0528841	0.0449031	0.0269255	0.0259764	0.0445979	0.0399275	0.0494184	0.111815
