 	w	a	m	í	s	i	á	b	h	i	á	a	w	á	w	a	m	ó	p	ó	r	á	y	á	á	k	ώ	s	ώ	w	a	</S>
il	0.094153	0.0978584	0.0797624	0.0699629	0.0521222	0.0371131	0.0334232	0.0294805	0.036438	0.0309685	0.0195113	0.0302959	0.0307284	0.0436986	0.0262611	0.050469	0.0385394	0.0581066	0.0167001	0.0164224	0.00967275	0.00930393	0.00722581	0.00654039	0.00871301	0.00754199	0.0108966	0.0110998	0.0106278	0.00925892	0.00956672	0.00753726
tomba	0.0272412	0.0208702	0.0209877	0.0340015	0.0206249	0.027701	0.023558	0.0418164	0.0471143	0.0332105	0.0238437	0.0309142	0.0218226	0.0284587	0.0265689	0.0189546	0.0186558	0.0345887	0.0489753	0.0511127	0.0502927	0.0458817	0.0366299	0.0368526	0.0311037	0.0367418	0.0452982	0.0207054	0.0202605	0.0309131	0.0259025	0.0183969
aveugle	0.0122753	0.0134612	0.0358847	0.0266049	0.0165491	0.0267461	0.0203301	0.0416174	0.0431861	0.0457935	0.0395305	0.0358356	0.0293018	0.0281734	0.0348775	0.0477554	0.0343026	0.0271897	0.0379582	0.029049	0.0165932	0.0160769	0.0237135	0.0266422	0.0251511	0.0312583	0.0385813	0.042357	0.0447539	0.0500984	0.0306793	0.0276727
à	0.00704232	0.0137881	0.034207	0.0262968	0.0289981	0.0466578	0.0362532	0.051762	0.0571715	0.0590665	0.0368169	0.0193007	0.0212359	0.0166787	0.0213256	0.034713	0.0211297	0.0128305	0.0141175	0.0167133	0.0173036	0.0311604	0.0309874	0.0437832	0.0448892	0.0523757	0.04203	0.031214	0.0222707	0.0216942	0.0298239	0.0563626
la	0.00859277	0.00928379	0.0252419	0.0166034	0.0208558	0.0296703	0.0222536	0.0268168	0.0259366	0.0311987	0.0223232	0.0210839	0.0209864	0.0191136	0.0169756	0.0147418	0.0148973	0.0188088	0.0202704	0.0256027	0.0320098	0.0337792	0.0371754	0.0447047	0.0449462	0.0544036	0.0491567	0.0569222	0.0516642	0.0552593	0.0593293	0.0693918
suite	0.0133662	0.0125589	0.0104196	0.0127852	0.0154484	0.0175961	0.0173203	0.0179578	0.0181793	0.0191885	0.0163655	0.021252	0.0324253	0.019501	0.0182244	0.0200968	0.0218347	0.0187822	0.0215683	0.0236565	0.0372852	0.0560018	0.0520636	0.0541096	0.0453985	0.035011	0.0372929	0.0414989	0.0492254	0.0626104	0.0595125	0.101463
de	0.0207972	0.021846	0.0177392	0.0227569	0.0272156	0.0296347	0.0306334	0.0299582	0.0310503	0.0333324	0.0275467	0.0326385	0.0337478	0.0260813	0.0259402	0.0252433	0.0263791	0.0271745	0.0270644	0.0327236	0.0393056	0.0313547	0.0266815	0.0266946	0.0255697	0.0208984	0.02275	0.030662	0.0404033	0.0569665	0.0551058	0.0741046
sa	0.0178713	0.0193273	0.0249752	0.0216439	0.0218106	0.0254124	0.0209747	0.0233056	0.0215008	0.0226714	0.0202244	0.0192511	0.0192	0.0187589	0.0185498	0.0190772	0.0190496	0.0199677	0.0203902	0.0225604	0.0308223	0.0283843	0.0280157	0.0362382	0.0353517	0.0487271	0.0474077	0.0569918	0.0609106	0.0684668	0.0722519	0.0699095
blessure	0.0218871	0.0272523	0.0287107	0.0282624	0.0269318	0.0221127	0.014815	0.0118266	0.0113511	0.0112587	0.0108838	0.0114048	0.0120543	0.0103224	0.00968867	0.0117926	0.0116006	0.0202913	0.0132682	0.013334	0.0132052	0.0179943	0.0278882	0.0406988	0.0379207	0.0461795	0.0430678	0.0487874	0.0485943	0.0883974	0.106928	0.15129
</S>	0.0158466	0.0258927	0.031075	0.029893	0.0291406	0.0242207	0.0191008	0.0218529	0.0210299	0.0188594	0.0165641	0.015784	0.0159615	0.00756064	0.0065297	0.01368	0.0193245	0.025259	0.0234283	0.0220793	0.00872069	0.0141731	0.0113622	0.0194995	0.0180717	0.0250349	0.0225544	0.0462828	0.0387073	0.0676885	0.141197	0.183625
