 	p	o	o	y	á	b	í	s	í	é	d	í	i	b	y	á	á	l	i	k	a	á	</S>
il	0.00827161	0.0143498	0.0251893	0.0243569	0.0329148	0.0331439	0.0605227	0.0753766	0.0848484	0.077289	0.0540356	0.0637889	0.0504417	0.0451556	0.0424702	0.051827	0.0417586	0.041315	0.0517998	0.0452957	0.0327699	0.0254638	0.0176152
n'	0.200201	0.131804	0.0722616	0.0473384	0.0392255	0.0274261	0.0128713	0.0150948	0.0204799	0.0310313	0.0512993	0.0418817	0.0506418	0.0213691	0.0307389	0.0182601	0.0295204	0.0173042	0.0295125	0.0242549	0.0200204	0.0268716	0.0405906
y	0.0956529	0.086333	0.0515604	0.0350697	0.0246315	0.0266394	0.0215387	0.0305747	0.0443293	0.0620801	0.0724838	0.0532348	0.0999468	0.043765	0.0439928	0.0303781	0.0242583	0.016824	0.0167338	0.0209368	0.0352808	0.0279933	0.0357621
a	0.163576	0.165515	0.117479	0.0597083	0.0338708	0.0219141	0.0198416	0.0243101	0.0391298	0.0256136	0.0287868	0.0373891	0.0530417	0.0317188	0.018221	0.0222297	0.0121254	0.00982271	0.01125	0.0117243	0.0171951	0.0291858	0.0463505
pas	0.0720938	0.0826588	0.0578526	0.0340811	0.0233796	0.0230391	0.0133502	0.0137163	0.0163291	0.0180562	0.018149	0.0302783	0.0344775	0.048945	0.0475807	0.0425097	0.0517579	0.0447706	0.0643315	0.0595228	0.0735121	0.0619217	0.0676864
de	0.0736977	0.0452675	0.0455203	0.0493565	0.0647855	0.0462074	0.0301671	0.0355217	0.0310718	0.0444815	0.0393143	0.0552431	0.0461418	0.0448616	0.0442174	0.0376308	0.0364496	0.0275934	0.0386833	0.0365129	0.0307518	0.0300095	0.0665137
riches	0.060886	0.0337264	0.0337958	0.0418558	0.0625907	0.0498488	0.0264303	0.0197445	0.0149623	0.0292703	0.0304182	0.042237	0.0508072	0.0411211	0.0508571	0.0420027	0.0560826	0.0471261	0.0505185	0.054537	0.0429553	0.0447281	0.073498
dans	0.0459353	0.0324877	0.0394182	0.0557039	0.0868797	0.0558406	0.0324106	0.0272496	0.0251147	0.0371746	0.0342904	0.0355521	0.0287904	0.0220759	0.0323127	0.0255801	0.0638097	0.0344208	0.0609256	0.0428724	0.049322	0.055634	0.0761989
notre	0.0439414	0.0280822	0.0304969	0.0337383	0.037269	0.0278644	0.0158616	0.0122144	0.0113284	0.0146849	0.0127346	0.0129895	0.0192401	0.0287299	0.0537551	0.0464169	0.0924785	0.0749379	0.0888578	0.0829747	0.0744505	0.0784835	0.0784697
village	0.0898673	0.0526229	0.03908	0.0321815	0.0259543	0.0201854	0.0147386	0.0146636	0.0176468	0.0227249	0.0260587	0.0354469	0.0534544	0.0374037	0.0244828	0.023967	0.0383798	0.0191944	0.0748829	0.076189	0.076507	0.088696	0.0956718
</S>	0.157062	0.0908581	0.0736451	0.0577884	0.0459481	0.0261782	0.0100981	0.00793497	0.00511415	0.00642198	0.00689969	0.00794487	0.0217986	0.0244197	0.0304254	0.0257479	0.0419816	0.0397513	0.0498578	0.0496621	0.0588535	0.066021	0.0955874
