 	t	á	á	y	a	b	í	s	í	l	á	a	d	z	á	á	a	b	e	s	í	</S>
notre	0.0148786	0.0466873	0.0653761	0.0383812	0.0293977	0.0237828	0.0126538	0.0369734	0.0427247	0.0641618	0.0649755	0.0889458	0.0688416	0.0970791	0.0365876	0.0920145	0.0790111	0.0322309	0.0218983	0.0183954	0.0131309	0.0118719
père	0.213612	0.200441	0.0987396	0.171894	0.0623015	0.0715603	0.0659693	0.0210795	0.0175829	0.0136573	0.0130638	0.00702343	0.00347538	0.00436738	0.0081433	0.00558143	0.00732436	0.00615423	0.00241023	0.00304491	0.00186319	0.000710972
a	0.0271083	0.0278041	0.0377094	0.0453436	0.0375558	0.0750666	0.0998369	0.0594106	0.0456257	0.0650029	0.0821025	0.0715879	0.0644033	0.0529164	0.0643736	0.0273161	0.0367577	0.0199461	0.0173103	0.0161732	0.0174272	0.00922182
l'	0.0757192	0.0256339	0.0343343	0.0584988	0.0206724	0.03959	0.0301045	0.0478491	0.0492957	0.0441366	0.0246854	0.0234262	0.0343502	0.049732	0.0346513	0.0524725	0.0476294	0.0415585	0.054385	0.0552772	0.062193	0.0938048
habitude	0.0363693	0.0307079	0.0379321	0.0388959	0.0297287	0.0411817	0.0383608	0.038487	0.0360884	0.0392542	0.032342	0.0422066	0.0533054	0.0717822	0.0553999	0.0694866	0.0696671	0.0688056	0.0604618	0.0564518	0.0264026	0.0266824
de	0.0987482	0.0463411	0.0448069	0.0196346	0.0447301	0.0417266	0.0389818	0.0438193	0.0414674	0.0215323	0.0186228	0.0192631	0.0188925	0.0174865	0.0119805	0.0148464	0.0377835	0.0295583	0.0526405	0.0392186	0.0958898	0.202029
manger	0.0505604	0.030284	0.0311093	0.0321138	0.035111	0.0446453	0.0530034	0.0415974	0.0371439	0.029904	0.0169577	0.0185623	0.0285096	0.0265113	0.0353879	0.0307157	0.0407596	0.0424761	0.076133	0.0762743	0.0850045	0.137235
de	0.0796687	0.0683512	0.0689518	0.057131	0.0316209	0.0458839	0.031334	0.033384	0.012751	0.00808197	0.00927599	0.00662286	0.012249	0.0288309	0.0202434	0.0495206	0.0218661	0.0607273	0.0884856	0.0675673	0.0492081	0.148244
la	0.170348	0.0860111	0.110127	0.0447662	0.0194653	0.0239163	0.0134711	0.0104409	0.00581843	0.00614068	0.00563314	0.00518148	0.0064094	0.0150637	0.0108629	0.0301346	0.020693	0.044615	0.0778417	0.0606098	0.0548571	0.177593
cola	0.153294	0.0797278	0.0924752	0.0534841	0.0252942	0.0397869	0.0292585	0.0282898	0.00856097	0.00721635	0.0099194	0.00541177	0.0038761	0.011074	0.00829303	0.0188039	0.00523227	0.0329218	0.0803203	0.077173	0.0481896	0.181397
</S>	0.210295	0.117506	0.111608	0.0575965	0.0151532	0.0253023	0.0220769	0.0267068	0.0109085	0.00741322	0.00716817	0.00664648	0.0102448	0.0131278	0.0106298	0.0211392	0.0128465	0.021072	0.0428085	0.0288448	0.0298346	0.19107
